VariableName,huodongID,_beizhu,name_cn,name,name_en,name_vn,name_th,limit,levelLimit,item,rechargeID,rmbCost,sort,refresh,status,icon,hot,oldPrice,languages,group,costMap,unlock
113,23102,,通灵兽礼包,Spiritual Monster Pack,Spiritual Monster Pack,Gói quái vật tâm linh,Spiritual Monster Pack,1,,{520=10;4000=100},108,,,,,activity/direct_gift/icon_zjbx4.png,,,,,,
114,23102,,饰品抽卡礼包,Jewelry Draw Pack,Jewelry Draw Pack,Gói quà bốc thăm trang sức,Jewelry Draw Pack,1,,{941=1;503=20},108,,,,,activity/direct_gift/icon_zjbx5.png,,,,,,
115,23102,,装备强化礼包,Equipment Upgrade Pack,Equipment Upgrade Pack,Gói Nâng Cấp Trang Bị,Equipment Upgrade Pack,1,,{2103=50;gold=200000},111,,,,,activity/direct_gift/icon_gjbx7.png,,,,,,
116,23102,,升星礼包,Ascension Gift Pack,Ascension Gift Pack,Gói quà thăng thiên,Ascension Gift Pack,1,,{502=50;13=20;gold=150000},112,,,,,activity/direct_gift/icon_gjbx6.png,,,,,,
121,23103,,成长礼包,Growth Gift Pack,Growth Gift Pack,Gói quà tăng trưởng,Growth Gift Pack,1,,{12=10;stamina=100;gold=50000;rmb=60},102,,,,,activity/direct_gift/icon_tehuilibao1.png,,,,,,
122,23103,,饰品礼包,Jewelry Gift Pack,Jewelry Gift Pack,Gói quà trang sức,Jewelry Gift Pack,1,,{930=20;13=10;501=3;100=5},106,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
123,23103,,成长值礼包,Growth Value Pack,Growth Value Pack,Gói giá trị tăng trưởng,Growth Value Pack,1,,{13=10;19=20;gold=100000},106,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
124,23103,,抽卡礼包,Card Draw Pack,Card Draw Pack,gói rút thẻ,Card Draw Pack,1,,{13=20;519=10;gold=200000},108,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
125,23103,,豪华抽卡礼包,Premium Card Draw Pack,Premium Card Draw Pack,Gói rút thẻ cao cấp,Premium Card Draw Pack,1,,{13=30;519=20;gold=300000},111,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
131,23104,,成长礼包,Growth Gift Pack,Growth Gift Pack,Gói quà tăng trưởng,Growth Gift Pack,1,,{12=10;stamina=100;gold=50000;rmb=60},102,,,,,activity/direct_gift/icon_tehuilibao1.png,,,,,,
132,23104,,培养礼包,Training Gift Pack,Training Gift Pack,Gói quà đào tạo,Training Gift Pack,2,,{451=100;452=50},106,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
133,23104,,通灵兽礼包,Spiritual Monster Pack,Spiritual Monster Pack,Gói quái vật tâm linh,Spiritual Monster Pack,1,,{520=15;4000=100},108,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
134,23104,,饰品抽卡礼包,Jewelry Draw Pack,Jewelry Draw Pack,Gói quà bốc thăm trang sức,Jewelry Draw Pack,1,,{941=1;503=30},108,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
135,23104,,装备强化礼包,Equipment Upgrade Pack,Equipment Upgrade Pack,Gói Nâng Cấp Trang Bị,Equipment Upgrade Pack,2,,{2103=60;gold=200000},108,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
136,23104,,升星礼包,Ascension Gift Pack,Ascension Gift Pack,Gói quà thăng thiên,Ascension Gift Pack,1,,{502=50;13=20;rmb=2000},112,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
137,23104,,装备礼包,Equipment Package,Equipment Package,gói thiết bị,Equipment Package,1,,{942=1;13=20;rmb=2000},112,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
140,23105,,开服特惠礼包,Unlock Special Server Pack,Unlock Special Server Pack,Mở gói máy chủ đặc biệt,Unlock Special Server Pack,1,,{519=1;rmb=50;gold=10000},,0,,,,activity/direct_gift/icon_tehuilibao1.png,,,,,,
141,23105,,开服特惠礼包,Unlock Special Server Pack,Unlock Special Server Pack,Mở gói máy chủ đặc biệt,Unlock Special Server Pack,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
142,23105,,开服特惠礼包,Unlock Special Server Pack,Unlock Special Server Pack,Mở gói máy chủ đặc biệt,Unlock Special Server Pack,1,,{519=1;rmb=120;gold=30000},102,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
143,23105,,开服特惠礼包,Unlock Special Server Pack,Unlock Special Server Pack,Mở gói máy chủ đặc biệt,Unlock Special Server Pack,1,,{rmb=600;451=200;452=100},106,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
144,23105,,开服特惠礼包,Unlock Special Server Pack,Unlock Special Server Pack,Mở gói máy chủ đặc biệt,Unlock Special Server Pack,1,,{rmb=900;519=10},107,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
145,23105,,开服特惠礼包,Unlock Special Server Pack,Unlock Special Server Pack,Mở gói máy chủ đặc biệt,Unlock Special Server Pack,2,,{520=10;rmb=1680;4000=100},108,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
146,23105,,开服特惠礼包,Unlock Special Server Pack,Unlock Special Server Pack,Mở gói máy chủ đặc biệt,Unlock Special Server Pack,2,,{501=1;rmb=1680;503=20},108,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
147,23105,,开服特惠礼包,Unlock Special Server Pack,Unlock Special Server Pack,Mở gói máy chủ đặc biệt,Unlock Special Server Pack,2,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
148,23105,,开服特惠礼包,Unlock Special Server Pack,Unlock Special Server Pack,Mở gói máy chủ đặc biệt,Unlock Special Server Pack,2,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
149,23105,,开服特惠礼包,Unlock Special Server Pack,Unlock Special Server Pack,Mở gói máy chủ đặc biệt,Unlock Special Server Pack,2,,{502=50;rmb=2680;gold=200000},111,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
150,23105,,开服特惠礼包,Unlock Special Server Pack,Unlock Special Server Pack,Mở gói máy chủ đặc biệt,Unlock Special Server Pack,2,,{rmb=3980;501=5;6059=2},112,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
151,23105,,开服特惠礼包,Unlock Special Server Pack,Unlock Special Server Pack,Mở gói máy chủ đặc biệt,Unlock Special Server Pack,2,,{521=50;rmb=6480;gold=600000},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
159,23106,,每日SS忍者礼包,Unlock Package special server,Unlock Package special server,Gói Ninja SS hàng ngày,Unlock Package special server,1,,{520=1;521=1;rmb=120},103,,1,TRUE,,activity/direct_gift/icon_cjbx3.png,,,,,,
160,23106,,免费礼包,Open special server package,Open special server package,túi quà tặng miễn phí,Open special server package,1,,{516=1;rmb=10;gold=10000},,0,,TRUE,,activity/direct_gift/icon_cjbx.png,,,,,,
161,23106,,每日成长礼包,Open special server package,Open special server package,Gói tăng trưởng hàng ngày,Open special server package,1,,{rmb=120;stamina=100;503=1},102,,,TRUE,,activity/direct_gift/icon_cjbx13.png,,,,,,
162,23106,,每日抽卡礼包,Open special server package,Open special server package,Gói quà bốc thăm hàng ngày,Open special server package,1,,{519=1;rmb=120;gold=50000},102,,,TRUE,,activity/direct_gift/icon_cjbx2.png,,,,,,
163,23106,,每日碎片礼包,Open special server package,Open special server package,Gói hàng ngày,Open special server package,1,,{502=2;rmb=120;gold=50000},102,,,TRUE,,activity/direct_gift/icon_cjbx3.png,,,,,,
164,23106,,培养养成礼包,Open special server package,Open special server package,Tu luyện gói quà,Open special server package,1,,{rmb=300;451=100;452=50},106,,2,TRUE,,activity/direct_gift/icon_cjbx9.png,,,,,,
165,23106,,装备养成礼包,Daily Ninja SS package,Daily Ninja SS package,Gói quà phát triển thiết bị,Daily Ninja SS package,1,,{rmb=300;2103=20;gold=200000},106,,2,TRUE,,activity/direct_gift/icon_zjbx2.png,,,,,,
166,23106,,好感度礼包,Free gift bag,Free gift bag,Gói quà ưu đãi,Free gift bag,1,,{rmb=300;602=10;902=20},106,,2,TRUE,,activity/direct_gift/icon_cjbx14.png,,,,,,
167,23106,,铜币礼包,Daily growth package,Daily growth package,Gói quà đồng xu,Daily growth package,1,,{rmb=300;gold=1000000},106,,2,TRUE,,activity/direct_gift/icon_cjbx16.png,,,,,,
168,23106,,成长值礼包,Daily draw gift package,Daily draw gift package,Gói giá trị tăng trưởng,Daily draw gift package,1,,{rmb=300;19=10},106,,2,TRUE,,activity/direct_gift/icon_cjbx15.png,,,,,,
169,23106,,印记礼包,Daily package,Daily package,Niêm phong gói quà,Daily package,1,,{529=1000;rmb=300},106,,2,TRUE,,activity/direct_gift/icon_zjbx.png,,,,,,
170,23107,,免费礼包,Cultivation gift package,Cultivation gift package,túi quà tặng miễn phí,Cultivation gift package,1,,{502=1;rmb=30;gold=30000},,0,,,1,activity/direct_gift/icon_cjbx.png,,,,,,
171,23107,,抽卡礼包,Equipment development gift package,Equipment development gift package,gói rút thẻ,Equipment development gift package,2,,{rmb=980;519=10},108,,,,1,activity/direct_gift/icon_zjbx3.png,,,,,,
172,23107,,通灵兽礼包,Promotion gift package,Promotion gift package,Gói quái vật tâm linh,Promotion gift package,2,,{520=10;rmb=980;4000=100},108,,,,1,activity/direct_gift/icon_zjbx7.png,,,,,,
173,23107,,饰品抽卡礼包,Coin gift package,Coin gift package,Gói quà bốc thăm trang sức,Coin gift package,2,,{501=1;rmb=980;503=20},108,,,,1,activity/direct_gift/icon_zjbx8.png,,,,,,
174,23107,,升星礼包,Growth value package,Growth value package,Gói quà thăng thiên,Growth value package,2,,{502=30;rmb=1980},111,,,,1,activity/direct_gift/icon_gjbx17.png,,,,,,
175,23107,,抽卡礼包,Seal gift package,Seal gift package,gói rút thẻ,Seal gift package,2,,{rmb=3280;519=20},112,,2,,1,activity/direct_gift/icon_gjbx1.png,,,,,,
176,23107,,升星礼包,Free gift bag,Free gift bag,Gói quà thăng thiên,Free gift bag,2,,{502=50;rmb=3280;gold=300000},112,,2,,1,activity/direct_gift/icon_gjbx4.png,,,,,,
177,23107,,装备礼包,Card draw package,Card draw package,gói thiết bị,Card draw package,2,,{942=1;rmb=3280;2103=60},112,,2,,1,activity/direct_gift/icon_gjbx18.png,,,,,,
178,23107,,升星礼包,Spiritual monster package,Spiritual monster package,Gói quà thăng thiên,Spiritual monster package,2,,{521=30;rmb=6480;gold=500000},113,,3,,1,activity/direct_gift/icon_gjbx19.png,,,,,,
179,23108,,开服特惠礼包,Jewelry draw gift package,Jewelry draw gift package,Gói khai mở máy chủ 1,Jewelry draw gift package,1,,{519=1;rmb=50;gold=10000},,0,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
180,23108,,开服特惠礼包,Ascension gift package,Ascension gift package,Gói khai mở máy chủ 2,Ascension gift package,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
181,23108,,开服特惠礼包,Card draw package,Card draw package,Gói khai mở máy chủ 3,Card draw package,1,,{519=1;rmb=120;gold=30000},102,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
182,23108,,开服特惠礼包,Ascension gift package,Ascension gift package,Gói khai mở máy chủ 4,Ascension gift package,2,,{rmb=600;451=200;452=100},106,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
183,23108,,开服特惠礼包,Equipment package,Equipment package,Gói khai mở máy chủ 5,Equipment package,2,,{rmb=900;519=10},107,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
184,23108,,开服特惠礼包,Ascension gift package,Ascension gift package,Gói khai mở máy chủ 6,Ascension gift package,2,,{925=1;rmb=1680},108,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
185,23108,,开服特惠礼包,Server opening package 1,Server opening package 1,Gói khai mở máy chủ 7,Server opening package 1,3,,{520=10;rmb=1680;4000=100},108,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
186,23108,,开服特惠礼包,Server opening package 2,Server opening package 2,Gói khai mở máy chủ 8,Server opening package 2,3,,{501=1;rmb=1680;503=20},108,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
187,23108,,开服特惠礼包,Server opening package 3,Server opening package 3,Gói khai mở máy chủ 9,Server opening package 3,3,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
188,23108,,开服特惠礼包,Server opening package 4,Server opening package 4,Gói khai mở máy chủ 10,Server opening package 4,3,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
189,23108,,开服特惠礼包,Server opening package 5,Server opening package 5,Gói khai mở máy chủ 11,Server opening package 5,3,,{502=50;rmb=2680;gold=150000},111,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
190,23108,,开服特惠礼包,Server opening package 6,Server opening package 6,Gói khai mở máy chủ 12,Server opening package 6,1,,{521=80;rmb=3280;gold=1000000},112,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
191,23108,,开服特惠礼包,Server opening package 7,Server opening package 7,Gói khai mở máy chủ 13,Server opening package 7,3,,{rmb=3980;501=5;6059=2},112,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
192,23108,,开服特惠礼包,Opening package server open 8,Opening package server open 8,Gói khai mở máy chủ 14,Opening package server open 8,4,,{13=50;gold=500000;521=80;rmb=7280},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
200,23109,,开服特惠礼包,Server open package 9,Server open package 9,Mở gói máy chủ đặc biệt,Server open package 9,1,,{519=1;rmb=50;gold=10000},,0,,,,activity/direct_gift/icon_cjbx.png,,,,,,
201,23109,,开服特惠礼包,Server open package 10,Server open package 10,Mở gói máy chủ đặc biệt,Server open package 10,1,,{rmb=120;stamina=100;gold=30000},102,,,,,,,,,,,
202,23109,,开服特惠礼包,Server open package 11,Server open package 11,Mở gói máy chủ đặc biệt,Server open package 11,1,,{519=1;rmb=120;gold=30000},102,,,,,activity/direct_gift/icon_cjbx2.png,,,,,,
203,23109,,开服特惠礼包,Server open package 12,Server open package 12,Mở gói máy chủ đặc biệt,Server open package 12,2,,{rmb=600;451=200;452=100},106,,,,,activity/direct_gift/icon_cjbx9.png,,,,,,
204,23109,,开服特惠礼包,Server open package 13,Server open package 13,Mở gói máy chủ đặc biệt,Server open package 13,2,,{rmb=900;519=10},107,,,,,activity/direct_gift/icon_zjbx3.png,,,,,,
205,23109,,开服特惠礼包,Server open package 14,Server open package 14,Mở gói máy chủ đặc biệt,Server open package 14,3,,{520=10;rmb=1680;4000=100},108,,,,,activity/direct_gift/icon_zjbx7.png,,,,,,
206,23109,,开服特惠礼包,Special server open package,Special server open package,Mở gói máy chủ đặc biệt,Special server open package,3,,{501=1;rmb=1680;503=20},108,,,,,activity/direct_gift/icon_zjbx8.png,,,,,,
207,23109,,开服特惠礼包,Special server open package,Special server open package,Mở gói máy chủ đặc biệt,Special server open package,3,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/icon_gjbx9.png,,,,,,
208,23109,,开服特惠礼包,Special server open package,Special server open package,Mở gói máy chủ đặc biệt,Special server open package,3,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/icon_gjbx10.png,,,,,,
209,23109,,开服特惠礼包,Special server open package,Special server open package,Mở gói máy chủ đặc biệt,Special server open package,3,,{502=50;13=20;gold=150000;rmb=2680},111,,,,,activity/direct_gift/icon_gjbx4.png,,,,,,
210,23109,,开服特惠礼包,Special server open package,Special server open package,Mở gói máy chủ đặc biệt,Special server open package,3,,{rmb=3980;501=5;6059=2},112,,,,,activity/direct_gift/icon_gjbx11.png,,,,,,
211,23109,,开服特惠礼包,Special server open package,Special server open package,Mở gói máy chủ đặc biệt,Special server open package,4,,{13=50;gold=500000;521=50;rmb=6480},113,,,,,activity/direct_gift/icon_gjbx13.png,,,,,,
220,22110,,每日SS忍者礼包,Special server open package,Special server open package,Gói Ninja SS hàng ngày,Special server open package,1,,{520=1;521=1;rmb=120},103,,1,TRUE,,activity/direct_gift/icon_cjbx3.png,,,,,,
221,22110,,免费礼包,Special server open package,Special server open package,túi quà tặng miễn phí,Special server open package,1,,{516=1;rmb=10;gold=10000},,0,,TRUE,,activity/direct_gift/icon_cjbx.png,,,,,,
222,22110,,每日成长礼包,Special server open package,Special server open package,Gói tăng trưởng hàng ngày,Special server open package,1,,{rmb=120;stamina=100;503=1},102,,,TRUE,,activity/direct_gift/icon_cjbx13.png,,,,,,
223,22110,,每日抽卡礼包,Daily Ninja SS package,Daily Ninja SS package,Gói quà bốc thăm hàng ngày,Daily Ninja SS package,1,,{519=1;rmb=120;gold=50000},102,,,TRUE,,activity/direct_gift/icon_cjbx2.png,,,,,,
224,22110,,每日碎片礼包,Free gift bag,Free gift bag,Gói hàng ngày,Free gift bag,1,,{502=2;rmb=120;gold=50000},102,,,TRUE,,activity/direct_gift/icon_cjbx3.png,,,,,,
225,22110,,培养养成礼包,Daily growth package,Daily growth package,Tu luyện gói quà,Daily growth package,1,,{rmb=300;451=100;452=50},106,,2,TRUE,,activity/direct_gift/icon_cjbx9.png,,,,,,
226,22110,,装备养成礼包,Daily draw gift package,Daily draw gift package,Gói quà phát triển thiết bị,Daily draw gift package,1,,{rmb=300;2103=20;gold=200000},106,,2,TRUE,,activity/direct_gift/icon_zjbx2.png,,,,,,
227,22110,,好感度礼包,Daily package,Daily package,Gói quà ưu đãi,Daily package,1,,{rmb=300;602=10;902=20},106,,2,TRUE,,activity/direct_gift/icon_cjbx14.png,,,,,,
228,22110,,铜币礼包,Cultivation gift package,Cultivation gift package,Gói quà đồng xu,Cultivation gift package,1,,{rmb=300;gold=1000000},106,,2,TRUE,,activity/direct_gift/icon_cjbx16.png,,,,,,
229,22110,,成长值礼包,Equipment development gift package,Equipment development gift package,Gói giá trị tăng trưởng,Equipment development gift package,1,,{rmb=300;19=10},106,,2,TRUE,,activity/direct_gift/icon_cjbx15.png,,,,,,
240,22111,,免费礼包,Preferential gift package,Preferential gift package,túi quà tặng miễn phí,Preferential gift package,1,,{502=1;rmb=30;gold=30000},,0,,,1,activity/direct_gift/icon_cjbx.png,,,,,,
241,22111,,抽卡礼包,Coin gift package,Coin gift package,gói rút thẻ,Coin gift package,3,,{rmb=980;519=10},108,,,,1,activity/direct_gift/icon_zjbx3.png,,,,,,
242,22111,,通灵兽礼包,Growth value package,Growth value package,Gói quái vật tâm linh,Growth value package,3,,{520=10;rmb=980;4000=100},108,,,,1,activity/direct_gift/icon_zjbx7.png,,,,,,
243,22111,,饰品抽卡礼包,Free gift bag,Free gift bag,Gói quà bốc thăm trang sức,Free gift bag,3,,{501=1;rmb=980;503=20},108,,,,1,activity/direct_gift/icon_zjbx8.png,,,,,,
244,22111,,升星礼包,Card draw package,Card draw package,Gói quà thăng thiên,Card draw package,3,,{502=30;rmb=1980},111,,,,1,activity/direct_gift/icon_gjbx17.png,,,,,,
245,22111,,抽卡礼包,Heart monster package spirit,Heart monster package spirit,gói rút thẻ,Heart monster package spirit,3,,{rmb=3280;519=20},112,,2,,1,activity/direct_gift/icon_gjbx1.png,,,,,,
246,22111,,升星礼包,Jewelry Draw Package,Jewelry Draw Package,Gói quà thăng thiên,Jewelry Draw Package,3,,{502=50;rmb=3280;gold=300000},112,,2,,1,activity/direct_gift/icon_gjbx4.png,,,,,,
247,22111,,装备礼包,Ascension Gift Package,Ascension Gift Package,gói thiết bị,Ascension Gift Package,3,,{942=1;rmb=3280;2103=60},112,,2,,1,activity/direct_gift/icon_gjbx18.png,,,,,,
248,22111,,升星礼包,Card Draw Package,Card Draw Package,Gói quà thăng thiên,Card Draw Package,3,,{521=30;rmb=6480;gold=500000},113,,2,,1,activity/direct_gift/icon_gjbx19.png,,,,,,
2000,23211,,免费礼包,Ascension Gift Package,Ascension Gift Package,túi quà tặng miễn phí,Ascension Gift Package,1,,{520=1;rmb=30;503=1},,0,,,,activity/direct_gift/icon_tehuilibao1.png,,,,,,
2001,23211,,通灵兽礼包,Equipment Package,Equipment Package,Gói quái vật tâm linh,Equipment Package,1,,{520=1;rmb=120;4000=30},102,,,,,activity/direct_gift/icon_tehuilibao1.png,,,,,,
2002,23211,,通灵兽礼包,Ascension Gift Package,Ascension Gift Package,Gói quái vật tâm linh,Ascension Gift Package,1,,{520=5;962=1;rmb=200},106,,,,,activity/direct_gift/icon_tehuilibao1.png,,,,,,
2003,23211,,通灵兽礼包,Free Gift Bag,Free Gift Bag,Gói quái vật tâm linh,Free Gift Bag,1,,{520=20;962=2;rmb=500},111,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
2004,23211,,通灵兽礼包,Spiritual Monster Package,Spiritual Monster Package,Gói quái vật tâm linh,Spiritual Monster Package,2,,{520=50;963=2;rmb=2000},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2005,23211,,饰品抽卡礼包,Spiritual Monster Package,Spiritual Monster Package,Gói quà bốc thăm trang sức,Spiritual Monster Package,1,,{941=1;rmb=120;503=2},102,,,,,activity/direct_gift/icon_tehuilibao1.png,,,,,,
2006,23211,,饰品抽卡礼包,Spiritual Monster Package,Spiritual Monster Package,Gói quà bốc thăm trang sức,Spiritual Monster Package,1,,{941=2;rmb=200;503=10},106,,,,,activity/direct_gift/icon_tehuilibao1.png,,,,,,
2007,23211,,饰品抽卡礼包,Jewelry Draw Gift Package,Jewelry Draw Gift Package,Gói quà bốc thăm trang sức,Jewelry Draw Gift Package,1,,{rmb=500;2103=30;503=40},111,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
2008,23211,,饰品抽卡礼包,Jewelry Draw Gift Package,Jewelry Draw Gift Package,Gói quà bốc thăm trang sức,Jewelry Draw Gift Package,2,,{942=2;rmb=2000;503=100},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2011,23212,,限定抽卡礼包,Limited Draw Card Package,Limited Draw Card Package,Gói rút thẻ giới hạn,Limited Draw Card Package,1,,{14=5;rmb=120;527=1},102,,,,,activity/direct_gift/icon_tehuilibao1.png,,,,,,
2012,23212,,限定抽卡礼包,Limited Draw Card Package,Limited Draw Card Package,Gói rút thẻ giới hạn,Limited Draw Card Package,2,,{14=10;rmb=300;527=5},107,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
2013,23212,,限定抽卡礼包,Limited Draw Card Package,Limited Draw Card Package,Gói rút thẻ giới hạn,Limited Draw Card Package,2,,{14=20;rmb=600;527=10},110,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
2014,23212,,限定抽卡礼包,Limited Draw Card Package,Limited Draw Card Package,Gói rút thẻ giới hạn,Limited Draw Card Package,2,,{14=30;rmb=1000;527=20},112,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2015,23212,,限定抽卡礼包,Limited Draw Card Package,Limited Draw Card Package,Gói rút thẻ giới hạn,Limited Draw Card Package,2,,{14=40;rmb=2000;527=40},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2016,23212,,抽卡礼包,Limited Draw Card Package,Limited Draw Card Package,gói rút thẻ,Limited Draw Card Package,2,,{14=10;rmb=980;519=10},108,,,,,activity/direct_gift/icon_tehuilibao2.png,,,,,,
2017,23212,,抽卡礼包,Draw Card Package,Draw Card Package,gói rút thẻ,Draw Card Package,2,,{14=20;rmb=3280;519=20},112,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2020,23213,,特惠礼包,Special Luggage,Special Luggage,hành lý đặc biệt,Special Luggage,1,,{rmb=60;stamina=50;gold=10000},,0,,,,activity/direct_gift/box_khqd2.png,,,,,,
2021,23213,,特惠礼包,Special Luggage,Special Luggage,hành lý đặc biệt,Special Luggage,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2022,23213,,特惠礼包,Special Luggage,Special Luggage,hành lý đặc biệt,Special Luggage,1,,{519=1;rmb=120;gold=30000},102,,,,,activity/direct_gift/box_khqd2.png,,,,,,
