VariableName,leastLevel,active,type,huodongID,openDuration,beginDate,beginTime,endTime,endDate,desc,desc_en,desc_vn,desc_th,icon1,name,languages,icon,servers,redpoint,paramMap,openType,leastVipLevel,serverDayRange,relativeDayRange,clientParam,clientParam_th,independent,rDesc,rDesc_th,countType,sortWeight,validServerOpenDateRange,roleDayRange,validRoleCreatedDateRange
24,1,0,8,,5000000,20250329,0,0,20290101,Login Gift,Login Gift,Login Gift,Login Gift,,,,,,,,4,,,,,,,Log in for seven consecutive days to get 40 consecutive draws. Go summon your ninjas now!,เข้าสู่ระบบติดต่อกันเจ็ดวัน รับการหมุนสิบครั้งติดต่อกัน 40 ครั้ง รีบไปเรียกนินจาของคุณเลย!,,1,,,
32,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<cn>,city/main/icon_sc@.png,,1,{award={8501=1;gold=500000;11=50;card={id=3131};500=1};rmb=1},0,,,,{page=1;resBg=activity/first_recharge/bg_hd_sc1@.png},{page=1;resBg=activity/first_recharge/bg_hd_sc1@.png},1,,,,1,,,
33,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<cn>,city/main/icon_sc@.png,,1,{award={13=30;gold=1000000;502=50;519=30;card={id=3021}};rmb=100000},0,,,,{page=2;resBg=activity/first_recharge/bg_hd_sc2@.png},{page=2;resBg=activity/first_recharge/bg_hd_sc2@.png},1,,,,2,,,
34,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<cn>,city/main/icon_sc@.png,,1,{award={942=1;19=30;521=30;gold=1000000;card={id=3071}};rmb=300000},0,,,,{page=3;resBg=activity/first_recharge/bg_hd_sc3@.png},{page=3;resBg=activity/first_recharge/bg_hd_sc3@.png},1,,,,3,,,
37,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<cn>,city/main/icon_sc@.png,,1,{award={16=30;gold=2000000;2152=1;945=1;card={id=3121}};rmb=500000},0,,,,{page=4;resBg=activity/first_recharge/bg_hd_sc4@.png},{page=4;resBg=activity/first_recharge/bg_hd_sc4@.png},1,,,,4,,,
38,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<th>,city/main/icon_sc@.png,,1,{award={526=10;13=50;945=1;stamina=999;card={id=503}};rmb=1},0,,,,{page=1;resBg=activity/first_recharge/bg_hd_sc1@.png},{page=1;resBg=activity/first_recharge/bg_hd_sc1@.png},1,,,,1,,,
39,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<th>,city/main/icon_sc@.png,,1,{award={13=100;502=50;526=20;card={id=572};2644=1};rmb=50000},0,,,,{page=2;resBg=activity/first_recharge/bg_hd_sc2@.png},{page=2;resBg=activity/first_recharge/bg_hd_sc2@.png},1,,,,2,,,
40,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<th>,city/main/icon_sc@.png,,1,{award={rmb=8888;19=100;502=100;451=300;9053=2};rmb=150000},0,,,,{page=3;resBg=activity/first_recharge/bg_hd_sc3@.png},{page=3;resBg=activity/first_recharge/bg_hd_sc3@.png},1,,,,3,,,
41,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<th>,city/main/icon_sc@.png,,1,{award={527=50;452=300;7305=5;rmb=18888;9054=2};rmb=300000},0,,,,{page=4;resBg=activity/first_recharge/bg_hd_sc4@.png},{page=4;resBg=activity/first_recharge/bg_hd_sc4@.png},1,,,,4,,,
42,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<th>,city/main/icon_sc@.png,,1,{award={974=5;30408=1;2153=1;rmb=28888;card={id=3303}};rmb=500000},0,,,,{page=5;resBg=activity/first_recharge/bg_hd_sc5@.png},{page=5;resBg=activity/first_recharge/bg_hd_sc5@.png},1,,,,5,,,
43,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<en;vn>,city/main/icon_sc@.png,,1,{award={526=10;2067=1;945=1;stamina=999;card={id=3211}};rmb=1},0,,,,{page=1;resBg=activity/first_recharge/bg_hd_sc1@.png},{page=1;resBg=activity/first_recharge/bg_hd_sc1@.png},1,,,,1,,,
44,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<en;vn>,city/main/icon_sc@.png,,1,{award={13=100;502=50;526=20;card={id=572};2644=1};rmb=50000},0,,,,{page=2;resBg=activity/first_recharge/bg_hd_sc2@.png},{page=2;resBg=activity/first_recharge/bg_hd_sc2@.png},1,,,,2,,,
45,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<en;vn>,city/main/icon_sc@.png,,1,{award={rmb=8888;19=100;502=100;451=300;9053=2};rmb=150000},0,,,,{page=3;resBg=activity/first_recharge/bg_hd_sc3@.png},{page=3;resBg=activity/first_recharge/bg_hd_sc3@.png},1,,,,3,,,
46,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<en;vn>,city/main/icon_sc@.png,,1,{award={527=50;452=300;7305=5;rmb=18888;9054=2};rmb=300000},0,,,,{page=4;resBg=activity/first_recharge/bg_hd_sc4@.png},{page=4;resBg=activity/first_recharge/bg_hd_sc4@.png},1,,,,4,,,
47,1,1,1,,5000000,20250329,0,0,20290101,First Recharge,First Recharge,First Recharge,First Recharge,,_BAOHONG_,<en;vn>,city/main/icon_sc@.png,,1,{award={974=5;30408=1;2153=1;rmb=28888;card={id=3303}};rmb=500000},0,,,,{page=5;resBg=activity/first_recharge/bg_hd_sc5@.png},{page=5;resBg=activity/first_recharge/bg_hd_sc5@.png},1,,,,5,,,
36,1,0,16,1001,5000000,20250329,0,0,20290101,Power Ranking,Power Ranking,Power Ranking,Power Ranking,,_BAOHONG_,,city/main/icon_zlph.png,,1,{card=3011},3,,,,,,1,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,15,,,
49,1,0,33,23112,5000000,20250329,0,0,20290101,Limited Server Package,Limited Server Package,Limited Server Package,Limited Server Package,1,,,,,1,,4,,,,,,1,,,,10,,,
50,1,0,33,23111,5000000,20250329,0,0,20290101,Daily Server Package,Daily Server Package,Daily Server Package,Daily Server Package,1,,,,,1,,4,,,,,,1,,,,19,,,
60,1,0,14,1002,5000000,20250329,0,0,20290101,Deposit Reward,Deposit Reward,Deposit Reward,Deposit Reward,2,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,15,,,
61,1,0,14,1001,5000000,20250329,0,0,20290101,Draw Reward Card,Draw Reward Card,Draw Reward Card,Draw Reward Card,2,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,16,,,
65,1,0,14,1003,5000000,20250329,0,0,20290101,Refund Recharge,Refund Recharge,Refund Recharge,Refund Recharge,2,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,15,,,
66,1,0,14,1004,5000000,20250329,0,0,20290101,Ingot Consumption Refund,Ingot Consumption Refund,Ingot Consumption Refund,Ingot Consumption Refund,2,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,16,,,
67,1,0,14,1005,5000000,20250329,0,0,20290101,Accessory Card Draw Gift,Accessory Card Draw Gift,Accessory Card Draw Gift,Accessory Card Draw Gift,2,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,17,,,
72,1,0,14,1010,5000000,20250329,0,0,20290101,Login to Receive Awakening Gift,Login to Receive Awakening Gift,Login to Receive Awakening Gift,Login to Receive Awakening Gift,2,,,,,,,4,,,,,,3,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,13,,,
74,1,0,14,1012,5000000,20250329,0,0,20290101,Login to Receive Fragments,Login to Receive Fragments,Login to Receive Fragments,Login to Receive Fragments,2,,,,,,,4,,,,,,3,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,13,,,
75,1,1,2,10001,5000000,20250329,0,0,20290101,Newbie Welfare,Newbie Welfare,Newbie Welfare,Newbie Welfare,,_BAOHONG_,,city/main/icon_xsfl.png,,1,,4,,,,{cardId1=631;isShowCountDown=False;generalTaskDisappear=True;cardId2=9003},{cardId1=631;isShowCountDown=False;generalTaskDisappear=True;cardId2=9003},1,,,,13,,,
76,1,1,14,1007,5000000,20250329,0,0,20290101,Level Gift,Level Gift,Level Gift,Level Gift,2,_BAOHONG_,,,,,,4,,,,{generalTaskDisappear=True;isShowCountDown=False},{generalTaskDisappear=True;isShowCountDown=False},3,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,13,,,
85,1,1,33,26001,5000000,20250329,0,0,20290101,Server Opening Promotion,Server Opening Promotion,Ưu Đãi Mở Server,Server Opening Promotion,1,Gói Ưu Đãi Đặc Biệt Mở Server,,city/main/icon_kfzx.png,,1,,4,,,<0;1>,{theme=kfzx;type= 1},{theme=kfzx;type= 1},1,,,,1,,,
86,1,1,33,26002,5000000,20250329,0,0,20290101,Server Opening Promotion,Server Opening Promotion,Ưu Đãi Mở Server,Server Opening Promotion,1,Gói Ưu Đãi Đặc Biệt Mở Server,,city/main/icon_kfzx.png,,1,,4,,,<2;2>,{theme=kfzx;type= 1},{theme=kfzx;type= 1},1,,,,1,,,
87,1,1,33,26003,5000000,20250329,0,0,20290101,Server Opening Promotion,Server Opening Promotion,Ưu Đãi Mở Server,Server Opening Promotion,1,Gói Ưu Đãi Đặc Biệt Mở Server,,city/main/icon_kfzx.png,,1,,4,,,<3;3>,{theme=kfzx;type= 1},{theme=kfzx;type= 1},1,,,,1,,,
88,1,1,33,26004,5000000,20250329,0,0,20290101,Server Opening Promotion,Server Opening Promotion,Ưu Đãi Mở Server,Server Opening Promotion,1,Gói Ưu Đãi Đặc Biệt Mở Server,,city/main/icon_kfzx.png,,1,,4,,,<4;4>,{theme=kfzx;type= 1},{theme=kfzx;type= 1},1,,,,1,,,
89,1,1,33,26005,5000000,20250329,0,0,20290101,Server Opening Promotion,Server Opening Promotion,Ưu Đãi Mở Server,Server Opening Promotion,1,Gói Ưu Đãi Đặc Biệt Mở Server,,city/main/icon_kfzx.png,,1,,4,,,<5;5>,{theme=kfzx;type= 1},{theme=kfzx;type= 1},1,,,,1,,,
90,1,1,33,26006,5000000,20250329,0,0,20290101,Server Opening Promotion,Server Opening Promotion,Ưu Đãi Mở Server,Server Opening Promotion,1,Gói Ưu Đãi Đặc Biệt Mở Server,,city/main/icon_kfzx.png,,1,,4,,,<6;6>,{theme=kfzx;type= 1},{theme=kfzx;type= 1},1,,,,1,,,
91,1,1,33,26007,5000000,20250329,0,0,20290101,Server Opening Promotion,Server Opening Promotion,Ưu Đãi Mở Server,Server Opening Promotion,1,Gói Ưu Đãi Đặc Biệt Mở Server,,city/main/icon_kfzx.png,,1,,4,,,<7;7>,{theme=kfzx;type= 1},{theme=kfzx;type= 1},1,,,,1,,,
96,1,0,33,23108,5000000,20250329,0,0,20290101,Server Opening Gift Package,Server Opening Gift Package,Server Opening Gift Package,Server Opening Gift Package,1,_BAOHONG_,,,,1,,4,,,,,,1,,,,16,,,
101,1,1,34,20011,5000000,20250329,0,0,20290101,Timed Gift Package,Timed Gift Package,Timed Gift Package,Timed Gift Package,,_BAOHONG_,,city/main/icon_xslb.png,,1,,0,,,,{showCountTime=true},{showCountTime=true},2,,,,16,,,
102,1,1,37,40001,5000000,20250329,0,0,20290101,Thousand Draws,Thousand Draws,Thousand Draws,Thousand Draws,3,Thousand Draws,,,,,{isSum=1},4,,,,,,3,,,,3,,,
103,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<0;29>,,,3,,,,5,,,
104,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<30;59>,,,3,,,,5,,,
105,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<60;89>,,,3,,,,5,,,
106,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<90;119>,,,3,,,,5,,,
107,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<120;149>,,,3,,,,5,,,
108,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<150;179>,,,3,,,,5,,,
109,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<180;209>,,,3,,,,5,,,
110,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<210;239>,,,3,,,,5,,,
111,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<240;269>,,,3,,,,5,,,
112,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<270;299>,,,3,,,,5,,,
113,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<300;329>,,,3,,,,5,,,
114,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<330;359>,,,3,,,,5,,,
115,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<360;389>,,,3,,,,5,,,
116,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<390;419>,,,3,,,,5,,,
117,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<420;449>,,,3,,,,5,,,
118,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<450;479>,,,3,,,,5,,,
119,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<480;509>,,,3,,,,5,,,
120,1,1,37,40002,5000000,20250329,0,0,20290101,Super Value Fund,Super Value Fund,Super Value Fund,Super Value Fund,2,Super Value Fund,,,,1,{isSum=2;rechargeID=107;type=1;award={stamina=1000;526=100;rmb=9999;2153=1;card={id=9003}}},4,,,<510;539>,,,3,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1,1,37,40003,5000000,20250329,0,0,20290101,Luxury Fund,Luxury Fund,Luxury Fund,Luxury Fund,2,Luxury Fund,,,,1,{isSum=2;rechargeID=109;type=2;award={stamina=3000;526=300;rmb=19999;2153=3;521=160}},4,,,<0;29>,,,3,,,,6,,,
122,1,1,37,40003,5000000,20250329,0,0,20290101,Luxury Fund,Luxury Fund,Luxury Fund,Luxury Fund,2,Luxury Fund,,,,1,{isSum=2;rechargeID=109;type=2;award={stamina=3000;526=300;rmb=19999;2153=3;521=160}},4,,,<30;59>,,,3,,,,6,,,
123,1,1,37,40003,5000000,20250329,0,0,20290101,Luxury Fund,Luxury Fund,Luxury Fund,Luxury Fund,2,Luxury Fund,,,,1,{isSum=2;rechargeID=109;type=2;award={stamina=3000;526=300;rmb=19999;2153=3;521=160}},4,,,<60;89>,,,3,,,,6,,,
124,1,1,37,40003,5000000,20250329,0,0,20290101,Luxury Fund,Luxury Fund,Luxury Fund,Luxury Fund,2,Luxury Fund,,,,1,{isSum=2;rechargeID=109;type=2;award={stamina=3000;526=300;rmb=19999;2153=3;521=160}},4,,,<90;119>,,,3,,,,6,,,
125,1,1,37,40003,5000000,20250329,0,0,20290101,Luxury Fund,Luxury Fund,Luxury Fund,Luxury Fund,2,Luxury Fund,,,,1,{isSum=2;rechargeID=109;type=2;award={stamina=3000;526=300;rmb=19999;2153=3;521=160}},4,,,<120;149>,,,3,,,,6,,,
126,1,1,37,40003,5000000,20250329,0,0,20290101,Luxury Fund,Luxury Fund,Luxury Fund,Luxury Fund,2,Luxury Fund,,,,1,{isSum=2;rechargeID=109;type=2;award={stamina=3000;526=300;rmb=19999;2153=3;521=160}},4,,,<150;179>,,,3,,,,6,,,
127,1,1,37,40003,5000000,20250329,0,0,20290101,Luxury Fund,Luxury Fund,Luxury Fund,Luxury Fund,2,Luxury Fund,,,,1,{isSum=2;rechargeID=109;type=2;award={stamina=3000;526=300;rmb=19999;2153=3;521=160}},4,,,<180;209>,,,3,,,,6,,,
128,1,1,37,40003,5000000,20250329,0,0,20290101,Luxury Fund,Luxury Fund,Luxury Fund,Luxury Fund,2,Luxury Fund,,,,1,{isSum=2;rechargeID=109;type=2;award={stamina=3000;526=300;rmb=19999;2153=3;521=160}},4,,,<210;239>,,,3,,,,6,,,
129,1,1,37,40003,5000000,20250329,0,0,20290101,Luxury Fund,Luxury Fund,Luxury Fund,Luxury Fund,2,Luxury Fund,,,,1,{isSum=2;rechargeID=109;type=2;award={stamina=3000;526=300;rmb=19999;2153=3;521=160}},4,,,<240;269>,,,3,,,,6,,,
130,1,1,37,40003,5000000,20250329,0,0,20290101,Luxury Fund,Luxury Fund,Luxury Fund,Luxury Fund,2,Luxury Fund,,,,1,{isSum=2;rechargeID=109;type=2;award={stamina=3000;526=300;rmb=19999;2153=3;521=160}},4,,,<270;299>,,,3,,,,6,,,
