VariableName,huodongID,numText,name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,icon,iconSpecial,frameType,type,times,position,frontWay,preID,duration,cd,cost,target1,params1,target2,params2,target3,params3,spTarget,spParams,extraAward,extraTime,award
16,101056,16,Keep Advancing,,Keep Advancing,Tiếp tục tiến về phía trước,,Ash and the Hero are traveling on the road. The Hero form several squads under Ash’s command to ensure exploration safety.,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=3806;y=432},<<3402;511>;<3806;432>>,15,60,,{8118=6},1,<4>,2,<5;1>,2,<10;1>,,,,,{gold=200000;rmb=100;501=3}
17,101056,17,Strange Circle,,Strange Circle,Vòng tròn lạ,,The roadside grass appears trampled over a long stretch—very odd. Ash and the Hero decide to take a closer look.,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=4447;y=442},<<3806;432>;<4157;275>;<4447;442>>,16,60,,{8118=10},3,<333>,9,<60;1>,,,,,,,{15=15;gold=400000;rmb=200}
18,101056,18,Keep Advancing,,Keep Advancing,Tiếp tục tiến về phía trước,,Ash and the Hero are traveling on the road. The Hero form several squads under Ash’s command to ensure exploration safety.,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=4272;y=770},<<4447;442>;<4272;770>>,17,30,,{8118=4},2,<1;1>,9,<25;2>,,,,,,,{gold=100000;930=100;rmb=50}
19,101056,19,Source of Life,,Source of Life,nguồn sống,,"After long travel, Ash's team is extremely thirsty. They spot lush plants ahead—perfect for drawing some life-saving water.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=4772;y=896},<<4272;770>;<4472;882>;<4772;896>>,18,60,,{8118=6},2,<4;3>,9,<35;1>,,,,,,,{gold=200000;rmb=100;962=2}
20,101056,20,Fort Road I,,Fort Road I,Đường Fort Ⅰ,,"Upon entering the desert, they encounter a fork in the road. A narrow path seems scenic. Ash sends a scout team to check it out.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=4884;y=1036},<<4772;896>;<4484;990>;<4570;1096>;<4884;1036>>,19,60,,{8118=10},3,<333>,1,<4>,9,<80;1>,,,{502=2},,{gold=400000;rmb=200;529=1000}
21,101056,21,Extinguish,,Extinguish,Dập tắt,,The scorching sun ignites a dead tree by the road. Thick black smoke and heat block the way—they must extinguish the fire.,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=5288;y=958},<<4884;1036>;<5288;958>>,20,30,,{8118=4},3,<2242>,1,<4>,,,,,,,{gold=100000;rmb=50;962=2}
22,101056,22,Search II,,Search II,Tìm kiếm Ⅱ,,Beside the road is a small hill shaped uniquely by the desert wind. Could new Hero be living here?,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=5618;y=1084},<<5288;958>;<5618;1084>>,21,60,,{8118=6},1,<4>,10,<3;2>,11,<2;15>,,,,,{15=15;gold=200000;rmb=100}
23,101056,23,Uncommon,,Uncommon,Không phổ biến,,"This is supposed to be the fastest way to the town, but the path disappears ahead. Ash decides to split up and map the terrain.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=5912;y=1084},<<5618;1084>;<5912;1084>>,22,60,,{8118=10},2,<9;1>,2,<10;1>,2,<11;1>,,,,,{gold=400000;5000=100;rmb=200}
24,101056,24,Helping Others,,Helping Others,Giúp đỡ người khác,,"It looks like the road leads to a town. Beside it, someone seems to be planting greenery. Ash decides to help out.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=5870;y=746},<<5912;1084>;<6070;980>;<6152;770>;<5870;746>>,23,30,,{8118=4},4,<2;1>,10,<3;2>,,,,,,,{gold=100000;974=1;rmb=50}
25,101056,25,Fort Road II,,Fort Road II,Đường Fort Ⅱ,,"It’s the second time they found a fork in the desert. Based on last time, Ash and the Hero don’t want to miss any “treasure.”",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=5452;y=440},<<5870;746>;<5514;642>;<5452;440>>,24,60,,{8118=10},1,<4>,2,<8;1>,2,<10;2>,10,<3;1>,{501=1},,{4000=500;gold=400000;rmb=200}
26,101056,26,Asking for Directions I,,Asking for Directions I,Hỏi đường Ⅰ,,Not far from the road is a small house that looks inhabited. Ash plans to take a few Hero and ask for directions.,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=5867;y=322},<<5452;440>;<5430;290>;<5867;322>>,25,30,,{8118=4},2,<4;3>,10,<2;2>,,,,,,,{gold=100000;rmb=50;2152=1}
27,101056,27,Asking for Directions II,,Asking for Directions II,Hỏi đường Ⅱ,,"Following a local’s guidance, Ash’s team soon finds the nearby town. Night falls, so they plan to quickly find a place to stay.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=6230;y=210},<<5867;322>;<6230;210>>,26,60,,{8118=6},2,<1;1>,4,<2;2>,9,<45;1>,,,,,{15=15;gold=200000;rmb=100}
28,101056,28,Fort Road III,,Fort Road III,Đường Fort III,,Yet another fork in the road! This one stretches into the distance. They’ll need to be extremely careful here.,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=6820;y=398},<<6230;210>;<6820;398>>,27,60,,{8118=10},3,<333>,2,<5;2>,9,<65;1>,1,<4>,{521=1},,{604=20;gold=400000;rmb=200}
29,101056,29,All Ready to Go,,All Ready to Go,Tất cả đã sẵn sàng để đi,,The heat and constant travel have exhausted many Hero. Maybe making some icy food can help them cool down?,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=7216;y=620},<<6820;398>;<7216;620>>,28,60,,{8118=6},10,<3;1>,2,<3;1>,2,<6;1>,,,,,{gold=200000;rmb=100;529=2000}
30,101056,30,Sunny Beach,,Sunny Beach,Bãi biển nắng,,The road ends at an endless ocean. What a stunning view! Ash’s team decides to stop and begin a vacation!,,,,,common/icon/icon_box1.png,,activity/dispatch/box1_51send.png,3,,{x=6584;y=684},<<7216;620>;<6584;684>>,29,0,,{8118=10},,,,,,,,,,,{gold=1880000;rmb=1888;521=20}
41,101056,2~1,Search I,,Search I,TìmⅠ,,Ash and the Hero stumble upon a lush jungle. The trainer’s instincts say new Hero might live here.,,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box2_51send.png,2,,{x=1694;y=1186},<<1146;1141>;<1694;1186>>,2,20,,{8118=2},1,<4>,2,<2;1>,2,<5;1>,,,,,{gold=100000;rmb=50;503=3;'coin1'=800}
42,101056,4~1,Harvest Spring,,Harvest Spring,Mùa xuân thu hoạch,,"At the end of the path is a wild field with many berries in the distance. Luckily, there are tools nearby—Ash decides to harvest.",,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box2_51send.png,2,,{x=861;y=384},<<1142;503>;<861;384>>,4,30,,{8118=4},9,<25;1>,10,<2;3>,,,,,,,{519=3;gold=200000;rmb=100;'coin2'=800}
43,101056,4~2,Truly Fragrant,,Truly Fragrant,Thực sự thơm,,"It’s an abandoned field. Though overgrown with weeds, it still yields fruit—enough for Ash and the Hero to feast.",,,,,common/icon/icon_box1.png,,activity/dispatch/box2_51send.png,3,,{x=496;y=233},<<861;384>;<496;233>>,42,0,,{8118=6},,,,,,,,,,,{rmb=200;gold=400000;520=3;'coin3'=800}
44,101056,7~1,Pick Up,,Pick Up,Nhặt,,"The forest leaves are needle-shaped and dense. Though the fruit is good, it’s hard to pick. With help, they can eat soon.",,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box2_51send.png,2,,{x=2226;y=290},<<1924;541>;<2226;290>>,7,60,,{8118=4},9,<40;1>,10,<2;2>,,,,,,,{gold=200000;rmb=100;522=3}
45,101056,7~2,Eat Like the Wind,,Eat Like the Wind,Ăn như gió cuốn,,"Although picking fruit took a lot of effort, the juicy, sweet fruit quenched their thirst—Ash and the Hero couldn’t stop eating.",,,,,common/icon/icon_box1.png,,activity/dispatch/box2_51send.png,3,,{x=2538;y=443},<<2226;290>;<2538;443>>,44,0,,{8118=10},,,,,,,,,,,{gold=800000;rmb=400;531=3;'coin1'=800}
46,101056,10~1,Treasure Under the River,,Treasure Under the River,Kho báu dưới đáy sông,,The Hero discovered a trove of “treasure” under the upstream riverbed! But the current is strong—water-type help is needed.,,,,,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_jqr.png,activity/dispatch/box1_51send.png,2,5,{x=2086;y=1186},<<2416;1202>;<2086;1186>>,10,100,,{8118=6},3,<2242>,11,<10>,9,<100;1>,,,,120,{gold=400000;rmb=200;'coin2'=800;503=3}
47,101056,14~1,Foot of the Mountain,,Foot of the Mountain,Chân núi,,A Hero found a small hidden cave at the mountain's base. There’s a faint glow—could it be more treasure?,,,,,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_aqm.png,activity/dispatch/box2_51send.png,2,5,{x=4004;y=842},<<3584;832>;<4004;842>>,14,100,,{8118=6},3,<2242>,1,<4>,2,<2;2>,9,<100;1>,,120,{519=3;gold=400000;rmb=200;'coin3'=800}
48,101056,17~1,Treasure in the Air,,Treasure in the Air,Kho báu trong không khí,,"A flying Hero told Ash the top view looked like a map. Following it, they found a large treasure chest!",,,,,common/icon/icon_box1.png,,activity/dispatch/box_51send.png,3,,{x=4930;y=556},<<4447;442>;<4930;556>>,17,0,,{8118=10},,,,,,,,,,,{rmb=400;gold=800000;520=3}
49,101056,20~1,Small Mine,,Small Mine,Mỏ nhỏ,,A scout team found a mine at the end of this path. The entrance is huge with many forklifts—it’ll take effort to explore.,,,,,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_cz.png,activity/dispatch/box_51send.png,2,3,{x=5360;y=1164},<<4884;1036>;<5360;1164>>,20,180,,{8118=6},1,<4>,9,<80;2>,11,<2;5>,10,<3;4>,,180,{gold=400000;rmb=200;522=3;'coin1'=800}
50,101056,23~1,Random Harvest,,Random Harvest,Thu hoạch ngẫu nhiên,,"The road is under repair and doesn't lead to town. Luckily, the Hero found a chest full of items!",,,,,common/icon/icon_box1.png,,activity/dispatch/box_51send.png,3,,{x=6552;y=1210},<<5912;1084>;<6076;1118>;<6236;992>;<6552;1210>>,23,0,,{8118=10},,,,,,,,,,,{gold=800000;rmb=400;'coin2'=800;531=3}
51,101056,25~1,Large Mineral Deposit,,Large Mineral Deposit,Khoáng sản lớn,,"As expected, the scout team found another mine, larger than before. The Hero are ready for it.",,,,,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_cz.png,activity/dispatch/box_51send.png,2,3,{x=5047;y=280},<<5430;290>;<5047;280>>,25,180,,{8118=6},9,<100;2>,10,<3;4>,,,10,<4;1>,,240,{gold=400000;rmb=200;'coin3'=800;503=3}
52,101056,28~1,Next Step,,Next Step,Bước tiếp,,"After traveling all day, there’s been little progress—no caves or anything. The scout team decides to push ahead.",,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box_51send.png,2,,{x=7190;y=250},<<6820;398>;<7190;250>>,28,30,,{8118=3},1,<4>,9,<30;2>,,,,,,,{519=3;gold=400000;rmb=200}
53,101056,28~2,Continue,,Continue,Tiếp tục,,"No caves or pits at this fork. Some Hero are exhausted, but the rest decide to keep going forward.",,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box_51send.png,2,,{x=7468;y=268},<<7190;250>;<7468;268>>,52,30,,{8118=3},4,<1;2>,9,<30;1>,,,,,,,{rmb=200;gold=400000;520=3;'coin1'=800}
