VariableName,vip,taskParam,huodongID,award,taskType,taskSpecialParam,desc,desc_vn
306,,6,8829,{rmb=12;card={id=1091}},26,,Buy stamina 6 times,Buy stamina 6 times
307,,7,8829,{rmb=12;card={id=1111}},26,,Buy stamina 7 times,Buy stamina 7 times
401,,1,8830,{rmb=10;gold=2000},17,,Log in accumulated 1 day,Log in accumulated 1 day
402,,2,8830,{rmb=10;gold=2000},17,,Log in accumulated 2 days,Log in accumulated 2 days
403,,3,8830,{rmb=10;gold=2000},17,,Log in accumulated 3 days,Log in accumulated 3 days
404,,4,8830,{rmb=10;gold=2000},17,,Log in accumulated 4 days,Log in accumulated 4 days
405,,5,8830,{rmb=10;gold=2000},17,,Log in accumulated 5 days,Log in accumulated 5 days
406,,6,8830,{rmb=10;gold=2000},17,,Log in accumulated 6 days day,Log in accumulated 6 days day
407,,7,8830,{rmb=10;gold=2000},17,,Login accumulated for 7 days,Login accumulated for 7 days
501,,25,100033,{rmb=10;gold=2000},1,,Character reached level 25,Character reached level 25
502,,10102,100033,{rmb=10;gold=2000},2,,Complete chapter 1 stage 2,Complete chapter 1 stage 2
503,,5,100033,{rmb=10;gold=2000},3,,Own 5 random ninjas,Own 5 random ninjas
504,,7,100033,{rmb=10;gold=2000},5,,VIP reached level 7,VIP reached level 7
505,,10000,100033,{rmb=10;gold=2000},6,,Combat power reached 10000,Combat power reached 10000
506,,,100033,{rmb=10;gold=2000},9,{5=3},Own 5 A-rank ninjas,Own 5 A-rank ninjas
507,,,100033,{rmb=10;gold=2000},10,{2=4},Have 2 4-star ninjas,Have 2 4-star ninjas
508,,,100033,{rmb=10;gold=2000},11,{1=3},Own 1 green equipment,Own 1 green equipment
509,,,100033,{rmb=10;gold=2000},12,{1=2},Own 1 2-star equipment,Own 1 2-star equipment
510,,1,100033,{rmb=10;gold=2000},13,,激活妙蛙种子,激活妙蛙种子
511,,,100033,{rmb=10;gold=2000},15,,log in today,log in today
512,,2,100033,{rmb=10;gold=2000},17,,Log in for 2 days,Log in for 2 days
513,,2,100033,{rmb=10;gold=2000},18,,Collect accumulated treasure 2 times,Collect accumulated treasure 2 times
514,,10000,100033,{rmb=10;gold=2000},19,,"Collected a total of 10,000 Gold","Collected a total of 10,000 Gold"
515,,10000,100033,{rmb=10;gold=2000},20,,"Spend accumulated 10,000 Gold","Spend accumulated 10,000 Gold"
516,,500,100033,{rmb=10;gold=2000},21,,Spend accumulated 500 Yuanbao,Spend accumulated 500 Yuanbao
517,,500,100033,{rmb=10;gold=2000},22,,Recharge accumulated 500 Yuanbao,Recharge accumulated 500 Yuanbao
518,,2,100033,{rmb=10;gold=2000},26,,Buy stamina 2 times,Buy stamina 2 times
519,,2,100033,{rmb=10;gold=2000},29,,Accumulate normal challenge 2 times,Accumulate normal challenge 2 times
520,,1,100033,{rmb=10;gold=2000},30,,Accumulate difficult challenge 1 time,Accumulate difficult challenge 1 time
521,,1,100033,{rmb=10;gold=2000},31,,Accumulate nightmare challenge 1 time,Accumulate nightmare challenge 1 time
522,,2,100033,{rmb=10;gold=2000},32,,Accumulate nightmare challenge 2 times,Accumulate nightmare challenge 2 times
523,,2,100033,{rmb=10;gold=2000},33,,Pass any level 2 times,Pass any level 2 times
524,,10,100033,{rmb=10;gold=2000},34,,Upgrade any ninja skill 10 times,Upgrade any ninja skill 10 times
525,,5,100033,{rmb=10;gold=2000},35,,Accumulate Ninja upgrade 5 times,Accumulate Ninja upgrade 5 times
526,,5,100033,{rmb=10;gold=2000},36,,Accumulate Ninja upgrade 5 times,Accumulate Ninja upgrade 5 times
527,,5,100033,{rmb=10;gold=2000},37,,Accumulate Ninja star increase 5 times,Accumulate Ninja star increase 5 times
528,,5,100033,{rmb=10;gold=2000},38,,A total of 5 accessories have been strengthened,A total of 5 accessories have been strengthened
529,,2,100033,{rmb=10;gold=2000},39,,Accumulate jewelry breakthrough 2 times,Accumulate jewelry breakthrough 2 times
530,,2,100033,{rmb=10;gold=2000},40,,A total of 2 equipment star increase times,A total of 2 equipment star increase times
531,,5,100033,{rmb=10;gold=2000},41,,Arena 5 times,Arena 5 times
532,,500,100033,{rmb=10;gold=2000},43,,Reach 20 arena points,Reach 20 arena points
533,,10,100033,{rmb=10;gold=2000},44,,Reach 10th place in the arena,Reach 10th place in the arena
534,,2,100033,{rmb=10;gold=2000},46,,Perform withdrawal 10 consecutive cards 2 times,Perform withdrawal 10 consecutive cards 2 times
535,,2,100033,{rmb=10;gold=2000},47,,Draw 2 single cards,Draw 2 single cards
536,,2,100033,{rmb=10;gold=2000},48,,Draw 10 coins twice,Draw 10 coins twice
537,,2,100033,{rmb=10;gold=2000},49,,Perform a single coin draw twice,Perform a single coin draw twice
538,,6,100033,{rmb=10;gold=2000},50,,Yuanbao draws a card 5 times,Yuanbao draws a card 5 times
539,,6,100033,{rmb=10;gold=2000},51,,Draw a coin card 5 times,Draw a coin card 5 times
540,,6,100033,{rmb=10;gold=2000},52,,Draw an accessory card 5 times,Draw an accessory card 5 times
541,,2,100033,{rmb=10;gold=2000},53,,Draw 10 accessories twice in a row,Draw 10 accessories twice in a row
542,,2,100033,{rmb=10;gold=2000},54,,Perform a single accessory draw twice,Perform a single accessory draw twice
543,,3,100033,{rmb=10;gold=2000},55,,Donate to the Guild 3 times,Donate to the Guild 3 times
544,,2,100033,{rmb=10;gold=2000},57,,Give a Guild Red Envelope 2 times,Give a Guild Red Envelope 2 times
545,,2,100033,{rmb=10;gold=2000},58,,Snatch a Guild Red Envelope 2 times,Snatch a Guild Red Envelope 2 times
546,,1,100033,{rmb=10;gold=2000},59,,Participate in a dungeon once,Participate in a dungeon once
547,,2,100033,{rmb=10;gold=2000},60,,Successfully clear 2 rooms in Anbu Special Training.,Successfully clear 2 rooms in Anbu Special Training.
548,,6,100033,{rmb=10;gold=2000},61,,Successfully open the Anbu Special Training Box 6 times.,Successfully open the Anbu Special Training Box 6 times.
549,,100,100033,{rmb=10;gold=2000},62,,Gain 100 points in the Anbu Special Training Day.,Gain 100 points in the Anbu Special Training Day.
550,,300,100033,{rmb=10;gold=2000},63,,Gain 300 points in Anbu Special Training.,Gain 300 points in Anbu Special Training.
551,,2,100033,{rmb=11;gold=2000},64,,Accumulate and successfully clear 2 floors in the Random Challenge Tower.,Accumulate and successfully clear 2 floors in the Random Challenge Tower.
552,,3,100033,{rmb=12;gold=2000},66,,Participate and successfully win 3 times in the image challenge.,Participate and successfully win 3 times in the image challenge.
553,,3,100033,{rmb=13;gold=2000},67,,Successfully clear the highest floor of 3 in the Random Challenge Tower.,Successfully clear the highest floor of 3 in the Random Challenge Tower.
554,,3,100033,{rmb=14;gold=2000},70,,Complete the daily mission 3 times.,Complete the daily mission 3 times.
555,,3,100033,{rmb=10;gold=2000},83,,Upgrade the exploration equipment spirit 3 times.,Upgrade the exploration equipment spirit 3 times.
556,,3,100033,{rmb=10;gold=2000},84,,Activate/Upgrade the exploration equipment spirit 3 times.,Activate/Upgrade the exploration equipment spirit 3 times.
557,,3,100033,{rmb=10;gold=2000},85,,Complete the deployment mission 3 times.,Complete the deployment mission 3 times.
558,,,100033,{rmb=10;gold=2000},86,{3=4},Complete the S-quality deployment mission 3 times.,Complete the S-quality deployment mission 3 times.
559,,3,100033,{rmb=10;gold=2000},87,,Enhance the carrying tool 3 times.,Enhance the carrying tool 3 times.
560,,3,100033,{rmb=10;gold=2000},88,,Breakthrough the carrying tool 3 times.,Breakthrough the carrying tool 3 times.
561,,20,100033,{rmb=10;gold=2000},89,,Train 20 times.,Train 20 times.
562,,10,100033,{rmb=10;gold=2000},90,,Train the normal growth value 10 times.,Train the normal growth value 10 times.
563,,10,100033,{rmb=10;gold=2000},91,,Train the advanced growth value 10 times.,Train the advanced growth value 10 times.
564,,3,100033,{rmb=10;gold=2000},92,,Upgrade the potential 3 times.,Upgrade the potential 3 times.
565,,10,100033,{rmb=10;gold=2000},95,,Draw the restricted card 10 times.,Draw the restricted card 10 times.
566,,3,100033,{rmb=10;gold=2000},96,,Draw the restricted card with Ingot 3 times.,Draw the restricted card with Ingot 3 times.
601,,2,100034,{rmb=11;gold=2000},64,,Pass the accumulation of 2 floors in the Random Trial Tower.,Pass the accumulation of 2 floors in the Random Trial Tower.
602,,3,100034,{rmb=13;gold=2000},67,,Pass the highest floor of 3 floors in the Random Trial Tower.,Pass the highest floor of 3 floors in the Random Trial Tower.
603,,2,100034,{rmb=10;gold=2000},60,,Complete through 2 rooms in the Anbu special training.,Complete through 2 rooms in the Anbu special training.
611,,5,100035,{5000=10;11=30;gold=100000;rmb=100},1,,Reach Lv.5,Reach Lv.5
612,,10,100035,{gold=150000;11=30;19=5;rmb=200},1,,Reach Lv.10,Reach Lv.10
613,,15,100035,{gold=200000;11=30;rmb=300;100=5},1,,Reach Lv.15,Reach Lv.15
621,,20,100036,{800=5;gold=250000;12=20;rmb=300},1,,Reach Lv.20,Reach Lv.20
622,,25,100036,{801=5;gold=300000;12=20;rmb=400},1,,Reach Lv.25,Reach Lv.25
623,,30,100036,{451=5;12=20;gold=350000;rmb=400},1,,Reach Lv.30,Reach Lv.30
1001,,10,1001,{13=10;22141=2;gold=10000},51,,Draw card 10 times with Gold,Draw card 10 times with Gold
1002,,20,1001,{13=10;22141=2;gold=20000},51,,Draw card 20 times with Gold,Draw card 20 times with Gold
1003,,2,1001,{13=10;22141=2;gold=20000},96,,Draw card 2 times at will,Draw card 2 times at will
1004,,10,1001,{13=10;22141=4;gold=20000},96,,Draw card 10 times at will,Draw card 10 times at will
1005,,20,1001,{13=10;22141=6;gold=30000},96,,Draw card 20 times at will,Draw card 20 times at will
1006,,30,1001,{13=10;22141=6;gold=40000},96,,Draw card 30 times at will,Draw card 30 times at will
1007,,40,1001,{14=10;22141=8;gold=50000},96,,Draw card 40 times at will,Draw card 40 times at will
1008,,60,1001,{14=10;card={id=2141};gold=60000},96,,Draw card 60 times at will,Draw card 60 times at will
1009,,80,1001,{14=10;gold=80000;talent_point=6},96,,Draw card 80 times at will,Draw card 80 times at will
1010,,100,1001,{22141=10;15=10;gold=100000},96,,Draw card 100 times at will,Draw card 100 times at will
1011,,120,1001,{22141=10;15=10;gold=120000},96,,Draw card 120 times at will,Draw card 120 times at will
1012,,150,1001,{card={id=2141};15=10;gold=150000},96,,Draw card 150 times at will,Draw card 150 times at will
1031,,60,1002,{gold=60000;5000=20;501=1;rmb=60},22,,Deposit 60 diamond.,Deposit 60 diamond.
1032,,300,1002,{13=20;gold=80000;501=1;503=3},22,,Deposit 300 diamond.,Deposit 300 diamond.
1033,,600,1002,{930=30;gold=100000;2102=10;503=5},22,,Deposit 600 diamond.,Deposit 600 diamond.
1034,,980,1002,{gold=120000;901=20;501=1;2103=10},22,,Deposit 980 diamond.,Deposit 980 diamond.
1035,,1980,1002,{957=100;gold=140000;902=30;2103=10},22,,Deposit 1980 diamond.,Deposit 1980 diamond.
1036,,3280,1002,{502=30;gold=160000;501=3;2103=10},22,,Deposit 3280 diamond.,Deposit 3280 diamond.
1037,,6480,1002,{14=20;957=100;6059=1;gold=180000},22,,Top up 6480 Diamond.,Top up 6480 Diamond.
1038,,9680,1002,{14=20;6059=1;gold=200000;501=5},22,,Top up 9680 Diamond.,Top up 9680 Diamond.
1039,,12000,1002,{14=30;957=150;6059=1;gold=220000},22,,Top up 12000 Diamond.,Top up 12000 Diamond.
1040,,15000,1002,{502=50;6059=1;gold=250000;14=30},22,,Top up 15000 Diamond.,Top up 15000 Diamond.
1041,,20000,1002,{14=50;957=200;gold=300000;945=1},22,,Top up 20000 Diamond.,Top up 20000 Diamond.
1042,,25000,1002,{502=50;gold=500000;14=50;902=50},22,,Top up 25000 Diamond.,Top up 25000 Diamond.
1043,,30000,1002,{502=80;gold=500000;14=50;902=50},22,,Top up 30000 Diamond.,Top up 30000 Diamond.
1044,,40000,1002,{14=70;gold=500000;2153=1;501=8},22,,Top up 40000 Diamond.,Top up 40000 Diamond.
1045,,50000,1002,{14=100;602=50;gold=1000000;521=50},22,,Top up 50000 Diamond.,Top up 50000 Diamond.
1051,,150,1003,{gold=500000;rmb=50;501=1;502=2},22,,Recharge 150 Diamond,Recharge 150 Diamond
1052,,300,1003,{gold=500000;501=2;503=2;500=1},22,,Recharge 300 Diamond,Recharge 300 Diamond
1053,,750,1003,{gold=1000000;502=5;503=5;519=5;6058=1},22,,Recharge 750 Diamond,Recharge 750 Diamond
1054,,1000,1003,{gold=1500000;501=10;519=5;6057=1;500=2},22,,Recharge 1000 Diamond,Recharge 1000 Diamond
1055,,2000,1003,{gold=2000000;rmb=500;502=10;520=10;6056=1},22,,Recharge 2000 Diamond,Recharge 2000 Diamond
1056,,3000,1003,{gold=2500000;502=15;520=20;6055=1;4000=200},22,,Recharge 3000 Diamond,Recharge 3000 Diamond
1057,,5000,1003,{card={id=9002};gold=3000000;902=50;5000=1000},22,,Recharge 5000 Diamond,Recharge 5000 Diamond
1058,,7500,1003,{8888=1;521=10;519=30;6053=1;6054=1;19=50},22,,Recharge 7500 Diamond,Recharge 7500 Diamond
1059,,10000,1003,{8804=1;520=30;531=20;537=30;6051=1;6052=1},22,,Recharge 10000 Diamond,Recharge 10000 Diamond
1060,,15000,1003,{521=30;2153=1;6050=2;2103=200;2152=2;4000=1000},22,,Recharge 15000 Diamond,Recharge 15000 Diamond
1061,,22500,1003,{card={id=9003};994=2;7325=2;6050=4;851=500;850=1000},22,,Recharge 22500 Diamond,Recharge 22500 Diamond
1062,,30000,1003,{rmb=5000;9056=1;6107=1;124=200;151=5000;529=10000},22,,Recharge 30000 Diamond,Recharge 30000 Diamond
1063,,50000,1003,{rmb=10000;9056=2;16=500;111=5000;967=10;6120=1;4000=3000},22,,Recharge 50000 Diamond,Recharge 50000 Diamond
1064,,75000,1003,{rmb=20000;9055=1;9056=5;6059=5;6105=1;124=300;529=20000},22,,Recharge 75000 Diamond,Recharge 75000 Diamond
1071,,300,1004,{930=10;5000=10;gold=60000},21,,Spend 300 Diamond.,Spend 300 Diamond.
1072,,1000,1004,{22171=10;gold=80000;5000=15},21,,Spend 1000 Diamond.,Spend 1000 Diamond.
1073,,2000,1004,{452=20;gold=80000;5000=10},21,,Spend 2000 Diamond.,Spend 2000 Diamond.
1074,,4000,1004,{22171=20;gold=100000;5000=15},21,,Spend 4000 Diamond.,Spend 4000 Diamond.
1075,,7000,1004,{452=30;gold=120000;5000=15},21,,Spend 7000 Diamond.,Spend 7000 Diamond.
1076,,10000,1004,{22171=30;gold=120000;5000=15},21,,Spend 10000 Diamond.,Spend 10000 Diamond.
1077,,14000,1004,{452=40;gold=140000;5000=20},21,,Spend 14000 Diamond.,Spend 14000 Diamond.
1078,,18000,1004,{22171=40;gold=160000;5000=20},21,,Spend 18000 Diamond.,Spend 18000 Diamond.
1079,,22000,1004,{452=50;gold=180000;5000=25},21,,Spend 22000 Diamond.,Spend 22000 Diamond.
1080,,25000,1004,{22171=50;gold=200000;5000=30},21,,Spend 25000 Diamond.,Spend 25000 Diamond.
1091,,10,1005,{941=1;516=1;gold=20000;talent_point=2},105,,Draw Gem 10 times,Draw Gem 10 times
1092,,30,1005,{gold=30000;516=1;talent_point=3},105,,Draw Gem 30 times,Draw Gem 30 times
1093,,60,1005,{941=1;516=2;gold=40000;talent_point=4},105,,Draw Gem 60 times,Draw Gem 60 times
1094,,100,1005,{gold=50000;516=3;talent_point=5},105,,Draw Gem 100 times,Draw Gem 100 times
1095,,150,1005,{516=4;gold=60000;942=1;talent_point=6},105,,Draw Gem 150 times,Draw Gem 150 times
1096,,200,1005,{gold=80000;516=4;talent_point=8},105,,Draw Gem 200 times,Draw Gem 200 times
1097,,300,1005,{516=5;gold=100000;942=1;talent_point=8},105,,Draw Gem 300 times,Draw Gem 300 times
1101,,1,1006,{930=5;519=10;gold=10000;rmb=100},17,,Log in 1 day.,Log in 1 day.
1102,,2,1006,{card={id=271};31201=1;gold=10000;rmb=100},17,,Log in 2 days.,Log in 2 days.
1103,,3,1006,{13=20;card={id=391};gold=12000;rmb=100},17,,Login 3 days.,Login 3 days.
1104,,4,1006,{gold=12000;100=3;rmb=120;503=2},17,,Login 4 days.,Login 4 days.
1105,,5,1006,{451=30;gold=15000;501=1;rmb=120},17,,Login 5 days.,Login 5 days.
1106,,6,1006,{502=2;talent_point=3;gold=20000;rmb=120},17,,Login 6 days.,Login 6 days.
1107,,7,1006,{13=20;card={id=771};gold=30000;rmb=150},17,,Login 7 days.,Login 7 days.
1201,,5,1007,{gold=25000;12=5;rmb=100;519=2;20333=30},1,,Reach Lv.5,Reach Lv.5
1202,,10,1007,{930=5;gold=25000;519=2;rmb=100;20333=30},1,,Reach Lv.10,Reach Lv.10
1203,,15,1007,{20333=30;gold=40000;100=3;519=2;rmb=100},1,,Reach Lv.15,Reach Lv.15
1204,,20,1007,{gold=40000;5000=5;rmb=100;519=2;20333=30},1,,Reach Lv.20,Reach Lv.20
1205,,25,1007,{941=1;519=2;20641=15;gold=50000;rmb=100},1,,Reach Lv.25,Reach Lv.25
1206,,30,1007,{519=2;20641=15;gold=50000;rmb=100;966=1},1,,Reach Lv.30,Reach Lv.30
1207,,33,1007,{gold=75000;519=2;rmb=100;talent_point=3;20641=15},1,,Reach Lv.33,Reach Lv.33
1208,,36,1007,{902=20;gold=100000;rmb=100;519=2;20641=15},1,,Reach Lv.36,Reach Lv.36
1209,,39,1007,{519=2;20641=15;gold=120000;rmb=100;452=50},1,,Reach Lv.39,Reach Lv.39
1210,,42,1007,{6050=1;519=2;20641=15;gold=150000;rmb=100},1,,Reach Lv.42,Reach Lv.42
1211,,45,1007,{930=50;gold=170000;519=2;rmb=100;20641=15},1,,Reach Lv.45,Reach Lv.45
1212,,48,1007,{20641=15;519=2;5000=50;gold=200000;rmb=100},1,,Reach Lv.48,Reach Lv.48
1213,,50,1007,{519=2;20641=15;gold=220000;rmb=100;945=1},1,,Reach Lv.50,Reach Lv.50
1214,,52,1007,{gold=250000;519=2;rmb=100;talent_point=3;20641=15},1,,Reach Lv.52,Reach Lv.52
1215,,54,1007,{902=20;gold=300000;rmb=100;519=2;20641=15},1,,Reach Lv.54,Reach Lv.54
1216,,56,1007,{gold=350000;452=50;20641=15;rmb=100;527=2},1,,Reach Lv.56,Reach Lv.56
1217,,58,1007,{gold=400000;20641=15;501=1;rmb=100;527=2},1,,Reach Lv.58,Reach Lv.58
1218,,60,1007,{gold=450000;20641=15;2152=1;rmb=100;527=2},1,,Reach Lv.60,Reach Lv.60
1219,,62,1007,{talent_point=3;20641=15;gold=500000;rmb=100;527=2},1,,Reach Lv.62,Reach Lv.62
1220,,64,1007,{gold=550000;20641=15;902=20;rmb=100;527=2},1,,Reach Lv.64,Reach Lv.64
1221,,66,1007,{gold=600000;452=50;20641=15;rmb=100;527=2},1,,Reach Lv.66,Reach Lv.66
1222,,68,1007,{gold=650000;20641=15;501=1;rmb=100;527=2},1,,Reach Lv.68,Reach Lv.68
1223,,70,1007,{gold=700000;20641=15;6271=1;rmb=100;527=2},1,,Reach Lv.70,Reach Lv.70
1224,,72,1007,{502=15;talent_point=3;gold=750000;rmb=100;527=2},1,,Reach Lv.72,Reach Lv.72
1225,,74,1007,{502=15;gold=800000;902=20;rmb=100;527=2},1,,Reach Lv.74,Reach Lv.74
1226,,76,1007,{502=15;gold=850000;452=50;rmb=100;527=2},1,,Reach Lv.76,Reach Lv.76
1227,,78,1007,{502=15;gold=900000;501=1;rmb=100;527=2},1,,Reach Lv.78,Reach Lv.78
1228,,80,1007,{502=15;gold=950000;7324=1;rmb=100;527=2},1,,Reach Lv.80,Reach Lv.80
1229,,82,1007,{502=15;talent_point=3;gold=1000000;rmb=100;527=2},1,,Reach Lv.82,Reach Lv.82
1230,,300,1008,{13=10;503=1;gold=60000},21,,Spend 300 Diamond.,Spend 300 Diamond.
1231,,600,1008,{13=10;503=1;gold=60000},21,,Spend 600 gold coins.,Spend 600 gold coins.
1232,,1000,1008,{13=20;503=1;gold=80000},21,,Spend 1000 gold coins.,Spend 1000 gold coins.
1233,,2000,1008,{14=10;gold=80000;503=2},21,,Spend 2000 gold coins.,Spend 2000 gold coins.
1234,,3000,1008,{14=10;gold=80000;503=2},21,,Spend 3000 gold coins.,Spend 3000 gold coins.
1235,,5000,1008,{502=10;14=10;gold=100000},21,,Spend 5000 gold coins.,Spend 5000 gold coins.
1236,,7000,1008,{502=10;15=10;gold=120000},21,,Spend 7000 gold coins.,Spend 7000 gold coins.
1237,,10000,1008,{502=15;902=20;gold=140000},21,,Spend 10000 gold coins.,Spend 10000 gold coins.
1238,,15000,1008,{502=15;902=20;gold=160000},21,,Spend 15000 gold coins.,Spend 15000 gold coins.
1239,,20000,1008,{521=30;902=30;gold=180000},21,,Spend 20000 gold coins.,Spend 20000 gold coins.
1240,,30000,1008,{521=50;902=30;gold=200000},21,,Spend 30000 gold coins.,Spend 30000 gold coins.
1241,,84,1007,{502=15;gold=1050000;902=20;rmb=100;527=2},1,,Reach Lv.84,Reach Lv.84
1242,,86,1007,{502=15;gold=1100000;452=50;rmb=100;527=2},1,,Reach Lv.86,Reach Lv.86
1243,,88,1007,{502=15;gold=1150000;501=1;rmb=100;527=2},1,,Reach Lv.88,Reach Lv.88
1244,,90,1007,{502=15;gold=1200000;7325=1;rmb=100;527=2},1,,Reach Lv.90,Reach Lv.90
1250,,10,1009,{13=10;20641=2;gold=10000},51,,Draw a Bronze card 10 times.,Draw a Bronze card 10 times.
1251,,20,1009,{13=10;20641=2;gold=20000},51,,Draw a Bronze card 20 times.,Draw a Bronze card 20 times.
1252,,2,1009,{13=10;20641=2;gold=20000},96,,Draw a self-selected card or draw a Gold coin card 2 times.,Draw a self-selected card or draw a Gold coin card 2 times.
1253,,10,1009,{12=10;20641=4;gold=30000},96,,Draw a self-selected card or draw a Gold coin card 10 times.,Draw a self-selected card or draw a Gold coin card 10 times.
1254,,20,1009,{12=10;20641=4;gold=40000},96,,Draw a self-selected card or draw a Gold coin card 20 times.,Draw a self-selected card or draw a Gold coin card 20 times.
1255,,30,1009,{519=5;gold=50000;12=10;20641=6},96,,Draw a self-selected card or draw a Gold coin card 30 times.,Draw a self-selected card or draw a Gold coin card 30 times.
1256,,40,1009,{13=10;20641=6;gold=60000},96,,Draw a card of your choice or draw a card with Diamond 40 times.,Draw a card of your choice or draw a card with Diamond 40 times.
1257,,60,1009,{13=10;20641=8;gold=80000},96,,Draw a card of your choice or draw a card with Diamond 60 times.,Draw a card of your choice or draw a card with Diamond 60 times.
1258,,80,1009,{13=10;20641=10;gold=100000},96,,Draw a card of your choice or draw a card with Diamond 80 times.,Draw a card of your choice or draw a card with Diamond 80 times.
1259,,100,1009,{13=10;519=10;gold=120000;20641=15},96,,Draw a card of your choice or draw a card with Diamond 100 times.,Draw a card of your choice or draw a card with Diamond 100 times.
1260,,120,1009,{14=10;20641=20;gold=150000},96,,Draw a card of your choice or draw a card with Diamond 120 times.,Draw a card of your choice or draw a card with Diamond 120 times.
1261,,150,1009,{14=10;20641=25;gold=150000},96,,Draw a card of your choice or draw a card with Diamond 150 times.,Draw a card of your choice or draw a card with Diamond 150 times.
1271,,1,1010,{520=1;rmb=50;gold=10000},17,,Login 1 day.,Login 1 day.
1272,,2,1010,{503=1;rmb=50;gold=10000},17,,Login 2 days.,Login 2 days.
1273,,3,1010,{519=1;rmb=100;gold=12000},17,,Login 3 days.,Login 3 days.
1274,,4,1010,{502=3;rmb=50;gold=12000},17,,Login 4 days.,Login 4 days.
1275,,5,1010,{501=1;rmb=50;gold=15000},17,,Login 5 days.,Login 5 days.
1276,,6,1010,{503=1;rmb=50;gold=20000},17,,Login 6 days.,Login 6 days.
1277,,7,1010,{6050=1;rmb=100;gold=30000},17,,Login 7 days.,Login 7 days.
1281,,5,1011,{521=1;961=1;516=1;4000=100;gold=100000},94,,Withdraw Spirit 5 times.,Withdraw Spirit 5 times.
1282,,10,1011,{521=2;962=1;516=2;4000=200;gold=200000},94,,Withdraw Spirit 10 times.,Withdraw Spirit 10 times.
1283,,30,1011,{521=3;962=1;516=3;4000=300;gold=300000},94,,Withdraw Spirit 30 times.,Withdraw Spirit 30 times.
1284,,50,1011,{521=4;963=1;516=4;4000=400;gold=500000},94,,Withdraw Spirit 50 times.,Withdraw Spirit 50 times.
1285,,70,1011,{521=5;963=1;516=5;4000=500;gold=600000},94,,Withdraw Spirit 70 times.,Withdraw Spirit 70 times.
1286,,100,1011,{521=6;967=1;516=8;4000=600;gold=800000},94,,Withdraw Spirit 100 times.,Withdraw Spirit 100 times.
1287,,150,1011,{521=10;967=1;516=10;4000=1000;gold=1000000},94,,Withdraw Spirit 150 times.,Withdraw Spirit 150 times.
1291,,1,1012,{502=2;rmb=50;gold=10000},17,,Login 1 day.,Login 1 day.
1292,,2,1012,{503=1;rmb=50;gold=10000},17,,Login 2 days.,Login 2 days.
1293,,3,1012,{519=1;rmb=100;gold=12000},17,,Login 3 days.,Login 3 days.
1294,,4,1012,{502=3;rmb=50;gold=12000},17,,Login 4 days.,Login 4 days.
1295,,5,1012,{501=1;rmb=50;gold=15000},17,,Login 5 days.,Login 5 days.
1296,,6,1012,{520=1;rmb=50;gold=20000},17,,Login 6 days.,Login 6 days.
1297,,7,1012,{502=6;rmb=100;gold=30000},17,,Login 7 days.,Login 7 days.
1300,,60,1013,{gold=60000;5000=20;501=1;rmb=60},22,,Deposit 60 gold coins.,Deposit 60 gold coins.
1301,,300,1013,{13=20;gold=80000;501=1;503=3},22,,Deposit 300 gold coins.,Deposit 300 gold coins.
