VariableName,huodongID,pointRequire,award,boxIcon
69,1006,5000,{22241=30;501=8;gold=220000},3
71,1007,30,{501=1;gold=60000;21921=3},
72,1007,100,{501=2;gold=80000;21921=5},
73,1007,300,{501=2;gold=100000;21921=5},
74,1007,600,{501=3;gold=120000;21921=7},2
75,1007,1200,{501=3;gold=140000;21921=10},2
76,1007,1800,{501=4;gold=160000;21921=10},2
77,1007,2700,{501=5;gold=180000;21921=15},3
78,1007,3600,{501=6;gold=200000;21921=15},3
79,1007,5000,{501=8;gold=220000;21921=30},3
81,1008,30,{501=1;gold=60000;22401=3},
82,1008,100,{501=2;gold=80000;22401=5},
83,1008,300,{501=2;gold=100000;22401=5},
84,1008,600,{501=3;gold=120000;22401=7},2
85,1008,1200,{501=3;gold=140000;22401=10},2
86,1008,1800,{501=4;gold=160000;22401=10},2
87,1008,2700,{501=5;gold=180000;22401=15},3
88,1008,3600,{501=6;gold=200000;22401=15},3
89,1008,5000,{501=8;gold=220000;22401=30},3
91,1009,30,{22471=3;501=1;gold=60000},
92,1009,100,{22471=5;501=2;gold=80000},
93,1009,300,{22471=5;501=2;gold=100000},
94,1009,600,{22471=7;501=3;gold=120000},2
95,1009,1200,{22471=10;501=3;gold=140000},2
96,1009,1800,{22471=10;501=4;gold=160000},2
97,1009,2700,{22471=15;501=5;gold=180000},3
98,1009,3600,{22471=15;501=6;gold=200000},3
99,1009,5000,{22471=30;501=8;gold=220000},3
110,1011,30,{501=1;gold=60000;20641=3},
111,1011,100,{501=2;gold=80000;20641=5},
112,1011,300,{501=2;gold=100000;20641=5},
113,1011,600,{501=3;gold=120000;20641=7},2
114,1011,1200,{501=3;gold=140000;20641=10},2
115,1011,1800,{501=4;gold=160000;20641=10},2
116,1011,2700,{501=5;gold=180000;20641=15},3
117,1011,3600,{501=6;gold=200000;20641=15},3
118,1011,5000,{501=8;gold=220000;20641=30},3
120,1012,30,{501=1;22181=3;gold=60000},
121,1012,100,{501=2;22181=5;gold=80000},
122,1012,300,{501=2;22181=5;gold=100000},
123,1012,600,{501=3;22181=7;gold=120000},2
124,1012,1200,{501=3;22181=10;gold=140000},2
125,1012,1800,{501=4;22181=10;gold=160000},2
126,1012,2700,{501=5;22181=15;gold=180000},3
127,1012,3600,{501=6;22181=15;gold=200000},3
128,1012,5000,{501=8;22181=30;gold=220000},3
130,1013,30,{23841=3;501=1;gold=60000},
131,1013,100,{23841=5;501=2;gold=80000},
132,1013,300,{23841=5;501=2;gold=100000},
133,1013,600,{23841=7;501=3;gold=120000},2
134,1013,1200,{23841=10;501=3;gold=140000},2
135,1013,1800,{23841=10;501=4;gold=160000},2
136,1013,2700,{23841=15;501=5;gold=180000},3
137,1013,3600,{23841=15;501=6;gold=200000},3
138,1013,5000,{23841=30;501=8;gold=220000},3
140,1014,30,{21031=3;501=1;gold=60000},
141,1014,100,{21031=5;501=2;gold=80000},
142,1014,300,{21031=5;501=2;gold=100000},
143,1014,600,{21031=7;501=3;gold=120000},2
144,1014,1200,{21031=10;501=3;gold=140000},2
145,1014,1800,{21031=10;501=4;gold=160000},2
146,1014,2700,{21031=15;501=5;gold=180000},3
147,1014,3600,{21031=15;501=6;gold=200000},3
148,1014,5000,{21031=30;501=8;gold=220000},3
150,1015,30,{501=1;gold=60000;24131=3},
151,1015,100,{501=2;gold=80000;24131=5},
152,1015,300,{501=2;gold=100000;24131=5},
153,1015,600,{501=3;gold=120000;24131=7},2
154,1015,1200,{501=3;gold=140000;24131=10},2
155,1015,1800,{501=4;gold=160000;24131=10},2
156,1015,2700,{501=5;gold=180000;24131=15},3
157,1015,3600,{501=6;gold=200000;24131=15},3
158,1015,5000,{501=8;gold=220000;24131=30},3
160,1016,30,{501=1;20861=3;gold=60000},
161,1016,100,{501=2;20861=5;gold=80000},
162,1016,300,{501=2;20861=5;gold=100000},
163,1016,600,{501=3;20861=7;gold=120000},2
164,1016,1200,{501=3;20861=10;gold=140000},2
165,1016,1800,{501=4;20861=10;gold=160000},2
166,1016,2700,{501=5;20861=15;gold=180000},3
167,1016,3600,{501=6;20861=15;gold=200000},3
168,1016,5000,{501=8;20861=30;gold=220000},3
170,1017,30,{23251=3;501=1;gold=60000},
171,1017,100,{23251=5;501=2;gold=80000},
172,1017,300,{23251=5;501=2;gold=100000},
173,1017,600,{23251=7;501=3;gold=120000},2
174,1017,1200,{23251=10;501=3;gold=140000},2
175,1017,1800,{23251=10;501=4;gold=160000},2
176,1017,2700,{23251=15;501=5;gold=180000},3
177,1017,3600,{23251=15;501=6;gold=200000},3
178,1017,5000,{23251=30;501=8;gold=220000},3
180,1018,30,{501=1;23161=3;gold=60000},
181,1018,100,{501=2;23161=5;gold=80000},
182,1018,300,{501=2;23161=5;gold=100000},
183,1018,600,{501=3;23161=7;gold=120000},2
184,1018,1200,{501=3;23161=10;gold=140000},2
185,1018,1800,{501=4;23161=10;gold=160000},2
186,1018,2700,{501=5;23161=15;gold=180000},3
187,1018,3600,{501=6;23161=15;gold=200000},3
188,1018,5000,{501=8;23161=30;gold=220000},3
190,1019,30,{501=1;23171=3;gold=60000},
191,1019,100,{501=2;23171=5;gold=80000},
192,1019,300,{501=2;23171=5;gold=100000},
193,1019,600,{501=3;23171=7;gold=120000},2
194,1019,1200,{501=3;23171=10;gold=140000},2
195,1019,1800,{501=4;23171=10;gold=160000},2
196,1019,2700,{501=5;23171=15;gold=180000},3
197,1019,3600,{501=6;23171=15;gold=200000},3
198,1019,5000,{501=8;23171=30;gold=220000},3
200,1020,30,{501=1;23181=3;gold=60000},
201,1020,100,{501=2;23181=5;gold=80000},
202,1020,300,{501=2;23181=5;gold=100000},
203,1020,600,{501=3;23181=7;gold=120000},2
204,1020,1200,{501=3;23181=10;gold=140000},2
205,1020,1800,{501=4;23181=10;gold=160000},2
206,1020,2700,{501=5;23181=15;gold=180000},3
207,1020,3600,{501=6;23181=15;gold=200000},3
208,1020,5000,{501=8;23181=30;gold=220000},3
209,1020,7000,{501=10;6059=1;gold=250000},3
210,1020,10000,{501=12;6059=1;gold=300000},3
211,1020,15000,{501=15;2153=1;gold=300000},3
220,1021,30,{20381=3;501=1;gold=60000},
221,1021,100,{20381=5;501=2;gold=80000},
222,1021,300,{20381=5;501=2;gold=100000},
223,1021,600,{20381=7;501=3;gold=120000},2
224,1021,1200,{20381=10;501=3;gold=140000},2
225,1021,1800,{20381=10;501=4;gold=160000},2
226,1021,2700,{20381=15;501=5;gold=180000},3
227,1021,3600,{20381=15;501=6;gold=200000},3
228,1021,5000,{20381=30;501=8;gold=220000},3
229,1021,7000,{501=10;6059=1;gold=250000},3
230,1021,10000,{501=12;6059=1;gold=300000},3
231,1021,15000,{501=15;2153=1;gold=300000},3
240,1022,30,{501=1;20501=3;gold=60000},
241,1022,100,{501=2;20501=5;gold=80000},
242,1022,300,{501=2;20501=5;gold=100000},
243,1022,600,{501=3;20501=7;gold=120000},2
244,1022,1200,{501=3;20501=10;gold=140000},2
245,1022,1800,{501=4;20501=10;gold=160000},2
246,1022,2700,{501=5;20501=15;gold=180000},3
247,1022,3600,{501=6;20501=15;gold=200000},3
248,1022,5000,{501=8;20501=30;gold=220000},3
249,1022,7000,{501=10;6059=1;gold=250000},3
250,1022,10000,{501=12;6059=1;gold=300000},3
251,1022,15000,{501=15;2153=1;gold=300000},3
260,1023,30,{501=1;gold=60000;20611=3},
261,1023,100,{501=2;gold=80000;20611=5},
262,1023,300,{501=2;gold=100000;20611=5},
263,1023,600,{501=3;gold=120000;20611=7},2
264,1023,1200,{501=3;gold=140000;20611=10},2
265,1023,1800,{501=4;gold=160000;20611=10},2
266,1023,2700,{501=5;gold=180000;20611=15},3
267,1023,3600,{501=6;gold=200000;20611=15},3
268,1023,5000,{501=8;gold=220000;20611=30},3
269,1023,7000,{501=10;6059=1;gold=250000},3
270,1023,10000,{501=12;6059=1;gold=300000},3
271,1023,15000,{501=15;2153=1;gold=300000},3
280,1024,30,{501=1;23681=3;gold=60000},
281,1024,100,{501=2;23681=5;gold=80000},
282,1024,300,{501=2;23681=5;gold=100000},
283,1024,600,{501=3;23681=7;gold=120000},2
284,1024,1200,{501=3;23681=10;gold=140000},2
285,1024,1800,{501=4;23681=10;gold=160000},2
286,1024,2700,{501=5;23681=15;gold=180000},3
287,1024,3600,{501=6;23681=15;gold=200000},3
288,1024,5000,{501=8;23681=30;gold=220000},3
289,1024,7000,{501=10;6059=1;gold=250000},3
290,1024,10000,{501=12;6059=1;gold=300000},3
291,1024,15000,{501=15;2153=1;gold=300000},3
300,1025,30,{501=1;23201=3;gold=60000},
301,1025,100,{501=2;23201=5;gold=80000},
302,1025,300,{501=2;23201=5;gold=100000},
303,1025,600,{501=3;23201=7;gold=120000},2
304,1025,1200,{501=3;23201=10;gold=140000},2
305,1025,1800,{501=4;23201=10;gold=160000},2
306,1025,2700,{501=5;23201=15;gold=180000},3
307,1025,3600,{501=6;23201=15;gold=200000},3
308,1025,5000,{501=8;23201=30;gold=220000},3
309,1025,7000,{501=10;6059=1;gold=250000},3
310,1025,10000,{501=12;6059=1;gold=300000},3
311,1025,15000,{501=15;2153=1;gold=300000},3
312,1010,30,{501=1;100=1;gold=60000},
313,1010,100,{501=2;100=2;gold=80000},
314,1010,300,{501=2;100=2;gold=100000},
315,1010,600,{501=3;100=3;gold=120000},2
316,1010,1200,{501=3;100=3;gold=140000},2
317,1010,1800,{501=4;100=4;gold=160000},2
318,1010,2700,{501=5;100=5;gold=180000},3
319,1010,3600,{501=6;100=6;gold=200000},3
320,1010,5000,{501=8;100=8;gold=220000},3
321,1010,7000,{501=12;6059=1;gold=300000},3
322,1010,10000,{501=12;6059=1;gold=400000},3
323,1010,15000,{501=15;2153=2;gold=500000},3
324,1026,30,{501=1;100=1;gold=60000},
325,1026,100,{501=2;100=2;gold=80000},
326,1026,300,{501=2;100=2;gold=100000},
327,1026,600,{501=3;100=3;gold=120000},2
328,1026,1200,{501=3;100=3;gold=140000},2
329,1026,1800,{501=4;100=4;gold=160000},2
330,1026,2700,{501=5;100=5;gold=180000},3
331,1026,3600,{501=6;100=6;gold=200000},3
332,1026,5000,{501=8;100=8;gold=220000},3
333,1026,7000,{501=12;6059=1;gold=300000},3
334,1026,10000,{501=12;6059=1;gold=400000},3
335,1026,15000,{501=15;2153=2;gold=500000},3
,,,,
336,1027,30,{501=1;100=1;gold=60000},
337,1027,100,{501=2;100=2;gold=80000},
338,1027,300,{501=2;100=2;gold=100000},
339,1027,600,{501=3;100=3;gold=120000},2
340,1027,1200,{501=3;100=3;gold=140000},2
341,1027,1800,{501=4;100=4;gold=160000},2
342,1027,2700,{501=5;100=5;gold=180000},3
343,1027,3600,{501=6;100=6;gold=200000},3
344,1027,5000,{501=8;100=8;gold=220000},3
345,1027,7000,{501=12;6059=1;gold=300000},3
346,1027,10000,{501=12;6059=1;gold=400000},3
347,1027,15000,{501=15;2153=2;gold=500000},3
,,,,
348,1028,30,{501=1;100=1;gold=60000},
349,1028,100,{501=2;100=2;gold=80000},
350,1028,300,{501=2;100=2;gold=100000},
351,1028,600,{501=3;100=3;gold=120000},2
352,1028,1200,{501=3;100=3;gold=140000},2
353,1028,1800,{501=4;100=4;gold=160000},2
354,1028,2700,{501=5;100=5;gold=180000},3
355,1028,3600,{501=6;100=6;gold=200000},3
356,1028,5000,{501=8;100=8;gold=220000},3
357,1028,7000,{501=12;6059=1;gold=300000},3
358,1028,10000,{501=12;6059=1;gold=400000},3
359,1028,15000,{501=15;2153=2;gold=500000},3
,,,,
360,1029,30,{501=1;100=1;gold=60000},
361,1029,100,{501=2;100=2;gold=80000},
362,1029,300,{501=2;100=2;gold=100000},
363,1029,600,{501=3;100=3;gold=120000},2
364,1029,1200,{501=3;100=3;gold=140000},2
365,1029,1800,{501=4;100=4;gold=160000},2
366,1029,2700,{501=5;100=5;gold=180000},3
367,1029,3600,{501=6;100=6;gold=200000},3
368,1029,5000,{501=8;100=8;gold=220000},3
369,1029,7000,{501=12;6059=1;gold=300000},3
370,1029,10000,{501=12;6059=1;gold=400000},3
371,1029,15000,{501=15;2153=2;gold=500000},3
,,,,
372,1030,30,{501=1;100=1;gold=60000},
373,1030,100,{501=2;100=2;gold=80000},
374,1030,300,{501=2;100=2;gold=100000},
375,1030,600,{501=3;100=3;gold=120000},2
376,1030,1200,{501=3;100=3;gold=140000},2
377,1030,1800,{501=4;100=4;gold=160000},2
378,1030,2700,{501=5;100=5;gold=180000},3
379,1030,3600,{501=6;100=6;gold=200000},3
380,1030,5000,{501=8;100=8;gold=220000},3
381,1030,7000,{501=12;6059=1;gold=300000},3
382,1030,10000,{501=12;6059=1;gold=400000},3
383,1030,15000,{501=15;2153=2;gold=500000},3
,,,,
384,1031,30,{501=1;100=1;gold=60000},
385,1031,100,{501=2;100=2;gold=80000},
386,1031,300,{501=2;100=2;gold=100000},
387,1031,600,{501=3;100=3;gold=120000},2
388,1031,1200,{501=3;100=3;gold=140000},2
389,1031,1800,{501=4;100=4;gold=160000},2
390,1031,2700,{501=5;100=5;gold=180000},3
391,1031,3600,{501=6;100=6;gold=200000},3
392,1031,5000,{501=8;100=8;gold=220000},3
393,1031,7000,{501=12;6059=1;gold=300000},3
394,1031,10000,{501=12;6059=1;gold=400000},3
395,1031,15000,{501=15;2153=2;gold=500000},3
,,,,
396,1032,30,{501=1;100=1;gold=60000},
397,1032,100,{501=2;100=2;gold=80000},
398,1032,300,{501=2;100=2;gold=100000},
399,1032,600,{501=3;100=3;gold=120000},2
400,1032,1200,{501=3;100=3;gold=140000},2
401,1032,1800,{501=4;100=4;gold=160000},2
402,1032,2700,{501=5;100=5;gold=180000},3
403,1032,3600,{501=6;100=6;gold=200000},3
404,1032,5000,{501=8;100=8;gold=220000},3
405,1032,7000,{501=12;6059=1;gold=300000},3
406,1032,10000,{501=12;6059=1;gold=400000},3
407,1032,15000,{501=15;2153=2;gold=500000},3
,,,,
408,1033,30,{501=1;100=1;gold=60000},
409,1033,100,{501=2;100=2;gold=80000},
410,1033,300,{501=2;100=2;gold=100000},
411,1033,600,{501=3;100=3;gold=120000},2
412,1033,1200,{501=3;100=3;gold=140000},2
413,1033,1800,{501=4;100=4;gold=160000},2
414,1033,2700,{501=5;100=5;gold=180000},3
415,1033,3600,{501=6;100=6;gold=200000},3
416,1033,5000,{501=8;100=8;gold=220000},3
417,1033,7000,{501=12;6059=1;gold=300000},3
418,1033,10000,{501=12;6059=1;gold=400000},3
419,1033,15000,{501=15;2153=2;gold=500000},3
,,,,
420,1034,30,{501=1;100=1;gold=60000},
421,1034,100,{501=2;100=2;gold=80000},
422,1034,300,{501=2;100=2;gold=100000},
423,1034,600,{501=3;100=3;gold=120000},2
424,1034,1200,{501=3;100=3;gold=140000},2
425,1034,1800,{501=4;100=4;gold=160000},2
426,1034,2700,{501=5;100=5;gold=180000},3
427,1034,3600,{501=6;100=6;gold=200000},3
428,1034,5000,{501=8;100=8;gold=220000},3
429,1034,7000,{501=12;6059=1;gold=300000},3
430,1034,10000,{501=12;6059=1;gold=400000},3
431,1034,15000,{501=15;2153=2;gold=500000},3
,,,,
432,1035,30,{501=1;100=1;gold=60000},
433,1035,100,{501=2;100=2;gold=80000},
434,1035,300,{501=2;100=2;gold=100000},
435,1035,600,{501=3;100=3;gold=120000},2
436,1035,1200,{501=3;100=3;gold=140000},2
437,1035,1800,{501=4;100=4;gold=160000},2
438,1035,2700,{501=5;100=5;gold=180000},3
439,1035,3600,{501=6;100=6;gold=200000},3
440,1035,5000,{501=8;100=8;gold=220000},3
441,1035,7000,{501=12;6059=1;gold=300000},3
442,1035,10000,{501=12;6059=1;gold=400000},3
443,1035,15000,{501=15;2153=2;gold=500000},3
,,,,
444,1036,30,{501=1;100=1;gold=60000},
445,1036,100,{501=2;100=2;gold=80000},
446,1036,300,{501=2;100=2;gold=100000},
447,1036,600,{501=3;100=3;gold=120000},2
448,1036,1200,{501=3;100=3;gold=140000},2
449,1036,1800,{501=4;100=4;gold=160000},2
450,1036,2700,{501=5;100=5;gold=180000},3
451,1036,3600,{501=6;100=6;gold=200000},3
452,1036,5000,{501=8;100=8;gold=220000},3
453,1036,7000,{501=12;6059=1;gold=300000},3
454,1036,10000,{501=12;6059=1;gold=400000},3
455,1036,15000,{501=15;2153=2;gold=500000},3
