VariableName,daySum,huodongID,amount,special,award,desc
221,1,4014,300,,{502=2;20603=10;gold=120000;2103=5},Accumulate 300 Diamonds
222,2,4014,300,,{502=2;20603=10;gold=140000;2103=5},Accumulate 300 Diamonds
223,3,4014,300,,{502=2;20603=10;gold=160000;2103=5},Accumulate 300 Diamonds
224,4,4014,300,,{502=2;20603=10;gold=180000;2103=5},Accumulate 300 Diamonds
225,5,4014,300,{card={id=9002}},{20603=10;gold=200000;925=1;2103=5},Accumulate 300 Diamonds
1001,1,4101,300,,{22051=10;2103=2;gold=60000},Accumulate 300 Diamonds
1002,2,4101,300,,{22051=10;2103=2;gold=70000},Accumulate 300 Diamonds
1003,3,4101,300,,{22051=10;2103=2;gold=80000},Accumulate 300 Diamonds
1004,4,4101,300,,{22051=10;2103=2;gold=90000},Accumulate 300 Diamonds
1005,5,4101,300,{card={id=9002}},{502=50;gold=100000;22051=10;2103=2},Accumulate 300 Diamonds
1011,1,4102,300,,{22061=10;2103=2;gold=60000},Accumulate 300 Diamonds
1012,2,4102,300,,{22061=10;2103=2;gold=70000},Accumulate 300 Diamonds
1013,3,4102,300,,{22061=10;2103=2;gold=80000},Accumulate 300 Diamonds
1014,4,4102,300,,{22061=10;2103=2;gold=90000},Accumulate 300 Diamonds
1015,5,4102,300,{card={id=9002}},{502=50;gold=100000;22061=10;2103=2},Accumulate 300 Diamonds
1021,1,4103,300,,{22071=10;2103=2;gold=60000},Accumulate 300 Diamonds
1022,2,4103,300,,{22071=10;2103=2;gold=70000},Accumulate 300 Diamonds
1023,3,4103,300,,{22071=10;2103=2;gold=80000},Accumulate 300 Diamonds
1024,4,4103,300,,{22071=10;2103=2;gold=90000},Accumulate 300 Diamonds
1025,5,4103,300,{card={id=9002}},{502=50;gold=100000;22071=10;2103=2},Accumulate 300 Diamonds
1031,1,4104,300,,{2103=2;22081=10;gold=60000},Accumulate 300 Diamonds
1032,2,4104,300,,{2103=2;22081=10;gold=70000},Accumulate 300 Diamonds
1033,3,4104,300,,{2103=2;22081=10;gold=80000},Accumulate 300 Diamonds
1034,4,4104,300,,{2103=2;22081=10;gold=90000},Accumulate 300 Diamonds
1035,5,4104,300,{card={id=9002}},{502=50;gold=100000;22081=10;2103=2},Accumulate 300 Diamonds
1041,1,4105,300,,{22091=10;2103=2;gold=60000},Accumulate 300 Diamonds
1042,2,4105,300,,{22091=10;2103=2;gold=70000},Accumulate 300 Diamonds
1043,3,4105,300,,{22091=10;2103=2;gold=80000},Accumulate 300 Diamonds
1044,4,4105,300,,{22091=10;2103=2;gold=90000},Accumulate 300 Diamonds
1045,5,4105,300,{card={id=9002}},{502=50;gold=100000;2103=2;22091=10},Accumulate 300 Diamonds
1051,1,4106,300,,{22101=10;2103=2;gold=60000},Accumulate 300 Diamonds
1052,2,4106,300,,{22101=10;2103=2;gold=70000},Accumulate 300 Diamonds
1053,3,4106,300,,{22101=10;2103=2;gold=80000},Accumulate 300 Diamonds
1054,4,4106,300,,{22101=10;2103=2;gold=90000},Accumulate 300 Diamonds
1055,5,4106,300,{card={id=9002}},{502=50;gold=100000;2103=2;22101=10},Accumulate 300 Diamonds
1061,1,4107,300,,{22111=10;2103=2;gold=60000},Accumulate 300 Diamonds
1062,2,4107,300,,{22111=10;2103=2;gold=60000},Accumulate 300 Diamonds
1063,3,4107,300,,{22111=10;2103=2;gold=60000},Accumulate 300 Diamonds
1064,4,4107,300,,{22111=10;2103=2;gold=60000},Accumulate 300 Diamonds
1065,5,4107,300,{card={id=9002}},{502=50;gold=100000;2103=2;22111=10},Accumulate 300 Diamonds
1071,1,4108,300,,{22121=10;2103=2;gold=60000},Accumulate 300 Diamonds
1072,2,4108,300,,{22121=10;2103=2;gold=70000},Accumulate 300 Diamonds
1073,3,4108,300,,{22121=10;2103=2;gold=80000},Accumulate 300 Diamonds
1074,4,4108,300,,{22121=10;2103=2;gold=90000},Accumulate 300 Diamonds
1075,5,4108,300,{card={id=9002}},{502=50;gold=100000;2103=2;22121=10},Accumulate 300 Diamonds
1081,1,4109,300,,{2103=2;22131=10;gold=60000},Accumulate 300 Diamonds
1082,2,4109,300,,{2103=2;22131=10;gold=70000},Accumulate 300 Diamonds
1083,3,4109,300,,{2103=2;22131=10;gold=80000},Accumulate 300 Diamonds
1084,4,4109,300,,{2103=2;22131=10;gold=90000},Accumulate 300 Diamonds
1085,5,4109,300,{card={id=9002}},{502=50;gold=100000;22131=10;2103=2},Accumulate 300 Diamonds
1091,1,4110,300,,{22141=10;2103=2;gold=60000},Accumulate 300 Diamonds
1092,2,4110,300,,{22141=10;2103=2;gold=70000},Accumulate 300 Diamonds
1093,3,4110,300,,{22141=10;2103=2;gold=80000},Accumulate 300 Diamonds
1094,4,4110,300,,{22141=10;2103=2;gold=90000},Accumulate 300 Diamonds
1095,5,4110,300,{card={id=9002}},{502=50;gold=100000;2103=2;22141=10},Accumulate 300 Diamonds
1101,1,4111,300,,{gold=60000;2103=2;22151=10},Accumulate 300 Diamonds
1102,2,4111,300,,{gold=70000;2103=2;22151=10},Accumulate 300 Diamonds
1103,3,4111,300,,{gold=80000;2103=2;22151=10},Accumulate 300 Diamonds
1104,4,4111,300,,{gold=90000;2103=2;22151=10},Accumulate 300 Diamonds
1105,5,4111,300,{card={id=9002}},{502=50;gold=100000;22151=10;2103=2},Accumulate 300 Diamonds
1111,1,4112,300,,{22161=10;2103=2;gold=60000},Accumulate 300 Diamonds
1112,2,4112,300,,{22161=10;2103=2;gold=70000},Accumulate 300 Diamonds
1113,3,4112,300,,{22161=10;2103=2;gold=80000},Accumulate 300 Diamonds
1114,4,4112,300,,{22161=10;2103=2;gold=90000},Accumulate 300 Diamonds
1115,5,4112,300,{card={id=9002}},{502=50;22161=10;gold=100000;2103=2},Accumulate 300 Diamonds
1121,1,4113,300,,{22171=10;2103=2;gold=60000},Accumulate 300 Diamonds
1122,2,4113,300,,{22171=10;2103=2;gold=70000},Accumulate 300 Diamonds
1123,3,4113,300,,{22171=10;2103=2;gold=80000},Accumulate 300 Diamonds
1124,4,4113,300,,{22171=10;2103=2;gold=90000},Accumulate 300 Diamonds
1125,5,4113,300,{card={id=9002}},{502=50;gold=100000;22171=10;2103=2},Accumulate 300 Diamonds
1131,1,4114,300,,{gold=60000;2103=2;22181=10},Accumulate 300 Diamonds
1132,2,4114,300,,{gold=70000;2103=2;22181=10},Accumulate 300 Diamonds
1133,3,4114,300,,{gold=80000;2103=2;22181=10},Accumulate 300 Diamonds
1134,4,4114,300,,{gold=90000;2103=2;22181=10},Accumulate 300 Diamonds
1135,5,4114,300,{card={id=9002}},{502=50;gold=100000;22181=10;2103=2},Accumulate 300 Diamonds
1141,1,4115,300,,{22191=10;2103=2;gold=60000},Accumulate 300 Diamonds
1142,2,4115,300,,{22191=10;2103=2;gold=70000},Accumulate 300 Diamonds
1143,3,4115,300,,{22191=10;2103=2;gold=80000},Accumulate 300 Diamonds
1144,4,4115,300,,{22191=10;2103=2;gold=90000},Accumulate 300 Diamonds
1145,5,4115,300,{card={id=9002}},{502=50;22191=10;gold=100000;2103=2},Accumulate 300 Diamonds
1151,1,4116,300,,{gold=60000;2103=2;22201=10},Accumulate 300 Diamonds
1152,2,4116,300,,{gold=70000;2103=2;22201=10},Accumulate 300 Diamonds
1153,3,4116,300,,{gold=80000;2103=2;22201=10},Accumulate 300 Diamonds
1154,4,4116,300,,{gold=90000;2103=2;22201=10},Accumulate 300 Diamonds
1155,5,4116,300,{card={id=9002}},{502=50;gold=100000;22201=10;2103=2},Accumulate 300 Diamonds
1161,1,4117,300,,{22001=10;2103=2;gold=60000},Accumulate 300 Diamonds
1162,2,4117,300,,{22001=10;2103=2;gold=70000},Accumulate 300 Diamonds
1163,3,4117,300,,{22001=10;2103=2;gold=80000},Accumulate 300 Diamonds
1164,4,4117,300,,{22001=10;2103=2;gold=90000},Accumulate 300 Diamonds
1165,5,4117,300,{card={id=9002}},{22001=10;gold=100000;502=50;2103=2},Accumulate 300 Diamonds
1171,1,4118,300,,{22011=10;2103=2;gold=60000},Accumulate 300 Diamonds
1172,2,4118,300,,{22011=10;2103=2;gold=70000},Accumulate 300 Diamonds
1173,3,4118,300,,{22011=10;2103=2;gold=80000},Accumulate 300 Diamonds
1174,4,4118,300,,{22011=10;2103=2;gold=90000},Accumulate 300 Diamonds
1175,5,4118,300,{card={id=9002}},{22011=10;gold=100000;502=50;2103=2},Accumulate 300 Diamonds
1181,1,4119,300,,{22021=10;2103=2;gold=60000},Accumulate 300 Diamonds
1182,2,4119,300,,{22021=10;2103=2;gold=70000},Accumulate 300 Diamonds
1183,3,4119,300,,{22021=10;2103=2;gold=80000},Accumulate 300 Diamonds
1184,4,4119,300,,{22021=10;2103=2;gold=90000},Accumulate 300 Diamonds
1185,5,4119,300,{card={id=9002}},{502=50;gold=100000;22021=10;2103=2},Accumulate 300 Diamonds
2001,1,4201,300,,{7400=10;2103=2;gold=60000},Accumulate 300 Diamonds
2002,2,4201,300,,{7400=10;2103=2;gold=70000},Accumulate 300 Diamonds
2003,3,4201,300,,{7400=10;2103=2;gold=80000},Accumulate 300 Diamonds
2004,4,4201,300,,{7400=10;2103=2;gold=90000},Accumulate 300 Diamonds
2005,5,4201,300,{card={id=9002}},{502=50;gold=100000;7400=10;2103=2},Accumulate 300 Diamonds
2011,1,4202,300,,{7401=10;2103=2;gold=60000},Accumulate 300 Diamonds
2012,2,4202,300,,{7401=10;2103=2;gold=70000},Accumulate 300 Diamonds
2013,3,4202,300,,{7401=10;2103=2;gold=80000},Accumulate 300 Diamonds
2014,4,4202,300,,{7401=10;2103=2;gold=90000},Accumulate 300 Diamonds
2015,5,4202,300,{card={id=9002}},{502=50;gold=100000;7401=10;2103=2},Accumulate 300 Diamonds
2021,1,4203,300,,{7402=10;2103=2;gold=60000},Accumulate 300 Diamonds
2022,2,4203,300,,{7402=10;2103=2;gold=70000},Accumulate 300 Diamonds
2023,3,4203,300,,{7402=10;2103=2;gold=80000},Accumulate 300 Diamonds
2024,4,4203,300,,{7402=10;2103=2;gold=90000},Accumulate 300 Diamonds
2025,5,4203,300,{card={id=9002}},{502=50;gold=100000;7402=10;2103=2},Accumulate 300 Diamonds
2031,1,4204,300,,{7403=10;2103=2;gold=60000},Accumulate 300 Diamonds
2032,2,4204,300,,{7403=10;2103=2;gold=70000},Accumulate 300 Diamonds
2033,3,4204,300,,{7403=10;2103=2;gold=80000},Accumulate 300 Diamonds
2034,4,4204,300,,{7403=10;2103=2;gold=90000},Accumulate 300 Diamonds
2035,5,4204,300,{card={id=9002}},{502=50;gold=100000;7403=10;2103=2},Accumulate 300 Diamonds
2041,1,4205,300,,{7404=10;2103=2;gold=60000},Accumulate 300 Diamonds
2042,2,4205,300,,{7404=10;2103=2;gold=70000},Accumulate 300 Diamonds
2043,3,4205,300,,{7404=10;2103=2;gold=80000},Accumulate 300 Diamonds
2044,4,4205,300,,{7404=10;2103=2;gold=90000},Accumulate 300 Diamonds
2045,5,4205,300,{card={id=9002}},{502=50;gold=100000;7404=10;2103=2},Accumulate 300 Diamonds
2051,1,4206,300,,{7405=10;2103=2;gold=60000},Accumulate 300 Diamonds
2052,2,4206,300,,{7405=10;2103=2;gold=70000},Accumulate 300 Diamonds
2053,3,4206,300,,{7405=10;2103=2;gold=80000},Accumulate 300 Diamonds
2054,4,4206,300,,{7405=10;2103=2;gold=90000},Accumulate 300 Diamonds
2055,5,4206,300,,{502=50;gold=100000;7405=10;2103=2},Accumulate 300 Diamonds
2061,1,4207,300,,{7406=10;2103=2;gold=60000},Accumulate 300 Diamonds
2062,2,4207,300,,{7406=10;2103=2;gold=70000},Accumulate 300 Diamonds
2063,3,4207,300,,{7406=10;2103=2;gold=80000},Accumulate 300 Diamonds
2064,4,4207,300,,{7406=10;2103=2;gold=90000},Accumulate 300 Diamonds
2065,5,4207,300,,{502=50;gold=100000;7406=10;2103=2},Accumulate 300 Diamonds
2071,1,4208,300,,{7407=10;2103=2;gold=60000},Accumulate 300 Diamonds
2072,2,4208,300,,{7407=10;2103=2;gold=70000},Accumulate 300 Diamonds
2073,3,4208,300,,{7407=10;2103=2;gold=80000},Accumulate 300 Diamonds
2074,4,4208,300,,{7407=10;2103=2;gold=90000},Accumulate 300 Diamonds
2075,5,4208,300,,{502=50;gold=100000;7407=10;2103=2},Accumulate 300 Diamonds
2081,1,4209,300,,{7408=10;2103=2;gold=60000},Accumulate 300 Diamonds
2082,2,4209,300,,{7408=10;2103=2;gold=70000},Accumulate 300 Diamonds
2083,3,4209,300,,{7408=10;2103=2;gold=80000},Accumulate 300 Diamonds
2084,4,4209,300,,{7408=10;2103=2;gold=90000},Accumulate 300 Diamonds
2085,5,4209,300,,{502=50;gold=100000;2103=2;7408=10},Accumulate 300 Diamonds
2091,1,4210,300,,{7409=10;2103=2;gold=60000},Accumulate 300 Diamonds
2092,2,4210,300,,{7409=10;2103=2;gold=70000},Accumulate 300 Diamonds
2093,3,4210,300,,{7409=10;2103=2;gold=80000},Accumulate 300 Diamonds
2094,4,4210,300,,{7409=10;2103=2;gold=90000},Accumulate 300 Diamonds
2095,5,4210,300,,{502=50;gold=100000;2103=2;7409=10},Accumulate 300 Diamonds
2101,1,4211,300,,{7410=10;2103=2;gold=60000},Accumulate 300 Diamonds
2102,2,4211,300,,{7410=10;2103=2;gold=70000},Accumulate 300 Diamonds
2103,3,4211,300,,{7410=10;2103=2;gold=80000},Accumulate 300 Diamonds
2104,4,4211,300,,{7410=10;2103=2;gold=90000},Accumulate 300 Diamonds
2105,5,4211,300,,{502=50;gold=100000;2103=2;7410=10},Accumulate 300 Diamonds
2111,1,4212,300,,{7411=10;2103=2;gold=60000},Accumulate 300 Diamonds
2112,2,4212,300,,{7411=10;2103=2;gold=70000},Accumulate 300 Diamonds
2113,3,4212,300,,{7411=10;2103=2;gold=80000},Accumulate 300 Diamonds
2114,4,4212,300,,{7411=10;2103=2;gold=90000},Accumulate 300 Diamonds
2115,5,4212,300,,{502=50;gold=100000;2103=2;7411=10},Accumulate 300 Diamonds
2121,1,4213,980,,{502=4;957=20;gold=240000;2103=10},Nạp tích lũy 980 Nguyên Bảo
2122,2,4213,980,,{502=4;957=20;gold=280000;2103=10},Nạp tích lũy 980 Nguyên Bảo
2123,3,4213,980,,{502=4;957=20;gold=320000;2103=10},Nạp tích lũy 980 Nguyên Bảo
2124,4,4213,980,,{502=4;957=20;gold=360000;2103=10},Nạp tích lũy 980 Nguyên Bảo
2125,5,4213,980,{card={id=9002}},{957=20;gold=400000;521=80;2103=10},Nạp tích lũy 980 Nguyên Bảo
