VariableName,huodongID,costMap,items,exchangeTimes,limit,desc,desc_vn,desc_en,desc_th
16,10002,{rmb=18;gold=100},{gold=1},4,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
17,10002,{gold=109},{gold=1},4,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
18,10002,{gold=111},{gold=1},4,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
101,1001,{6321=1},{2300=1},1,{4=900},Hình đại diện dành riêng cho Giáng sinh,Hình đại diện dành riêng cho Giáng sinh,404,Hình đại diện dành riêng cho Giáng sinh
102,1001,{6321=10},{2008=1},1,,Hộp tiêu đề dành riêng cho Giáng sinh,Hộp tiêu đề dành riêng cho Giáng sinh,404,Hộp tiêu đề dành riêng cho Giáng sinh
103,1001,{6321=10},{2400=1},1,,tiêu đề giáng sinh,tiêu đề giáng sinh,404,tiêu đề giáng sinh
104,1001,{6321=10},{talent_point=2},3,,Điểm thiên phú * 2,Điểm thiên phú * 2,404,Điểm thiên phú * 2
105,1001,{6321=1},{515=1},5,,Bình thuốc Stamina (Trung bình) * 1,Bình thuốc Stamina (Trung bình) * 1,404,Bình thuốc Stamina (Trung bình) * 1
106,1001,{6321=1},{502=1},8,,Mảnh sao chung * 1,Mảnh sao chung * 1,404,Mảnh sao chung * 1
107,1001,{6321=1},{501=1},3,,Đánh thức hợp kim * 1,Đánh thức hợp kim * 1,404,Đánh thức hợp kim * 1
108,1001,{6321=1},{rmb=388},1,,Kim cương * 388,Kim cương * 388,404,Kim cương * 388
109,1001,{6321=1},{519=10},1,,Rút thăm * 10,Rút thăm * 10,404,Rút thăm * 10
110,1001,{6321=1},{503=10},1,,Chìa khóa phụ kiện * 5,Chìa khóa phụ kiện * 5,404,Chìa khóa phụ kiện * 5
111,1001,{6321=1},{520=5},1,,Thẻ Explorer * 5,Thẻ Explorer * 5,404,Thẻ Explorer * 5
112,1001,{6321=1},{gold=100000},30,,Tiền Vàng * 10w,Tiền Vàng * 10w,404,Tiền Vàng * 10w
113,1001,{6321=1},{930=8},30,,Hộp pha lê * 5,Hộp pha lê * 5,404,Hộp pha lê * 5
114,1001,{6321=10},{2102=2},30,,Cải tiến Blue Carry * 2,Cải tiến Blue Carry * 2,404,Cải tiến Blue Carry * 2
115,1001,{6321=10},{5000=8},30,,Thuốc năng lượng * 5,Thuốc năng lượng * 5,404,Thuốc năng lượng * 5
116,1001,{6321=100},{902=1},30,,Món quà yêu thích màu tím * 1,Món quà yêu thích màu tím * 1,404,Món quà yêu thích màu tím * 1
117,1001,{6321=1},{850=20},30,,Đá tiềm năng xanh * 30,Đá tiềm năng xanh * 30,404,Đá tiềm năng xanh * 30
118,1001,{6321=1000},{8000=1},1,{5=101},Cryogonal Bóng Noel,Cryogonal Bóng Noel,Cryogonal·Christmas Shadow,Cryogonal Bóng Noel
119,1001,{6321=1000},{8008=1},1,{5=105},Scizor Máy bay chiến đấu đường phố,Scizor Máy bay chiến đấu đường phố,Street Fighter Scizor,Scizor Máy bay chiến đấu đường phố
120,1001,{6321=500},{card={id=11}},1,{3=11},Charmander,Charmander,Charmander,Charmander
1001,10101,{rmb=100},{20391=3},2,,Gastly,Gastly,Gastly,Gastly
1002,10101,{rmb=100},{20491=3},2,,Rhyhorn,Rhyhorn,Rhyhorn,Rhyhorn
1003,10101,{rmb=100},{20571=3},2,,Scyther,Scyther,Scyther,Scyther
1004,10101,{rmb=100},{20631=3},2,,Gyarados,Gyarados,Gyarados,Gyarados
1005,10101,{rmb=100},{20721=3},2,,Articuno,Articuno,Articuno,Articuno
1006,10101,{rmb=100},{20771=3},2,,Mew,Mew,Mew,Mew
1007,10101,{rmb=100},{21081=3},2,,Sneasel,Sneasel,Sneasel,Sneasel
1008,10101,{rmb=100},{21221=3},2,,Raikou,Raikou,Raikou,Raikou
1009,10101,{rmb=100},{21251=3},2,,Larvitar,Larvitar,Larvitar,Larvitar
1010,10101,{rmb=100},{21421=3},2,,Slakoth,Slakoth,Slakoth,Slakoth
1011,10101,{rmb=100},{21841=3},2,,Absol,Absol,Absol,Absol
1012,10101,{rmb=100},{23021=3},2,,Cryogonal,Cryogonal,Cryogonal,Cryogonal
1013,10101,{rmb=100},{23301=3},2,,Froakie,Froakie,Froakie,Froakie
1014,10101,{rmb=100},{23351=3},2,,Flabébé,Flabébé,Flabébé,Flabébé
1015,10101,{rmb=100},{21891=3},2,,Bagon,Bagon,,Bagon
1016,10101,{rmb=100},{22241=3},2,,Riolu,Riolu,,Riolu
1017,10101,{rmb=100},{21931=3},2,,Mảnh Regice,Mảnh Regice,,Mảnh Regice
1018,10101,{rmb=100},{21911=3},2,,Mảnh Regirock,Mảnh Regirock,,Mảnh Regirock
1021,10102,{rmb=100},{20261=3},2,,Mảnh Abra,Mảnh Abra,Abra Frag,Mảnh Abra
1022,10102,{rmb=100},{20401=3},2,,Mảnh Onix,Mảnh Onix,404,Mảnh Onix
1023,10102,{rmb=100},{21231=3},2,,Mảnh Entei,Mảnh Entei,Entei Frag,Mảnh Entei
1024,10102,{rmb=100},{20241=3},2,,Mảnh Growlithe,Mảnh Growlithe,Growlithe Frag,Mảnh Growlithe
1025,10102,{rmb=100},{20741=3},2,,Mảnh Moltres,Mảnh Moltres,Moltres Frag,Mảnh Moltres
1026,10102,{rmb=100},{20601=3},2,,Mảnh Magby,Mảnh Magby,Magby Frag,Mảnh Magby
1027,10102,{rmb=100},{20491=3},2,,Mảnh Rhyhorn,Mảnh Rhyhorn,Rhyhorn Frag,Mảnh Rhyhorn
1028,10102,{rmb=100},{21501=3},2,,Mảnh Aron,Mảnh Aron,Aron Frag,Mảnh Aron
1029,10102,{rmb=100},{23411=3},2,,Mảnh Honedge,Mảnh Honedge,Honedge Frag,Mảnh Honedge
1030,10102,{rmb=100},{20331=3},2,,Mảnh Magnemite,Mảnh Magnemite,Magnemite Frag,Mảnh Magnemite
1031,10102,{rmb=100},{20591=3},2,,Mảnh Elekid,Mảnh Elekid,Elekid Frag,Mảnh Elekid
1032,10102,{rmb=100},{20881=3},2,,Mảnh Mareep,Mảnh Mareep,Mareep Frag,Mảnh Mareep
1033,10102,{rmb=100},{20731=3},2,,Mảnh Zapdos,Mảnh Zapdos,Zapdos Frag,Mảnh Zapdos
1034,10102,{rmb=100},{21221=3},2,,Mảnh Raikou,Mảnh Raikou,Raikou Frag,Mảnh Raikou
1035,10102,{rmb=100},{20711=3},2,,Mảnh Snorlax,Mảnh Snorlax,,Mảnh Snorlax
1036,10102,{rmb=100},{21311=3},2,,Mảnh Mudkip,Mảnh Mudkip,,Mảnh Mudkip
1037,10102,{rmb=100},{23661=3},2,,Mảnh Rowlet,Mảnh Rowlet,,Mảnh Rowlet
1038,10102,{rmb=100},{22231=3},2,,Mảnh Gible,Mảnh Gible,,Mảnh Gible
1501,10501,{200=1},{6060=100},1,,翡翠護符,翡翠護符,200,翡翠護符
1502,10501,{201=1},{6060=100},1,,精緻護符,精緻護符,201,精緻護符
1503,10501,{202=1},{6060=100},1,,通訊護符,通訊護符,202,通訊護符
1504,10501,{203=1},{6060=100},1,,酒紅護符,酒紅護符,203,酒紅護符
1505,10501,{204=1},{6060=100},1,,六芒星護符,六芒星護符,204,六芒星護符
1506,10501,{205=1},{6060=100},1,,閃耀護符,閃耀護符,205,閃耀護符
1509,10501,{rmb=388},{6060=50},2,,Kim cương*388 đổi tinh chất năng lượng bùa hộ mệnh*50,Kim cương*388 đổi tinh chất năng lượng bùa hộ mệnh*50,404,Kim cương*388 đổi tinh chất năng lượng bùa hộ mệnh*50
1510,10501,{rmb=188;6060=150},{200=1},1,,翡翠護符,翡翠護符,200,翡翠護符
1511,10501,{rmb=188;6060=150},{201=1},1,,精緻護符,精緻護符,201,精緻護符
1512,10501,{rmb=188;6060=150},{202=1},1,,通訊護符,通訊護符,202,通訊護符
1513,10501,{rmb=188;6060=150},{203=1},1,,酒紅護符,酒紅護符,203,酒紅護符
1514,10501,{rmb=188;6060=150},{204=1},1,,六芒星護符,六芒星護符,204,六芒星護符
1515,10501,{rmb=188;6060=150},{205=1},1,,閃耀護符,閃耀護符,205,閃耀護符
1521,10502,{210=1},{6061=100},1,,翡翠耳環,翡翠耳環,210,翡翠耳環
1522,10502,{211=1},{6061=100},1,,真質耳環,真質耳環,211,真質耳環
1523,10502,{212=1},{6061=100},1,,星月耳環,星月耳環,212,星月耳環
1524,10502,{213=1},{6061=100},1,,胭脂耳環,胭脂耳環,213,胭脂耳環
1525,10502,{214=1},{6061=100},1,,海洋耳環,海洋耳環,214,海洋耳環
1526,10502,{215=1},{6061=100},1,,名貴耳環,名貴耳環,215,名貴耳環
1527,10502,{rmb=388},{6061=50},2,,Kim cương*388 Earrings Energy Energy*50,Kim cương*388 Earrings Energy Energy*50,404,Kim cương*388 Earrings Energy Energy*50
1528,10502,{6061=150;rmb=188},{210=1},1,,翡翠耳環,翡翠耳環,210,翡翠耳環
1529,10502,{6061=150;rmb=188},{211=1},1,,真質耳環,真質耳環,211,真質耳環
1530,10502,{6061=150;rmb=188},{212=1},1,,星月耳環,星月耳環,212,星月耳環
1531,10502,{6061=150;rmb=188},{213=1},1,,胭脂耳環,胭脂耳環,213,胭脂耳環
1532,10502,{6061=150;rmb=188},{214=1},1,,海洋耳環,海洋耳環,214,海洋耳環
1533,10502,{6061=150;rmb=188},{215=1},1,,名貴耳環,名貴耳環,215,名貴耳環
1540,10503,{220=1},{6062=100},1,,四葉草戒指,四葉草戒指,220,四葉草戒指
1541,10503,{221=1},{6062=100},1,,精緻梏戒,精緻梏戒,221,精緻梏戒
1542,10503,{222=1},{6062=100},1,,星月光戒,星月光戒,222,星月光戒
1543,10503,{223=1},{6062=100},1,,胭脂戒指,胭脂戒指,223,胭脂戒指
1544,10503,{224=1},{6062=100},1,,海洋鑽戒,海洋鑽戒,224,海洋鑽戒
1545,10503,{225=1},{6062=100},1,,璀璨秘戒,璀璨秘戒,225,璀璨秘戒
1546,10503,{rmb=388},{6062=50},2,,Kim cương*388 Tinh chất năng lượng vòng đổi*50,Kim cương*388 Tinh chất năng lượng vòng đổi*50,404,Kim cương*388 Tinh chất năng lượng vòng đổi*50
1547,10503,{6062=150;rmb=188},{220=1},1,,四葉草戒指,四葉草戒指,220,四葉草戒指
1548,10503,{6062=150;rmb=188},{221=1},1,,精緻梏戒,精緻梏戒,221,精緻梏戒
1549,10503,{6062=150;rmb=188},{222=1},1,,星月光戒,星月光戒,222,星月光戒
1550,10503,{6062=150;rmb=188},{223=1},1,,胭脂戒指,胭脂戒指,223,胭脂戒指
1551,10503,{6062=150;rmb=188},{224=1},1,,海洋鑽戒,海洋鑽戒,224,海洋鑽戒
1552,10503,{6062=150;rmb=188},{225=1},1,,璀璨秘戒,璀璨秘戒,225,璀璨秘戒
1560,10504,{230=1},{6063=100},1,,四葉草項鍊,四葉草項鍊,230,四葉草項鍊
1561,10504,{231=1},{6063=100},1,,精緻項鍊,精緻項鍊,231,精緻項鍊
1562,10504,{232=1},{6063=100},1,,神秘骨質項鍊,神秘骨質項鍊,232,神秘骨質項鍊
1563,10504,{233=1},{6063=100},1,,紅日絲項鍊,紅日絲項鍊,233,紅日絲項鍊
1564,10504,{234=1},{6063=100},1,,海洋心項鍊,海洋心項鍊,234,海洋心項鍊
1565,10504,{235=1},{6063=100},1,,璀璨星項鍊,璀璨星項鍊,235,璀璨星項鍊
1566,10504,{rmb=388},{6063=50},2,,Kim cương*388 đổi Tinh chất năng lượng vòng cổ *50,Kim cương*388 đổi Tinh chất năng lượng vòng cổ *50,404,Kim cương*388 đổi Tinh chất năng lượng vòng cổ *50
1567,10504,{6063=150;rmb=188},{230=1},1,,四葉草項鍊,四葉草項鍊,230,四葉草項鍊
1568,10504,{6063=150;rmb=188},{231=1},1,,精緻項鍊,精緻項鍊,231,精緻項鍊
1569,10504,{6063=150;rmb=188},{232=1},1,,神秘骨質項鍊,神秘骨質項鍊,232,神秘骨質項鍊
1570,10504,{6063=150;rmb=188},{233=1},1,,紅日絲項鍊,紅日絲項鍊,233,紅日絲項鍊
1571,10504,{6063=150;rmb=188},{234=1},1,,海洋心項鍊,海洋心項鍊,234,海洋心項鍊
1572,10504,{6063=150;rmb=188},{235=1},1,,璀璨星項鍊,璀璨星項鍊,235,璀璨星項鍊
2001,10201,{6301=15;6302=45},{6050=1},1,,Voucher mua sắm màu xanh*15 Voucher mua sắm màu tím*45 Hộp ngẫu nhiên Awacheny Jewelry Awakening*1,Voucher mua sắm màu xanh*15 Voucher mua sắm màu tím*45 Hộp ngẫu nhiên Awacheny Jewelry Awakening*1,,Voucher mua sắm màu xanh*15 Voucher mua sắm màu tím*45 Hộp ngẫu nhiên Awacheny Jewelry Awakening*1
,,,,,,,,,
,,,,,,,,,
2004,10201,{6301=30;6302=75},{942=1},2,,Voucher mua sắm màu xanh*30 Voucher mua sắm màu tím*75 đổi màu tím mang theo hộp quà tặng*1,Voucher mua sắm màu xanh*30 Voucher mua sắm màu tím*75 đổi màu tím mang theo hộp quà tặng*1,,Voucher mua sắm màu xanh*30 Voucher mua sắm màu tím*75 đổi màu tím mang theo hộp quà tặng*1
2005,10201,{6302=4},{502=2},3,,Voucher mua sắm màu tím*4 đổi các mảnh phổ biến thông thường*2,Voucher mua sắm màu tím*4 đổi các mảnh phổ biến thông thường*2,,Voucher mua sắm màu tím*4 đổi các mảnh phổ biến thông thường*2
2006,10201,{6301=2},{502=1},2,,Voucher mua sắm màu xanh*2 đổi các mảnh phổ biến thông thường*1,Voucher mua sắm màu xanh*2 đổi các mảnh phổ biến thông thường*1,,Voucher mua sắm màu xanh*2 đổi các mảnh phổ biến thông thường*1
2007,10201,{6302=4},{talent_point=2},3,,Phiếu mua sắm màu tím*4 điểm đổi điểm thiên phú*2,Phiếu mua sắm màu tím*4 điểm đổi điểm thiên phú*2,,Phiếu mua sắm màu tím*4 điểm đổi điểm thiên phú*2
2008,10201,{6301=2},{talent_point=1},2,,Voucher mua sắm màu xanh*2 điểm đổi điểm thiên phú*1,Voucher mua sắm màu xanh*2 điểm đổi điểm thiên phú*1,,Voucher mua sắm màu xanh*2 điểm đổi điểm thiên phú*1
2009,10201,{6301=3;6302=3},{22191=3},50,,Voucher mua sắm màu xanh*3 Voucher mua sắm màu tím*3 đổi các mảnh Druby*3,Voucher mua sắm màu xanh*3 Voucher mua sắm màu tím*3 đổi các mảnh Druby*3,,Voucher mua sắm màu xanh*3 Voucher mua sắm màu tím*3 đổi các mảnh Druby*3
2010,10201,{6301=3;6302=3},{22091=3},50,,Voucher mua sắm màu xanh*3 Voucher mua sắm màu tím*3 đổi các mảnh Ca cao -Dorola*3,Voucher mua sắm màu xanh*3 Voucher mua sắm màu tím*3 đổi các mảnh Ca cao -Dorola*3,,Voucher mua sắm màu xanh*3 Voucher mua sắm màu tím*3 đổi các mảnh Ca cao -Dorola*3
2011,10201,{6302=6},{22161=5},50,,Phiếu mua sắm màu tím*6 Sàn giao dịch Yandi*5,Phiếu mua sắm màu tím*6 Sàn giao dịch Yandi*5,,Phiếu mua sắm màu tím*6 Sàn giao dịch Yandi*5
2012,10201,{6302=6},{22181=5},50,,Voucher mua sắm màu tím*6 mảnh của banjelas*5,Voucher mua sắm màu tím*6 mảnh của banjelas*5,,Voucher mua sắm màu tím*6 mảnh của banjelas*5
2013,10201,{6301=5},{21131=3},50,,Voucher mua sắm màu xanh*5 đổi các mảnh cá sấu nhỏ Saw Saw*3,Voucher mua sắm màu xanh*5 đổi các mảnh cá sấu nhỏ Saw Saw*3,,Voucher mua sắm màu xanh*5 đổi các mảnh cá sấu nhỏ Saw Saw*3
2014,10201,{6301=5},{21141=3},50,,Voucher mua sắm màu xanh*5 đổi hương thơm quái vật tuyết*3,Voucher mua sắm màu xanh*5 đổi hương thơm quái vật tuyết*3,,Voucher mua sắm màu xanh*5 đổi hương thơm quái vật tuyết*3
2015,10201,{6301=5},{21151=3},50,,Voucher mua sắm màu xanh*5 Sự chuộc lại xử lý nghề thủ công*3,Voucher mua sắm màu xanh*5 Sự chuộc lại xử lý nghề thủ công*3,,Voucher mua sắm màu xanh*5 Sự chuộc lại xử lý nghề thủ công*3
2016,10201,{6301=5},{21161=3},50,,Voucher mua sắm màu xanh*5 mảnh puff đổi*3,Voucher mua sắm màu xanh*5 mảnh puff đổi*3,,Voucher mua sắm màu xanh*5 mảnh puff đổi*3
2017,10201,{6302=2},{19=2},5,,Phiếu mua sắm màu tím*2 đổi viên nang ma thuật*2,Phiếu mua sắm màu tím*2 đổi viên nang ma thuật*2,,Phiếu mua sắm màu tím*2 đổi viên nang ma thuật*2
2018,10201,{6301=2},{19=1},5,,Voucher mua sắm màu xanh*2 đổi viên nang ma thuật*1,Voucher mua sắm màu xanh*2 đổi viên nang ma thuật*1,,Voucher mua sắm màu xanh*2 đổi viên nang ma thuật*1
2019,10201,{6301=8;6302=8},{503=10},1,,Voucher mua sắm màu xanh*8 Voucher mua sắm màu tím*8 đổi chìa khóa vàng*10,Voucher mua sắm màu xanh*8 Voucher mua sắm màu tím*8 đổi chìa khóa vàng*10,,Voucher mua sắm màu xanh*8 Voucher mua sắm màu tím*8 đổi chìa khóa vàng*10
2020,10201,{6301=2;6302=5},{501=1},3,,Voucher mua sắm màu xanh*2 Voucher mua sắm màu tím*5 đổi phụ kiện cơ bản*1,Voucher mua sắm màu xanh*2 Voucher mua sắm màu tím*5 đổi phụ kiện cơ bản*1,,Voucher mua sắm màu xanh*2 Voucher mua sắm màu tím*5 đổi phụ kiện cơ bản*1
2021,10201,{6301=6},{2103=3},5,,Voucher mua sắm màu xanh*6 đổi màu tím mang lại tăng cường*3,Voucher mua sắm màu xanh*6 đổi màu tím mang lại tăng cường*3,,Voucher mua sắm màu xanh*6 đổi màu tím mang lại tăng cường*3
2022,10201,{6301=6},{5000=30},5,,Voucher mua sắm màu xanh*6 đổi năng lượng dược phẩm*30,Voucher mua sắm màu xanh*6 đổi năng lượng dược phẩm*30,,Voucher mua sắm màu xanh*6 đổi năng lượng dược phẩm*30
2023,10201,{6301=2},{gold=100000},10,,Voucher mua sắm màu xanh*2 đổi đồng xu Vàng*100000,Voucher mua sắm màu xanh*2 đổi đồng xu Vàng*100000,,Voucher mua sắm màu xanh*2 đổi đồng xu Vàng*100000
2030,10202,{6312=3;6313=3},{2300=1},1,,Bánh bao*3 Đèn lồng*3 Đổi Avatars độc quyền Giáng sinh,Bánh bao*3 Đèn lồng*3 Đổi Avatars độc quyền Giáng sinh,404,Bánh bao*3 Đèn lồng*3 Đổi Avatars độc quyền Giáng sinh
2031,10202,{6312=10;6313=10},{2008=1},1,,Bánh bao*10 đèn lồng*10 Hộp tiêu đề độc quyền Giáng sinh,Bánh bao*10 đèn lồng*10 Hộp tiêu đề độc quyền Giáng sinh,404,Bánh bao*10 đèn lồng*10 Hộp tiêu đề độc quyền Giáng sinh
2032,10202,{6312=20;6313=20},{2400=1},1,,Bánh bao * 20 đèn lồng * 20 đổi thưởng danh hiệu Giáng sinh,Bánh bao * 20 đèn lồng * 20 đổi thưởng danh hiệu Giáng sinh,404,Bánh bao * 20 đèn lồng * 20 đổi thưởng danh hiệu Giáng sinh
2033,10202,{6312=2;6313=2},{talent_point=2},3,,Bánh bao*2 Đèn lồng*2 Điểm đổi điểm thiên phú*2,Bánh bao*2 Đèn lồng*2 Điểm đổi điểm thiên phú*2,404,Bánh bao*2 Đèn lồng*2 Điểm đổi điểm thiên phú*2
2034,10202,{6312=2;6313=2},{515=1},5,,Bánh bao*2 Đèn lồng*2 Đổi thuốc vật lý (giữa)*1,Bánh bao*2 Đèn lồng*2 Đổi thuốc vật lý (giữa)*1,404,Bánh bao*2 Đèn lồng*2 Đổi thuốc vật lý (giữa)*1
2035,10202,{6312=2;6313=2},{502=1},8,,Bánh bao * 2 lồng đèn * 2 đổi mảnh ghép chung * 1,Bánh bao * 2 lồng đèn * 2 đổi mảnh ghép chung * 1,404,Bánh bao * 2 lồng đèn * 2 đổi mảnh ghép chung * 1
2036,10202,{6312=3;6313=3},{501=1},3,,Bánh bao*3 Đèn lồng*3 đổi Awakened Alloy*1,Bánh bao*3 Đèn lồng*3 đổi Awakened Alloy*1,404,Bánh bao*3 Đèn lồng*3 đổi Awakened Alloy*1
2037,10202,{6312=5;6313=5},{rmb=388},1,,Bánh bao*5 Đèn lồng*5 Kim cương đổi*388,Bánh bao*5 Đèn lồng*5 Kim cương đổi*388,404,Bánh bao*5 Đèn lồng*5 Kim cương đổi*388
2038,10202,{6312=30;6313=30},{519=10},1,,Bánh bao*30 Đèn lồng*30 đổi phiếu giảm giá *10,Bánh bao*30 Đèn lồng*30 đổi phiếu giảm giá *10,404,Bánh bao*30 Đèn lồng*30 đổi phiếu giảm giá *10
2039,10202,{6312=10;6313=10},{503=10},1,,Bánh bao*10 đèn lồng*10 đổi Khóa trang sức *5,Bánh bao*10 đèn lồng*10 đổi Khóa trang sức *5,404,Bánh bao*10 đèn lồng*10 đổi Khóa trang sức *5
2040,10202,{6312=10;6313=10},{520=5},1,,Bánh bao*10 đèn lồng*10 đổi rút Thẻ phiêu lưu*5,Bánh bao*10 đèn lồng*10 đổi rút Thẻ phiêu lưu*5,404,Bánh bao*10 đèn lồng*10 đổi rút Thẻ phiêu lưu*5
2041,10202,{6312=1},{gold=100000},30,,Bánh bao*1 đổi đồng tiền Vàng *10k,Bánh bao*1 đổi đồng tiền Vàng *10k,404,Bánh bao*1 đổi đồng tiền Vàng *10k
2042,10202,{6312=1},{930=8},30,,Bánh bao*1 đổi Hộp pha lê *5,Bánh bao*1 đổi Hộp pha lê *5,404,Bánh bao*1 đổi Hộp pha lê *5
2043,10202,{6312=1},{2102=2},30,,Bánh bao*1 đổi màu xanh mang củng cố*2,Bánh bao*1 đổi màu xanh mang củng cố*2,404,Bánh bao*1 đổi màu xanh mang củng cố*2
2044,10202,{6313=1},{5000=8},30,,Đèn lồng*1 đổi lọ thể lực *5,Đèn lồng*1 đổi lọ thể lực *5,404,Đèn lồng*1 đổi lọ thể lực *5
2045,10202,{6313=1},{902=1},30,,Đèn lồng*1 Quà tặng thuận lợi màu tím*1,Đèn lồng*1 Quà tặng thuận lợi màu tím*1,404,Đèn lồng*1 Quà tặng thuận lợi màu tím*1
2046,10202,{6313=1},{850=20},30,,Đèn lồng*1 đổi Đá tiềm năng màu xanh*30,Đèn lồng*1 đổi Đá tiềm năng màu xanh*30,404,Đèn lồng*1 đổi Đá tiềm năng màu xanh*30
2050,10203,{6301=2},{502=1},2,,Voucher mua sắm màu xanh*2 đổi các mảnh phổ biến thông thường*1,Voucher mua sắm màu xanh*2 đổi các mảnh phổ biến thông thường*1,404,Voucher mua sắm màu xanh*2 đổi các mảnh phổ biến thông thường*1
2051,10203,{6302=4},{502=2},3,,Voucher mua sắm màu tím*4 đổi các mảnh phổ biến thông thường*2,Voucher mua sắm màu tím*4 đổi các mảnh phổ biến thông thường*2,404,Voucher mua sắm màu tím*4 đổi các mảnh phổ biến thông thường*2
2052,10203,{6301=2},{talent_point=1},2,,Voucher mua sắm màu xanh*2 điểm đổi điểm thiên phú*1,Voucher mua sắm màu xanh*2 điểm đổi điểm thiên phú*1,404,Voucher mua sắm màu xanh*2 điểm đổi điểm thiên phú*1
2053,10203,{6302=4},{talent_point=2},3,,Phiếu mua sắm màu tím*4 điểm đổi điểm thiên phú*2,Phiếu mua sắm màu tím*4 điểm đổi điểm thiên phú*2,404,Phiếu mua sắm màu tím*4 điểm đổi điểm thiên phú*2
2054,10203,{6302=6},{20491=5},50,,Voucher mua sắm màu tím*6 đổi các đoạn kỳ lân*5,Voucher mua sắm màu tím*6 đổi các đoạn kỳ lân*5,404,Voucher mua sắm màu tím*6 đổi các đoạn kỳ lân*5
2055,10203,{6302=6},{21071=5},50,,Voucher mua sắm màu tím*6 đổi mảnh Hlacos *5,Voucher mua sắm màu tím*6 đổi mảnh Hlacos *5,404,Voucher mua sắm màu tím*6 đổi mảnh Hlacos *5
2056,10203,{6301=3;6302=3},{20571=3},50,,Voucher mua sắm màu xanh*3 Voucher mua sắm màu tím*3 mảnh ghép của Flying Mantis*3,Voucher mua sắm màu xanh*3 Voucher mua sắm màu tím*3 mảnh ghép của Flying Mantis*3,404,Voucher mua sắm màu xanh*3 Voucher mua sắm màu tím*3 mảnh ghép của Flying Mantis*3
2057,10203,{6301=3;6302=3},{20261=3},50,,Voucher mua sắm màu xanh*3 Voucher mua sắm màu tím*3 Sàn giao dịch Casey*3,Voucher mua sắm màu xanh*3 Voucher mua sắm màu tím*3 Sàn giao dịch Casey*3,404,Voucher mua sắm màu xanh*3 Voucher mua sắm màu tím*3 Sàn giao dịch Casey*3
2058,10203,{6301=5},{23011=3},50,,Voucher mua sắm màu xanh*5 mảnh ghép gấu hắt hơi*3,Voucher mua sắm màu xanh*5 mảnh ghép gấu hắt hơi*3,404,Voucher mua sắm màu xanh*5 mảnh ghép gấu hắt hơi*3
2059,10203,{6301=5},{23501=3},50,,Voucher mua sắm màu xanh*5 đổi nước hoa rồng tuyết băng*3,Voucher mua sắm màu xanh*5 đổi nước hoa rồng tuyết băng*3,404,Voucher mua sắm màu xanh*5 đổi nước hoa rồng tuyết băng*3
2060,10203,{6301=5},{20461=3},50,,Voucher mua sắm màu xanh*5 đổi những mảnh trẻ em không sợ hãi*3,Voucher mua sắm màu xanh*5 đổi những mảnh trẻ em không sợ hãi*3,404,Voucher mua sắm màu xanh*5 đổi những mảnh trẻ em không sợ hãi*3
