VariableName,huodongID,rank,award,pointLeast,desc,desc_vn
46,1004,20,{14=30;501=2;21901=50},1000,,
47,1004,30,{14=30;501=2;21901=30},,,
51,1005,1,{2010=1;21261=240;card={id=1261};501=5},7000,,
52,1005,2,{21261=160;501=4;card={id=1261}},5000,,
53,1005,3,{21261=80;501=4;card={id=1261}},4000,,
54,1005,6,{14=40;501=4;card={id=1261}},3500,,
55,1005,10,{14=30;501=3;22231=80},2000,,
56,1005,20,{14=30;501=2;22231=50},1000,,
57,1005,30,{14=30;501=2;22231=30},,,
61,1006,1,{21981=240;card={id=1981};501=5;2013=1},7000,,
62,1006,2,{21981=160;501=4;card={id=1981}},5000,,
63,1006,3,{21981=80;501=4;card={id=1981}},4000,,
64,1006,6,{14=40;501=4;card={id=1981}},3500,,
65,1006,10,{14=30;501=3;22241=80},2000,,
66,1006,20,{14=30;501=2;22241=50},1000,,
67,1006,30,{14=30;501=2;22241=30},,,
71,1007,1,{21961=240;card={id=1961};501=5;2015=1},7000,,
72,1007,2,{21961=160;501=4;card={id=1961}},5000,,
73,1007,3,{21961=80;501=4;card={id=1961}},4000,,
74,1007,6,{14=40;501=4;card={id=1961}},3500,,
75,1007,10,{14=30;501=3;21921=80},2000,,
76,1007,20,{14=30;501=2;21921=50},1000,,
77,1007,30,{14=30;501=2;21921=30},,,
81,1008,1,{2040=1;card={id=2431};501=5;22431=240},7000,,
82,1008,2,{501=4;22431=160;card={id=2431}},5000,,
83,1008,3,{501=4;22431=80;card={id=2431}},4000,,
84,1008,6,{14=40;501=4;card={id=2431}},3500,,
85,1008,10,{14=30;501=3;22401=80},2000,,
86,1008,20,{14=30;501=2;22401=50},1000,,
87,1008,30,{14=30;501=2;22401=30},,,
91,1009,1,{2041=1;22381=240;card={id=2381};501=5},7000,,
92,1009,2,{501=4;22381=160;card={id=2381}},5000,,
93,1009,3,{501=4;22381=80;card={id=2381}},4000,,
94,1009,6,{14=40;501=4;card={id=2381}},3500,,
95,1009,10,{22471=80;501=3;14=30},2000,,
96,1009,20,{22471=50;501=2;14=30},1000,,
97,1009,30,{22471=30;501=2;14=30},,,
100,1010,1,{2153=1;23051=240;card={id=3051};501=5},7000,,
101,1010,2,{501=4;23051=160;card={id=3051}},5000,,
102,1010,3,{501=4;23051=80;card={id=3051}},4000,,
103,1010,6,{14=40;501=4;card={id=3051}},3500,,
104,1010,10,{14=30;501=3;23051=80},2000,,
105,1010,20,{14=30;501=2;23051=50},1000,,
106,1010,30,{14=30;501=2;23051=30},,,
110,1011,1,{2043=1;22361=240;card={id=2361};501=5},7000,,
111,1011,2,{501=4;22361=160;card={id=2361}},5000,,
112,1011,3,{501=4;22361=80;card={id=2361}},4000,,
113,1011,6,{14=40;501=4;card={id=2361}},3500,,
114,1011,10,{14=30;501=3;20641=80},2000,,
115,1011,20,{14=30;501=2;20641=50},1000,,
116,1011,30,{14=30;501=2;20641=30},,,
120,1012,1,{23011=240;card={id=3011};501=5;2044=1},7000,,
121,1012,2,{23011=160;501=4;card={id=3011}},5000,,
122,1012,3,{23011=80;501=4;card={id=3011}},4000,,
123,1012,6,{14=40;501=4;card={id=3011}},3500,,
124,1012,10,{14=30;501=3;22181=80},2000,,
125,1012,20,{14=30;501=2;22181=50},1000,,
126,1012,30,{14=30;501=2;22181=30},,,
130,1013,1,{card={id=2441};501=5;2045=1;22441=240},7000,,
131,1013,2,{501=4;22441=160;card={id=2441}},5000,,
132,1013,3,{501=4;22441=80;card={id=2441}},4000,,
133,1013,6,{14=40;501=4;card={id=2441}},3500,,
134,1013,10,{14=30;501=3;23841=80},2000,,
135,1013,20,{14=30;501=2;23841=50},1000,,
136,1013,30,{14=30;501=2;23841=30},,,
140,1014,1,{card={id=3641};501=5;23641=240;2046=1},7000,,
141,1014,2,{501=4;23641=160;card={id=3641}},5000,,
142,1014,3,{501=4;23641=80;card={id=3641}},4000,,
143,1014,6,{14=40;501=4;card={id=3641}},3500,,
144,1014,10,{14=30;21031=80;501=3},2000,,
145,1014,20,{14=30;21031=50;501=2},1000,,
146,1014,30,{14=30;21031=30;501=2},,,
150,1015,1,{card={id=3211};501=5;23211=240;2047=1},7000,,
151,1015,2,{501=4;23211=160;card={id=3211}},5000,,
152,1015,3,{501=4;23211=80;card={id=3211}},4000,,
153,1015,6,{14=40;501=4;card={id=3211}},3500,,
154,1015,10,{14=30;501=3;24131=80},2000,,
155,1015,20,{14=30;501=2;24131=50},1000,,
156,1015,30,{14=30;501=2;24131=30},,,
160,1016,1,{2048=1;card={id=3221};501=5;23221=240},7000,,
161,1016,2,{501=4;23221=160;card={id=3221}},5000,,
162,1016,3,{501=4;23221=80;card={id=3221}},4000,,
163,1016,6,{14=40;501=4;card={id=3221}},3500,,
164,1016,10,{14=30;501=3;20861=80},2000,,
165,1016,20,{14=30;501=2;20861=50},1000,,
166,1016,30,{14=30;501=2;20861=30},,,
170,1017,1,{2049=1;card={id=3241};23241=240;501=5},7000,,
171,1017,2,{23241=160;501=4;card={id=3241}},5000,,
172,1017,3,{23241=80;501=4;card={id=3241}},4000,,
173,1017,6,{14=40;501=4;card={id=3241}},3500,,
174,1017,10,{14=30;23251=80;501=3},2000,,
175,1017,20,{14=30;23251=50;501=2},1000,,
176,1017,30,{14=30;23251=30;501=2},,,
180,1018,1,{2051=1;card={id=3261};2050=1;501=5;23261=240},7000,,
181,1018,2,{501=4;23261=160;card={id=3261}},5000,,
182,1018,3,{501=4;23261=80;card={id=3261}},4000,,
183,1018,6,{14=40;501=4;card={id=3261}},3500,,
184,1018,10,{14=30;501=3;23161=80},2000,,
185,1018,20,{14=30;501=2;23161=50},1000,,
186,1018,30,{14=30;501=2;23161=30},,,
190,1019,1,{21991=240;2052=1;card={id=1991};501=5},7000,,
191,1019,2,{21991=160;501=4;card={id=1991}},5000,,
192,1019,3,{21991=80;501=4;card={id=1991}},4000,,
193,1019,6,{14=40;501=4;card={id=1991}},3500,,
194,1019,10,{14=30;501=3;23171=80},2000,,
195,1019,20,{14=30;501=2;23171=50},1000,,
196,1019,30,{14=30;501=2;23171=30},,,
200,1020,1,{2053=1;card={id=4171};501=5;24171=240},7000,,
201,1020,2,{501=4;24171=160;card={id=4171}},5000,,
202,1020,3,{501=4;24171=80;card={id=4171}},4000,,
203,1020,6,{14=40;501=4;card={id=4171}},3500,,
204,1020,10,{14=30;501=3;23181=80},2000,,
205,1020,20,{14=30;501=2;23181=50},1000,,
206,1020,30,{14=30;501=2;23181=30},,,
210,1021,1,{2054=1;card={id=3611};23611=240;501=5},7000,,
211,1021,2,{23611=160;501=4;card={id=3611}},5000,,
212,1021,3,{23611=80;501=4;card={id=3611}},4000,,
213,1021,6,{14=40;501=4;card={id=3611}},3500,,
214,1021,10,{14=30;20381=80;501=3},2000,,
215,1021,20,{14=30;20381=50;501=2},1000,,
216,1021,30,{14=30;20381=30;501=2},,,
220,1022,1,{2055=1;card={id=1281};501=5;21281=240},7000,,
221,1022,2,{21281=160;501=4;card={id=1281}},5000,,
222,1022,3,{21281=80;501=4;card={id=1281}},4000,,
223,1022,6,{14=40;501=4;card={id=1281}},3500,,
224,1022,10,{14=30;501=3;20501=80},2000,,
225,1022,20,{14=30;501=2;20501=50},1000,,
226,1022,30,{14=30;501=2;20501=30},,,
230,1023,1,{2056=1;card={id=3271};501=5;23271=240},7000,,
231,1023,2,{23271=160;501=4;card={id=3271}},5000,,
232,1023,3,{23271=80;501=4;card={id=3271}},4000,,
233,1023,6,{14=40;501=4;card={id=3271}},3500,,
234,1023,10,{14=30;501=3;20611=80},2000,,
235,1023,20,{14=30;501=2;20611=50},1000,,
236,1023,30,{14=30;501=2;20611=30},,,
240,1024,1,{2057=1;card={id=3601};23601=240;501=5},7000,,
241,1024,2,{23601=160;501=4;card={id=3601}},5000,,
242,1024,3,{23601=80;501=4;card={id=3601}},4000,,
243,1024,6,{14=40;501=4;card={id=3601}},3500,,
244,1024,10,{14=30;501=3;23681=80},2000,,
245,1024,20,{14=30;501=2;23681=50},1000,,
246,1024,30,{14=30;501=2;23681=30},,,
250,1025,1,{2058=1;card={id=4161};501=5;24161=240},7000,,
251,1025,2,{501=4;24161=160;card={id=4161}},5000,,
252,1025,3,{501=4;24161=80;card={id=4161}},4000,,
253,1025,6,{14=40;501=4;card={id=4161}},3500,,
254,1025,10,{14=30;501=3;23201=80},2000,,
255,1025,20,{14=30;501=2;23201=50},1000,,
256,1025,30,{14=30;501=2;23201=30},,,
257,1026,1,{2153=1;23151=240;card={id=3151};501=5},7000,,
258,1026,2,{501=4;23151=160;card={id=3151}},5000,,
259,1026,3,{501=4;23151=80;card={id=3151}},4000,,
260,1026,6,{14=40;501=4;card={id=3151}},3500,,
261,1026,10,{14=30;501=3;502=50},2000,,
262,1026,20,{14=30;501=2;502=40},1000,,
263,1026,30,{14=30;501=2;502=30},,,
,,,,,,
,,,,,,
270,1027,1,{2237=1;23181=240;card={id=3181};501=5},7000,,
271,1027,2,{501=4;23181=160;card={id=3181}},5000,,
272,1027,3,{501=4;23181=80;card={id=3181}},4000,,
273,1027,6,{14=40;501=4;card={id=3181}},3500,,
274,1027,10,{14=30;501=3;502=50},2000,,
275,1027,20,{14=30;501=2;502=40},1000,,
276,1027,30,{14=30;501=2;502=30},,,
,,,,,,
277,1028,1,{2238=1;23191=240;card={id=3191};501=5},7000,,
278,1028,2,{501=4;23191=160;card={id=3191}},5000,,
279,1028,3,{501=4;23191=80;card={id=3191}},4000,,
280,1028,6,{14=40;501=4;card={id=3191}},3500,,
281,1028,10,{14=30;501=3;502=50},2000,,
282,1028,20,{14=30;501=2;502=40},1000,,
283,1028,30,{14=30;501=2;502=30},,,
,,,,,,
284,1029,1,{2240=1;23211=240;card={id=3211};501=5},7000,,
285,1029,2,{501=4;23211=160;card={id=3211}},5000,,
286,1029,3,{501=4;23211=80;card={id=3211}},4000,,
287,1029,6,{14=40;501=4;card={id=3211}},3500,,
288,1029,10,{14=30;501=3;502=50},2000,,
289,1029,20,{14=30;501=2;502=40},1000,,
290,1029,30,{14=30;501=2;502=30},,,
,,,,,,
291,1030,1,{1007=1;21423=240;card={id=1423};501=5},7000,,
292,1030,2,{501=4;21423=160;card={id=1423}},5000,,
293,1030,3,{501=4;21423=80;card={id=1423}},4000,,
294,1030,6,{14=40;501=4;card={id=1423}},3500,,
295,1030,10,{14=30;501=3;502=50},2000,,
296,1030,20,{14=30;501=2;502=40},1000,,
297,1030,30,{14=30;501=2;502=30},,,
,,,,,,
298,1031,1,{2047=1;21241=240;card={id=1241};501=5},7000,,
299,1031,2,{501=4;21241=160;card={id=1241}},5000,,
300,1031,3,{501=4;21241=80;card={id=1241}},4000,,
301,1031,6,{14=40;501=4;card={id=1241}},3500,,
302,1031,10,{14=30;501=3;502=50},2000,,
303,1031,20,{14=30;501=2;502=40},1000,,
304,1031,30,{14=30;501=2;502=30},,,
,,,,,,
305,1032,1,{2067=1;21231=240;card={id=1231};501=5},7000,,
306,1032,2,{501=4;21231=160;card={id=1231}},5000,,
307,1032,3,{501=4;21231=80;card={id=1231}},4000,,
308,1032,6,{14=40;501=4;card={id=1231}},3500,,
309,1032,10,{14=30;501=3;502=50},2000,,
310,1032,20,{14=30;501=2;502=40},1000,,
311,1032,30,{14=30;501=2;502=30},,,
,,,,,,
312,1033,1,{2015=1;21231=240;card={id=1231};501=5},7000,,
313,1033,2,{501=4;21231=160;card={id=1231}},5000,,
314,1033,3,{501=4;21231=80;card={id=1231}},4000,,
315,1033,6,{14=40;501=4;card={id=1231}},3500,,
316,1033,10,{14=30;501=3;502=50},2000,,
317,1033,20,{14=30;501=2;502=40},1000,,
318,1033,30,{14=30;501=2;502=30},,,
,,,,,,
319,1034,1,{2015=1;23211=240;card={id=3211};501=5},7000,,
320,1034,2,{501=4;23211=160;card={id=3211}},5000,,
321,1034,3,{501=4;23211=80;card={id=3211}},4000,,
322,1034,6,{14=40;501=4;card={id=3211}},3500,,
323,1034,10,{14=30;501=3;502=50},2000,,
324,1034,20,{14=30;501=2;502=40},1000,,
325,1034,30,{14=30;501=2;502=30},,,
,,,,,,
326,1035,1,{2621=1;22381=240;card={id=2381};501=5},7000,,
327,1035,2,{501=4;22381=160;card={id=2381}},5000,,
328,1035,3,{501=4;22381=80;card={id=2381}},4000,,
329,1035,6,{14=40;501=4;card={id=2381}},3500,,
330,1035,10,{14=30;501=3;502=50},2000,,
331,1035,20,{14=30;501=2;502=40},1000,,
332,1035,30,{14=30;501=2;502=30},,,
,,,,,,
333,1036,1,{2617=1;22361=240;card={id=2361};501=5},7000,,
334,1036,2,{501=4;22361=160;card={id=2361}},5000,,
335,1036,3,{501=4;22361=80;card={id=2361}},4000,,
336,1036,6,{14=40;501=4;card={id=2361}},3500,,
337,1036,10,{14=30;501=3;502=50},2000,,
338,1036,20,{14=30;501=2;502=40},1000,,
339,1036,30,{14=30;501=2;502=30},,,
