VariableName,huodongID,themeType,taskLinks,isSync,isCooperative,theme,theme_tw,theme_en,theme_vn,theme_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,taskType,taskParam,taskSpecialParam,award,point,goto
109,101016,,5,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到260次,通關副本達到260次,Challenge Common Dungeon 260 times,Thử thách phụ bản Thường 260 lần,던전 260회 클리어 달성,33,260,,{rmb=20},80,10000
110,101016,,1,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗5次,競技場內戰鬥5次,Fight in the Arena 5 times,Chiến đấu trong đấu trường 5 lần,아레나 전투 5회 진행,41,5,,{rmb=20},10,arena
111,101016,,2,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗10次,競技場內戰鬥10次,Fight in the Arena 10 times,Chiến đấu trong đấu trường 10 lần,아레나 전투 10회 진행,41,10,,{rmb=20},20,arena
112,101016,,3,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗16次,競技場內戰鬥16次,Fight in the Arena 16 times,Chiến đấu trong đấu trường 16 lần,아레나 전투 16회 진행,41,16,,{rmb=20},30,arena
113,101016,,4,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗25次,競技場內戰鬥25次,Fight in the Arena 25 times,Chiến đấu trong đấu trường 25 lần,아레나 전투 25회 진행,41,25,,{rmb=20},50,arena
114,101016,,5,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗32次,競技場內戰鬥32次,Fight in the Arena 32 times,Chiến đấu trong đấu trường 32 lần,아레나 전투 32회 진행,41,32,,{rmb=20},80,arena
115,101016,,1,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计6次,完成派遣累計6次,Complete Dispatch 6 times,Hoàn thành nhiệm vụ điều phái 6 lần,파견 완료 누적 6회,85,6,,{rmb=20},10,dispatchTask
116,101016,,2,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计12次,完成派遣累計12次,Complete Dispatch 12 times,Hoàn thành nhiệm vụ điều phái 12 lần,파견 완료 누적 12회,85,12,,{rmb=20},20,dispatchTask
117,101016,,3,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计20次,完成派遣累計20次,Complete Dispatch 20 times,Hoàn thành nhiệm vụ điều phái 20 lần,파견 완료 누적 20회,85,20,,{rmb=20},30,dispatchTask
118,101016,,4,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计32次,完成派遣累計32次,Complete Dispatch 32 times,Hoàn thành nhiệm vụ điều phái 32 lần,파견 완료 누적 32회,85,32,,{rmb=20},50,dispatchTask
119,101016,,5,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计40次,完成派遣累計40次,Complete Dispatch 40 times,Hoàn thành nhiệm vụ điều phái 40 lần,파견 완료 누적 40회,85,40,,{rmb=20},80,dispatchTask
120,101016,,1,TRUE,TRUE,并肩的伙伴,並肩的夥伴,Side-by-side Companion,Người bạn đồng hành bên cạnh,함께하는 동료,组队进行元素挑战3次,組隊進行元素挑戰3次,Join Elemental Challenge in a team 3 times,Tham gia Thử thách nguyên tố trong một đội 3 lần,파티로 엘리멘탈 챌린지 3회 진행,110,3,,{rmb=20},30,cloneBattle
121,101016,,2,TRUE,TRUE,并肩的伙伴,並肩的夥伴,Side-by-side Companion,Người bạn đồng hành bên cạnh,함께하는 동료,组队进行元素挑战6次,組隊進行元素挑戰6次,Join Elemental Challenge in a team 6 times,Tham gia Thử thách nguyên tố trong một đội 6 lần,파티로 엘리멘탈 챌린지 6회 진행,110,6,,{rmb=20},40,cloneBattle
122,101016,,3,TRUE,TRUE,并肩的伙伴,並肩的夥伴,Side-by-side Companion,Người bạn đồng hành bên cạnh,함께하는 동료,组队进行元素挑战9次,組隊進行元素挑戰9次,Join Elemental Challenge in a team 9 times,Tham gia Thử thách nguyên tố trong một đội 9 lần,파티로 엘리멘탈 챌린지 9회 진행,110,9,,{rmb=20},50,cloneBattle
123,101016,,4,TRUE,TRUE,并肩的伙伴,並肩的夥伴,Side-by-side Companion,Người bạn đồng hành bên cạnh,함께하는 동료,组队进行元素挑战11次,組隊進行元素挑戰11次,Join Elemental Challenge in a team 11 times,Tham gia Thử thách nguyên tố trong một đội 11 lần,파티로 엘리멘탈 챌린지 11회 진행,110,11,,{rmb=20},60,cloneBattle
124,101016,,1,TRUE,TRUE,交个朋友吧,交個朋友吧,Being friends,Trở thành những người bạn,친구하자,互为好友,互為好友,Friended,Kết bạn,서로 친구 추가,111,1,,{rmb=20},10,friend
130,101016,1,,,,累计登录1天,,,,,,,,,,17,1,,{rmb=300;gold=500000},,
131,101016,1,,,,累计登录2天,,,,,,,,,,17,2,,{500=1;19=5},,
132,101016,1,,,,累计登录3天,,,,,,,,,,17,3,,{503=5},,
133,101016,1,,,,累计登录4天,,,,,,,,,,17,4,,{502=8;522=5},,
134,101016,1,,,,累计登录5天,,,,,,,,,,17,5,,{519=10},,
135,101016,1,,,,累计登录6天,,,,,,,,,,17,6,,{851=100;529=1000},,
136,101016,1,,,,累计登录7天,,,,,,,,,,17,7,,{925=1},,
201,101017,,1,,,一天不落,一天不落,Perfect Attendance,Điểm danh hoàn hảo,프로 참석러,累计登录天数达到1天,累計登錄天數達到1天,Login for 1 day,Đăng nhập trong 1 ngày,누적 로그인일 수 1일 달성,17,1,,{rmb=20},10,
202,101017,,2,,,一天不落,一天不落,Perfect Attendance,Điểm danh hoàn hảo,프로 참석러,累计登录天数达到3天,累計登錄天數達到3天,Login for 3 days,Đăng nhập trong 3 ngày,누적 로그인일 수 3일 달성,17,3,,{rmb=20},20,
203,101017,,3,,,一天不落,一天不落,Perfect Attendance,Điểm danh hoàn hảo,프로 참석러,累计登录天数达到5天,累計登錄天數達到5天,Login for 5 days,Đăng nhập trong 5 ngày,누적 로그인일 수 5일 달성,17,5,,{rmb=20},30,
204,101017,,4,,,一天不落,一天不落,Perfect Attendance,Điểm danh hoàn hảo,프로 참석러,累计登录天数达到7天,累計登錄天數達到7天,Login for 7 days,Đăng nhập trong 7 ngày,누적 로그인일 수 7일 달성,17,7,,{rmb=20},50,
205,101017,,1,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到20次,通關副本達到20次,Challenge Common Dungeon 20 times,Thử thách phụ bản Thường 20 lần,던전 20회 클리어 달성,33,20,,{rmb=20},10,10000
206,101017,,2,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到50次,通關副本達到50次,Challenge Common Dungeon 50 times,Thử thách phụ bản Thường 50 lần,던전 50회 클리어 달성,33,50,,{rmb=20},20,10000
207,101017,,3,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到100次,通關副本達到100次,Challenge Common Dungeon 100 times,Thử thách phụ bản Thường 100 lần,던전 100회 클리어 달성,33,100,,{rmb=20},30,10000
208,101017,,4,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到180次,通關副本達到180次,Challenge Common Dungeon 180 times,Thử thách phụ bản Thường 180 lần,던전 180회 클리어 달성,33,180,,{rmb=20},50,10000
209,101017,,5,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到260次,通關副本達到260次,Challenge Common Dungeon 260 times,Thử thách phụ bản Thường 260 lần,던전 260회 클리어 달성,33,260,,{rmb=20},80,10000
210,101017,,1,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗5次,競技場內戰鬥5次,Fight in the Arena 5 times,Chiến đấu trong đấu trường 5 lần,아레나 전투 5회 진행,41,5,,{rmb=20},10,arena
211,101017,,2,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗10次,競技場內戰鬥10次,Fight in the Arena 10 times,Chiến đấu trong đấu trường 10 lần,아레나 전투 10회 진행,41,10,,{rmb=20},20,arena
212,101017,,3,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗16次,競技場內戰鬥16次,Fight in the Arena 16 times,Chiến đấu trong đấu trường 16 lần,아레나 전투 16회 진행,41,16,,{rmb=20},30,arena
213,101017,,4,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗25次,競技場內戰鬥25次,Fight in the Arena 25 times,Chiến đấu trong đấu trường 25 lần,아레나 전투 25회 진행,41,25,,{rmb=20},50,arena
214,101017,,5,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗32次,競技場內戰鬥32次,Fight in the Arena 32 times,Chiến đấu trong đấu trường 32 lần,아레나 전투 32회 진행,41,32,,{rmb=20},80,arena
215,101017,,1,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计6次,完成派遣累計6次,Join Quest Dispatch 6 times,Tham gia nhiệm vụ điều phái 6 lần,파견 완료 누적 6회,85,6,,{rmb=20},10,dispatchTask
216,101017,,2,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计12次,完成派遣累計12次,Join Quest Dispatch 12 times,Tham gia nhiệm vụ điều phái 12 lần,파견 완료 누적 12회,85,12,,{rmb=20},20,dispatchTask
217,101017,,3,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计20次,完成派遣累計20次,Join Quest Dispatch 20 times,Tham gia nhiệm vụ điều phái 20 lần,파견 완료 누적 20회,85,20,,{rmb=20},30,dispatchTask
218,101017,,4,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计32次,完成派遣累計32次,Join Quest Dispatch 32 times,Tham gia nhiệm vụ điều phái 32 lần,파견 완료 누적 32회,85,32,,{rmb=20},50,dispatchTask
219,101017,,5,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计40次,完成派遣累計40次,Join Quest Dispatch 40 times,Tham gia nhiệm vụ điều phái 40 lần,파견 완료 누적 40회,85,40,,{rmb=20},80,dispatchTask
220,101017,,1,TRUE,TRUE,并肩的伙伴,並肩的夥伴,Side-by-side Companion,Người bạn đồng hành bên cạnh,함께하는 동료,组队进行元素挑战3次,組隊進行元素挑戰3次,Join Elemental Challenge in a team 3 times,Tham gia Thử thách nguyên tố trong một đội 3 lần,파티로 엘리멘탈 챌린지 3회 진행,110,3,,{rmb=20},30,cloneBattle
221,101017,,2,TRUE,TRUE,并肩的伙伴,並肩的夥伴,Side-by-side Companion,Người bạn đồng hành bên cạnh,함께하는 동료,组队进行元素挑战6次,組隊進行元素挑戰6次,Join Elemental Challenge in a team 6 times,Tham gia Thử thách nguyên tố trong một đội 6 lần,파티로 엘리멘탈 챌린지 6회 진행,110,6,,{rmb=20},40,cloneBattle
222,101017,,3,TRUE,TRUE,并肩的伙伴,並肩的夥伴,Side-by-side Companion,Người bạn đồng hành bên cạnh,함께하는 동료,组队进行元素挑战9次,組隊進行元素挑戰9次,Join Elemental Challenge in a team 9 times,Tham gia Thử thách nguyên tố trong một đội 9 lần,파티로 엘리멘탈 챌린지 9회 진행,110,9,,{rmb=20},50,cloneBattle
223,101017,,4,TRUE,TRUE,并肩的伙伴,並肩的夥伴,Side-by-side Companion,Người bạn đồng hành bên cạnh,함께하는 동료,组队进行元素挑战11次,組隊進行元素挑戰11次,Join Elemental Challenge in a team 11 times,Tham gia Thử thách nguyên tố trong một đội 11 lần,파티로 엘리멘탈 챌린지 11회 진행,110,11,,{rmb=20},60,cloneBattle
224,101017,,1,TRUE,TRUE,交个朋友吧,交個朋友吧,Being friends,Trở thành những người bạn,친구하자,互为好友,互為好友,Friended,Kết bạn,서로 친구 추가,111,1,,{rmb=20},10,friend
230,101017,1,,,,累计登录1天,,,,,,,,,,17,1,,{rmb=300;gold=500000},,
231,101017,1,,,,累计登录2天,,,,,,,,,,17,2,,{500=1;19=5},,
232,101017,1,,,,累计登录3天,,,,,,,,,,17,3,,{503=5},,
233,101017,1,,,,累计登录4天,,,,,,,,,,17,4,,{502=8;522=5},,
234,101017,1,,,,累计登录5天,,,,,,,,,,17,5,,{519=10},,
235,101017,1,,,,累计登录6天,,,,,,,,,,17,6,,{851=100;529=1000},,
236,101017,1,,,,累计登录7天,,,,,,,,,,17,7,,{925=1},,
301,101018,,1,,,一天不落,一天不落,Perfect Attendance,Điểm danh hoàn hảo,프로 참석러,累计登录天数达到1天,累計登錄天數達到1天,Login for 1 day,Đăng nhập trong 1 ngày,누적 로그인일 수 1일 달성,17,1,,{rmb=20},10,
302,101018,,2,,,一天不落,一天不落,Perfect Attendance,Điểm danh hoàn hảo,프로 참석러,累计登录天数达到3天,累計登錄天數達到3天,Login for 3 days,Đăng nhập trong 3 ngày,누적 로그인일 수 3일 달성,17,3,,{rmb=20},20,
303,101018,,3,,,一天不落,一天不落,Perfect Attendance,Điểm danh hoàn hảo,프로 참석러,累计登录天数达到5天,累計登錄天數達到5天,Login for 5 days,Đăng nhập trong 5 ngày,누적 로그인일 수 5일 달성,17,5,,{rmb=20},30,
304,101018,,4,,,一天不落,一天不落,Perfect Attendance,Điểm danh hoàn hảo,프로 참석러,累计登录天数达到7天,累計登錄天數達到7天,Login for 7 days,Đăng nhập trong 7 ngày,누적 로그인일 수 7일 달성,17,7,,{rmb=20},50,
305,101018,,1,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到20次,通關副本達到20次,Challenge Common Dungeon 20 times,Thử thách phụ bản Thường 20 lần,던전 20회 클리어 달성,33,20,,{rmb=20},10,10000
306,101018,,2,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到50次,通關副本達到50次,Challenge Common Dungeon 50 times,Thử thách phụ bản Thường 50 lần,던전 50회 클리어 달성,33,50,,{rmb=20},20,10000
307,101018,,3,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到100次,通關副本達到100次,Challenge Common Dungeon 100 times,Thử thách phụ bản Thường 100 lần,던전 100회 클리어 달성,33,100,,{rmb=20},30,10000
308,101018,,4,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到180次,通關副本達到180次,Challenge Common Dungeon 180 times,Thử thách phụ bản Thường 180 lần,던전 180회 클리어 달성,33,180,,{rmb=20},50,10000
309,101018,,5,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到260次,通關副本達到260次,Challenge Common Dungeon 260 times,Thử thách phụ bản Thường 260 lần,던전 260회 클리어 달성,33,260,,{rmb=20},80,10000
310,101018,,1,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗5次,競技場內戰鬥5次,Fight in the Arena 5 times,Chiến đấu trong đấu trường 5 lần,아레나 전투 5회 진행,41,5,,{rmb=20},10,arena
311,101018,,2,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗10次,競技場內戰鬥10次,Fight in the Arena 10 times,Chiến đấu trong đấu trường 10 lần,아레나 전투 10회 진행,41,10,,{rmb=20},20,arena
312,101018,,3,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗16次,競技場內戰鬥16次,Fight in the Arena 16 times,Chiến đấu trong đấu trường 16 lần,아레나 전투 16회 진행,41,16,,{rmb=20},30,arena
313,101018,,4,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗25次,競技場內戰鬥25次,Fight in the Arena 25 times,Chiến đấu trong đấu trường 25 lần,아레나 전투 25회 진행,41,25,,{rmb=20},50,arena
314,101018,,5,,,PK之王,PK之王,King of PvP,Vua PvP,PK의 제왕,竞技场内战斗32次,競技場內戰鬥32次,Fight in the Arena 32 times,Chiến đấu trong đấu trường 32 lần,아레나 전투 32회 진행,41,32,,{rmb=20},80,arena
315,101018,,1,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计6次,完成派遣累計6次,Join Quest Dispatch 6 times,Tham gia nhiệm vụ điều phái 6 lần,파견 완료 누적 6회,85,6,,{rmb=20},10,dispatchTask
316,101018,,2,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计12次,完成派遣累計12次,Join Quest Dispatch 12 times,Tham gia nhiệm vụ điều phái 12 lần,파견 완료 누적 12회,85,12,,{rmb=20},20,dispatchTask
317,101018,,3,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计20次,完成派遣累計20次,Join Quest Dispatch 20 times,Tham gia nhiệm vụ điều phái 20 lần,파견 완료 누적 20회,85,20,,{rmb=20},30,dispatchTask
318,101018,,4,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计32次,完成派遣累計32次,Join Quest Dispatch 32 times,Tham gia nhiệm vụ điều phái 32 lần,파견 완료 누적 32회,85,32,,{rmb=20},50,dispatchTask
319,101018,,5,TRUE,,金牌跑腿,金牌跑腿,Super Errand-man,Siêu Nhân,에이스 심부름꾼,完成派遣累计40次,完成派遣累計40次,Join Quest Dispatch 40 times,Tham gia nhiệm vụ điều phái 40 lần,파견 완료 누적 40회,85,40,,{rmb=20},80,dispatchTask
320,101018,,1,TRUE,TRUE,并肩的伙伴,並肩的夥伴,Side-by-side Companion,Người bạn đồng hành bên cạnh,함께하는 동료,组队进行元素挑战3次,組隊進行元素挑戰3次,Join Elemental Challenge in a team 3 times,Tham gia Thử thách nguyên tố trong một đội 3 lần,파티로 엘리멘탈 챌린지 3회 진행,110,3,,{rmb=20},30,cloneBattle
321,101018,,2,TRUE,TRUE,并肩的伙伴,並肩的夥伴,Side-by-side Companion,Người bạn đồng hành bên cạnh,함께하는 동료,组队进行元素挑战6次,組隊進行元素挑戰6次,Join Elemental Challenge in a team 6 times,Tham gia Thử thách nguyên tố trong một đội 6 lần,파티로 엘리멘탈 챌린지 6회 진행,110,6,,{rmb=20},40,cloneBattle
322,101018,,3,TRUE,TRUE,并肩的伙伴,並肩的夥伴,Side-by-side Companion,Người bạn đồng hành bên cạnh,함께하는 동료,组队进行元素挑战9次,組隊進行元素挑戰9次,Join Elemental Challenge in a team 9 times,Tham gia Thử thách nguyên tố trong một đội 9 lần,파티로 엘리멘탈 챌린지 9회 진행,110,9,,{rmb=20},50,cloneBattle
323,101018,,4,TRUE,TRUE,并肩的伙伴,並肩的夥伴,Side-by-side Companion,Người bạn đồng hành bên cạnh,함께하는 동료,组队进行元素挑战11次,組隊進行元素挑戰11次,Join Elemental Challenge in a team 11 times,Tham gia Thử thách nguyên tố trong một đội 11 lần,파티로 엘리멘탈 챌린지 11회 진행,110,11,,{rmb=20},60,cloneBattle
324,101018,,1,TRUE,TRUE,交个朋友吧,交個朋友吧,Being friends,Trở thành những người bạn,친구하자,互为好友,互為好友,Friended,Kết bạn,서로 친구 추가,111,1,,{rmb=20},10,friend
330,101018,1,,,,,,,,,累计登录1天,,,Đăng nhập trong 1 ngày,,17,1,,{rmb=300;gold=500000},,
331,101018,1,,,,,,,,,累计登录2天,,,Đăng nhập trong 2 ngày,,17,2,,{500=1;19=5},,
332,101018,1,,,,,,,,,累计登录3天,,,Đăng nhập trong 3 ngày,,17,3,,{503=5},,
333,101018,1,,,,,,,,,累计登录4天,,,Đăng nhập trong 4 ngày,,17,4,,{502=8;522=5},,
334,101018,1,,,,,,,,,累计登录5天,,,Đăng nhập trong 5 ngày,,17,5,,{519=10},,
335,101018,1,,,,,,,,,累计登录6天,,,Đăng nhập trong 6 ngày,,17,6,,{851=100;529=1000},,
336,101018,1,,,,,,,,,累计登录7天,,,Đăng nhập trong 7 ngày,,17,7,,{925=1},,
1001,1001,1,,,,,,,,,累计登录1天,,,Đăng nhập trong 1 ngày,,17,1,,{gold=500000;stamina=200;role_exp=500;rmb=100},,
1002,1001,1,,,,,,,,,累计登录2天,,,Đăng nhập trong 2 ngày,,17,2,,{gold=300000;stamina=120;role_exp=300;rmb=100},,
1003,1001,1,,,,,,,,,累计登录3天,,,Đăng nhập trong 3 ngày,,17,3,,{gold=300000;stamina=120;role_exp=300;rmb=100},,
1004,1001,1,,,,,,,,,累计登录4天,,,Đăng nhập trong 4 ngày,,17,4,,{gold=500000;stamina=200;role_exp=500;rmb=100},,
1005,1001,1,,,,,,,,,累计登录5天,,,Đăng nhập trong 5 ngày,,17,5,,{gold=300000;stamina=120;role_exp=300;rmb=100},,
1006,1001,1,,,,,,,,,累计登录6天,,,Đăng nhập trong 6 ngày,,17,6,,{gold=300000;stamina=120;role_exp=300;rmb=100},,
1007,1001,1,,,,,,,,,累计登录7天,,,Đăng nhập trong 7 ngày,,17,7,,{gold=1000000;stamina=300;role_exp=800;rmb=200},,
1011,1001,,1,,,一天不落,一天不落,Perfect Attendance,,프로 참석러,累计登录1天,累計登錄1天,Login for 1 day,Đăng nhập trong 1 ngày,누적 로그인일 수 1일 달성,17,1,,{502=4;519=2;15=20;452=100},10,
1012,1001,,2,,,一天不落,一天不落,Perfect Attendance,,프로 참석러,累计登录2天,累計登錄2天,Login for 2 days,Đăng nhập trong 2 ngày,누적 로그인일 수 2일 달성,17,2,,{coin1=200;coin2=500;15=10;coin3=200},10,
1013,1001,,3,,,一天不落,一天不落,Perfect Attendance,,프로 참석러,累计登录3天,累計登錄3天,Login for 3 days,Đăng nhập trong 3 ngày,누적 로그인일 수 3일 달성,17,3,,{coin1=200;coin2=500;15=10;coin3=200},10,
1014,1001,,4,,,一天不落,一天不落,Perfect Attendance,,프로 참석러,累计登录4天,累計登錄4天,Login for 4 days,Đăng nhập trong 4 ngày,누적 로그인일 수 4일 달성,17,4,,{coin1=200;coin2=500;15=20;coin3=200},10,
1015,1001,,5,,,一天不落,一天不落,Perfect Attendance,,프로 참석러,累计登录5天,累計登錄5天,Login for 5 days,Đăng nhập trong 5 ngày,누적 로그인일 수 5일 달성,17,5,,{coin1=200;coin2=500;15=10;coin3=200},10,
1016,1001,,6,,,一天不落,一天不落,Perfect Attendance,,프로 참석러,累计登录6天,累計登錄6天,Login for 6 days,Đăng nhập trong 6 ngày,누적 로그인일 수 6일 달성,17,6,,{coin1=200;coin2=500;15=10;coin3=200},10,
1017,1001,,7,,,一天不落,一天不落,Perfect Attendance,,프로 참석러,累计登录7天,累計登錄7天,Login for 7 days,Đăng nhập trong 7 ngày,누적 로그인일 수 7일 달성,17,7,,{502=8;519=4;15=20;452=200},10,
1021,1001,,1,,,通关能手,通關能手,Stage Sweeper,,클리어 장인,普通副本挑战90次,普通副本挑戰90次,Challenge Common Dungeon 90 times,Đăng nhập trong 1 ngày,던전 90회 클리어 달성,29,90,,{930=20;5000=20;gold=100000},10,10000
1022,1001,,2,,,通关能手,通關能手,Stage Sweeper,,클리어 장인,普通副本挑战180次,普通副本挑戰180次,Challenge Common Dungeon 180 times,Đăng nhập trong 2 ngày,던전 180회 클리어 달성,29,180,,{930=20;5000=20;gold=100000},10,10000
1023,1001,,3,,,通关能手,通關能手,Stage Sweeper,,클리어 장인,普通副本挑战270次,普通副本挑戰270次,Challenge Common Dungeon 270 times,Đăng nhập trong 3 ngày,던전 270회 클리어 달성,29,270,,{930=24;5000=24;gold=120000},10,10000
1024,1001,,4,,,通关能手,通關能手,Stage Sweeper,,클리어 장인,普通副本挑战360次,普通副本挑戰360次,Challenge Common Dungeon 360 times,Đăng nhập trong 4 ngày,던전 360회 클리어 달성,29,360,,{930=30;5000=30;gold=150000},10,10000
1025,1001,,5,,,通关能手,通關能手,Stage Sweeper,,클리어 장인,普通副本挑战450次,普通副本挑戰450次,Challenge Common Dungeon 450 times,Đăng nhập trong 5 ngày,던전 450회 클리어 달성,29,450,,{930=30;5000=30;gold=150000},10,10000
1026,1001,,6,,,通关能手,通關能手,Stage Sweeper,,클리어 장인,普通副本挑战540次,普通副本挑戰540次,Challenge Common Dungeon 540 times,Đăng nhập trong 6 ngày,던전 540회 클리어 달성,29,540,,{930=40;5000=40;gold=200000},10,10000
1027,1001,,7,,,通关能手,通關能手,Stage Sweeper,,클리어 장인,普通副本挑战720次,普通副本挑戰720次,Challenge Common Dungeon 720 times,Đăng nhập trong 7 ngày,던전 720회 클리어 달성,29,720,,{930=40;5000=40;gold=200000},10,10000
1031,1001,,1,,,任务达人,任務達人,Quest Expert,,퀘스트의 달인,任务派遣6次,任務派遣6次,Join Quest Dispatch 6 times,Đăng nhập trong 1 ngày,파견 퀘스트  6회 진행,85,6,,{2103=3;gold=60000},10,dispatchTask
