VariableName,huodongID,daySum,desc,desc_tw,desc_en,desc_vn,desc_kr,award,award_en,award_vn
18,1002,8,8天登录奖励,8天登錄獎勵,Day 8 Login Rewards,Thưởng Đăng Nhập 8 Ngày,8일 로그인 보상,{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000}
19,1002,9,9天登录奖励,9天登錄獎勵,Day 9 Login Rewards,Thưởng Đăng Nhập 9 Ngày,9일 로그인 보상,{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000}
1001,10001,1,新手福利第1天,,,,,{519=20;500=1;gold=500000;rmb=888},{519=20;500=1;gold=500000;rmb=888},{941=1;519=10;gold=30000;rmb=100}
1002,10001,2,新手福利第2天,,,,,{card={id=631};520=10;gold=500000;rmb=888},{card={id=631};520=10;gold=500000;rmb=888},{card={id=631};519=10;gold=30000;rmb=120}
1003,10001,3,新手福利第3天,,,,,{537=10;gold=500000;500=1;rmb=888},{537=10;gold=500000;500=1;rmb=888},{519=10;gold=50000;501=1;rmb=120}
1004,10001,4,新手福利第4天,,,,,{gold=500000;card={id=3152};rmb=888;503=10},{gold=500000;card={id=3152};rmb=888;503=10},{gold=50000;100=3;rmb=120;503=2}
1005,10001,5,新手福利第5天,,,,,{451=500;card={id=9002};gold=600000;rmb=888},{451=500;card={id=9002};gold=600000;rmb=888},{451=100;card={id=9003};gold=70000;rmb=150}
1006,10001,6,新手福利第6天,,,,,{card={id=1071};500=1;gold=800000;rmb=1888},{card={id=1071};500=1;gold=800000;rmb=1888},{502=3;talent_point=3;gold=70000;rmb=150}
1007,10001,7,新手福利第7天,,,,,{card={id=9003};gold=1000000;6059=1;rmb=1888},{card={id=9003};gold=1000000;6059=1;rmb=1888},{502=50;gold=100000;519=10;rmb=150}
1101,11001,1,连续登录第1天,連續登錄第1天,Day 1 Login Rewards,Đăng Nhập Liên Tục Ngày 1,연속 로그인 1일 차,{rmb=100},{rmb=100},{rmb=100}
1102,11001,2,连续登录第2天,連續登錄第2天,Day 2 Login Rewards,Đăng Nhập Liên Tục Ngày 2,연속 로그인 2일 차,{rmb=100;card={id=41}},{rmb=100;card={id=41}},{rmb=100;card={id=41}}
1103,11001,3,连续登录第3天,連續登錄第3天,Day 3 Login Rewards,Đăng Nhập Liên Tục Ngày 3,연속 로그인 3일 차,{13=20;rmb=100;card={id=41}},{13=20;rmb=100;card={id=41}},{13=20;rmb=100;card={id=41}}
1104,11001,4,连续登录第4天,連續登錄第4天,Day 4 Login Rewards,Đăng Nhập Liên Tục Ngày 4,연속 로그인 4일 차,{gold=12000;100=3;rmb=120;503=2},{gold=12000;100=3;rmb=120;503=2},{gold=12000;100=3;rmb=120;503=2}
1105,11001,5,连续登录第5天,連續登錄第5天,Day 5 Login Rewards,Đăng Nhập Liên Tục Ngày 5,연속 로그인 5일 차,{451=30;gold=15000;501=1;rmb=120},{451=30;gold=15000;501=1;rmb=120},{451=30;gold=15000;501=1;rmb=120}
1106,11001,6,连续登录第6天,連續登錄第6天,Day 6 Login Rewards,Đăng Nhập Liên Tục Ngày 6,연속 로그인 6일 차,{502=2;talent_point=3;gold=20000;rmb=120},{502=2;talent_point=3;gold=20000;rmb=120},{502=2;talent_point=3;gold=20000;rmb=120}
1107,11001,7,连续登录第7天,連續登錄第7天,Day 7 Login Rewards,Đăng Nhập Liên Tục Ngày 7,연속 로그인 7일 차,{13=20;card={id=41};gold=30000;rmb=150},{13=20;card={id=41};gold=30000;rmb=150},{13=20;card={id=41};gold=30000;rmb=150}
1201,12001,1,对应天数第1天,對應天數第1天,Day 1 Login Rewards,Số Ngày Tương Ứng Ngày 1,대응 일수 1일 차,{rmb=100},{rmb=100},{rmb=100}
1202,12001,2,对应天数第2天,對應天數第2天,Day 2 Login Rewards,Số Ngày Tương Ứng Ngày 2,대응 일수 2일 차,{rmb=100;card={id=11}},{rmb=100;card={id=11}},{rmb=100;card={id=11}}
1203,12001,3,对应天数第3天,對應天數第3天,Day 3 Login Rewards,Số Ngày Tương Ứng Ngày 3,대응 일수 3일 차,{13=20;rmb=100;card={id=11}},{13=20;rmb=100;card={id=11}},{13=20;rmb=100;card={id=11}}
1204,12001,4,对应天数第4天,對應天數第4天,Day 4 Login Rewards,Số Ngày Tương Ứng Ngày 4,대응 일수 4일 차,{gold=12000;100=3;rmb=120;503=2},{gold=12000;100=3;rmb=120;503=2},{gold=12000;100=3;rmb=120;503=2}
1205,12001,5,对应天数第5天,對應天數第5天,Day 5 Login Rewards,Số Ngày Tương Ứng Ngày 5,대응 일수 5일 차,{451=30;gold=15000;501=1;rmb=120},{451=30;gold=15000;501=1;rmb=120},{451=30;gold=15000;501=1;rmb=120}
1206,12001,6,对应天数第6天,對應天數第6天,Day 6 Login Rewards,Số Ngày Tương Ứng Ngày 6,대응 일수 6일 차,{502=2;talent_point=3;gold=20000;rmb=120},{502=2;talent_point=3;gold=20000;rmb=120},{502=2;talent_point=3;gold=20000;rmb=120}
1207,12001,7,对应天数第7天,對應天數第7天,Day 7 Login Rewards,Số Ngày Tương Ứng Ngày 7,대응 일수 7일 차,{13=20;card={id=11};gold=30000;rmb=150},{13=20;card={id=11};gold=30000;rmb=150},{13=20;card={id=11};gold=30000;rmb=150}
1208,12001,8,对应天数第8天,對應天數第8天,Day 8 Login Rewards,Số Ngày Tương Ứng Ngày 8,대응 일수 8일 차,{930=5;519=10;gold=10000;rmb=100},{930=5;519=10;gold=10000;rmb=100},{930=5;519=10;gold=10000;rmb=100}
1209,12001,9,对应天数第9天,對應天數第9天,Day 9 Login Rewards,Số Ngày Tương Ứng Ngày 9,대응 일수 9일 차,{card={id=11};31201=1;gold=10000;rmb=100},{card={id=11};31201=1;gold=10000;rmb=100},{card={id=11};31201=1;gold=10000;rmb=100}
1210,12001,10,对应天数第10天,對應天數第10天,Day 10 Login Rewards,Số Ngày Tương Ứng Ngày 10,대응 일수 10일 차,{13=20;card={id=11};gold=12000;rmb=100},{13=20;card={id=11};gold=12000;rmb=100},{13=20;card={id=11};gold=12000;rmb=100}
1301,13001,1,对应天数第1天,對應天數第1天,Day 1 Login Rewards,Số Ngày Tương Ứng Ngày 1,대응 일수 1일 차,{528=10},{528=10},{528=10}
1302,13001,2,对应天数第2天,對應天數第2天,Day 2 Login Rewards,Số Ngày Tương Ứng Ngày 2,대응 일수 2일 차,{528=10},{528=10},{528=10}
1303,13001,3,对应天数第3天,對應天數第3天,Day 3 Login Rewards,Số Ngày Tương Ứng Ngày 3,대응 일수 3일 차,{528=10},{528=10},{528=10}
1304,13001,4,对应天数第4天,對應天數第4天,Day 4 Login Rewards,Số Ngày Tương Ứng Ngày 4,대응 일수 4일 차,{528=10},{528=10},{528=10}
1305,13001,5,对应天数第5天,對應天數第5天,Day 5 Login Rewards,Số Ngày Tương Ứng Ngày 5,대응 일수 5일 차,{528=10},{528=10},{528=10}
1306,13001,6,对应天数第6天,對應天數第6天,Day 6 Login Rewards,Số Ngày Tương Ứng Ngày 6,대응 일수 6일 차,{528=10},{528=10},{528=10}
1307,13001,7,对应天数第7天,對應天數第7天,Day 7 Login Rewards,Số Ngày Tương Ứng Ngày 7,대응 일수 7일 차,{528=10},{528=10},{528=10}
1308,13001,8,对应天数第8天,對應天數第8天,Day 8 Login Rewards,Số Ngày Tương Ứng Ngày 8,대응 일수 8일 차,{528=10},{528=10},{528=10}
1309,13001,9,对应天数第9天,對應天數第9天,Day 9 Login Rewards,Số Ngày Tương Ứng Ngày 9,대응 일수 9일 차,{528=10},{528=10},{528=10}
1310,13001,10,对应天数第10天,對應天數第10天,Day 10 Login Rewards,Số Ngày Tương Ứng Ngày 10,대응 일수 10일 차,{528=10},{528=10},{528=10}
1311,13001,11,对应天数第11天,對應天數第11天,Day 11 Login Rewards,Số Ngày Tương Ứng Ngày 11,대응 일수 11일 차,{528=10},{528=10},{528=10}
1312,13001,12,对应天数第12天,對應天數第12天,Day 12 Login Rewards,Số Ngày Tương Ứng Ngày 12,대응 일수 12일 차,{528=10},{528=10},{528=10}
1313,13001,13,对应天数第13天,對應天數第13天,Day 13 Login Rewards,Số Ngày Tương Ứng Ngày 13,대응 일수 13일 차,{528=10},{528=10},{528=10}
1314,13001,14,对应天数第14天,對應天數第14天,Day 14 Login Rewards,Số Ngày Tương Ứng Ngày 14,대응 일수 14일 차,{528=10},{528=10},{528=10}
1315,13001,15,对应天数第15天,對應天數第15天,Day 15 Login Rewards,Số Ngày Tương Ứng Ngày 15,대응 일수 15일 차,{528=10},{528=10},{528=10}
1316,13001,16,对应天数第16天,對應天數第16天,Day 16 Login Rewards,Số Ngày Tương Ứng Ngày 16,대응 일수 16일 차,{528=10},{528=10},{528=10}
1321,13002,1,对应天数第1天,對應天數第1天,404,Số Ngày Tương Ứng Ngày 1,대응 일수 1일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1322,13002,2,对应天数第2天,對應天數第2天,404,Số Ngày Tương Ứng Ngày 2,대응 일수 2일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1323,13002,3,对应天数第3天,對應天數第3天,404,Số Ngày Tương Ứng Ngày 3,대응 일수 3일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1324,13002,4,对应天数第4天,對應天數第4天,404,Số Ngày Tương Ứng Ngày 4,대응 일수 4일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1325,13002,5,对应天数第5天,對應天數第5天,404,Số Ngày Tương Ứng Ngày 5,대응 일수 5일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1326,13002,6,对应天数第6天,對應天數第6天,404,Số Ngày Tương Ứng Ngày 6,대응 일수 6일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1327,13002,7,对应天数第7天,對應天數第7天,404,Số Ngày Tương Ứng Ngày 7,대응 일수 7일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1328,13002,8,对应天数第8天,對應天數第8天,404,Số Ngày Tương Ứng Ngày 8,대응 일수 8일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1329,13002,9,对应天数第9天,對應天數第9天,404,Số Ngày Tương Ứng Ngày 9,대응 일수 9일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1330,13002,10,对应天数第10天,對應天數第10天,404,Số Ngày Tương Ứng Ngày 10,대응 일수 10일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1331,13002,11,对应天数第11天,對應天數第11天,404,Số Ngày Tương Ứng Ngày 11,대응 일수 11일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1332,13002,12,对应天数第12天,對應天數第12天,404,Số Ngày Tương Ứng Ngày 12,대응 일수 12일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1333,13002,13,对应天数第13天,對應天數第13天,404,Số Ngày Tương Ứng Ngày 13,대응 일수 13일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1334,13002,14,对应天数第14天,對應天數第14天,404,Số Ngày Tương Ứng Ngày 14,대응 일수 14일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1335,13002,15,对应天数第15天,對應天數第15天,404,Số Ngày Tương Ứng Ngày 15,대응 일수 15일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1336,13002,16,对应天数第16天,對應天數第16天,404,Số Ngày Tương Ứng Ngày 16,대응 일수 16일 차,{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3},{6375=1;6376=5;6372=3;6373=3;6374=3}
1341,13003,1,对应天数第1天,對應天數第1天,404,Số Ngày Tương Ứng Ngày 1,대응 일수 1일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1342,13003,2,对应天数第2天,對應天數第2天,404,Số Ngày Tương Ứng Ngày 2,대응 일수 2일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1343,13003,3,对应天数第3天,對應天數第3天,404,Số Ngày Tương Ứng Ngày 3,대응 일수 3일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1344,13003,4,对应天数第4天,對應天數第4天,404,Số Ngày Tương Ứng Ngày 4,대응 일수 4일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1345,13003,5,对应天数第5天,對應天數第5天,404,Số Ngày Tương Ứng Ngày 5,대응 일수 5일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1346,13003,6,对应天数第6天,對應天數第6天,404,Số Ngày Tương Ứng Ngày 6,대응 일수 6일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1347,13003,7,对应天数第7天,對應天數第7天,404,Số Ngày Tương Ứng Ngày 7,대응 일수 7일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1348,13003,8,对应天数第8天,對應天數第8天,404,Số Ngày Tương Ứng Ngày 8,대응 일수 8일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1349,13003,9,对应天数第9天,對應天數第9天,404,Số Ngày Tương Ứng Ngày 9,대응 일수 9일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1350,13003,10,对应天数第10天,對應天數第10天,404,Số Ngày Tương Ứng Ngày 10,대응 일수 10일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1351,13003,11,对应天数第11天,對應天數第11天,404,Số Ngày Tương Ứng Ngày 11,대응 일수 11일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1352,13003,12,对应天数第12天,對應天數第12天,404,Số Ngày Tương Ứng Ngày 12,대응 일수 12일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1353,13003,13,对应天数第13天,對應天數第13天,404,Số Ngày Tương Ứng Ngày 13,대응 일수 13일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1354,13003,14,对应天数第14天,對應天數第14天,404,Số Ngày Tương Ứng Ngày 14,대응 일수 14일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1355,13003,15,对应天数第15天,對應天數第15天,404,Số Ngày Tương Ứng Ngày 15,대응 일수 15일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
1356,13003,16,对应天数第16天,對應天數第16天,404,Số Ngày Tương Ứng Ngày 16,대응 일수 16일 차,{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3},{6375=1;6372=3;6373=3;6374=3}
10181,10012,1,累计登录1天,累計登錄1天,404,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,{gold=100000;520=10;rmb=188;8604=1},{gold=100000;520=10;rmb=188;8604=1},{gold=100000;520=10;rmb=188;8604=1}
10182,10012,2,累计登录2天,累計登錄2天,404,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,{13=10;gold=100000;rmb=188;503=10},{13=10;gold=100000;rmb=188;503=10},{13=10;gold=100000;rmb=188;503=10}
10183,10012,3,累计登录3天,累計登錄3天,404,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,{2103=10;519=10;gold=100000;rmb=188},{2103=10;519=10;gold=100000;rmb=188},{2103=10;519=10;gold=100000;rmb=188}
10184,10012,4,累计登录4天,累計登錄4天,404,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,{502=5;13=15;gold=100000;rmb=188},{502=5;13=15;gold=100000;rmb=188},{502=5;13=15;gold=100000;rmb=188}
10185,10012,5,累计登录5天,累計登錄5天,404,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,{13=20;19=10;gold=100000;rmb=188},{13=20;19=10;gold=100000;rmb=188},{13=20;19=10;gold=100000;rmb=188}
10186,10012,6,累计登录6天,累計登錄6天,404,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,{13=20;6050=1;gold=100000;rmb=188},{13=20;6050=1;gold=100000;rmb=188},{13=20;6050=1;gold=100000;rmb=188}
10187,10012,7,累计登录7天,累計登錄7天,404,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,{gold=100000;502=10;501=2;rmb=188},{gold=100000;502=10;501=2;rmb=188},{gold=100000;502=10;501=2;rmb=188}
10188,10012,8,累计登录8天,累計登錄8天,404,Tích luỹ đăng nhập 8 ngày,누적 8일 로그인,{502=10;13=25;gold=100000;rmb=188},{502=10;13=25;gold=100000;rmb=188},{502=10;13=25;gold=100000;rmb=188}
10189,10012,9,累计登录9天,累計登錄9天,404,Tích luỹ đăng nhập 9 ngày,누적 9일 로그인,{521=5;13=30;gold=100000;rmb=188},{521=5;13=30;gold=100000;rmb=188},{521=5;13=30;gold=100000;rmb=188}
10191,10013,1,累计登录1天,累計登錄1天,Day 1 Login Rewards,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,{rmb=199;gold=100000;500=2;2601=1},{rmb=199;gold=100000;500=2;2601=1},{rmb=199;gold=100000;500=2;2601=1}
10192,10013,2,累计登录2天,累計登錄2天,Day 2 Login Rewards,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,{rmb=299;gold=200000;502=20;519=50},{rmb=299;gold=200000;502=20;519=50},{rmb=299;gold=200000;502=20;519=50}
10193,10013,3,累计登录3天,累計登錄3天,Day 3 Login Rewards,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,{rmb=399;gold=300000;500=2;2152=1},{rmb=399;gold=300000;500=2;2152=1},{rmb=399;gold=300000;500=2;2152=1}
10194,10013,4,累计登录4天,累計登錄4天,Day 4 Login Rewards,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,{rmb=499;gold=400000;452=300;16=20},{rmb=499;gold=400000;452=300;16=20},{rmb=499;gold=400000;452=300;16=20}
10195,10013,5,累计登录5天,累計登錄5天,Day 5 Login Rewards,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,{rmb=599;gold=500000;500=2;851=300},{rmb=599;gold=500000;500=2;851=300},{rmb=599;gold=500000;500=2;851=300}
10196,10013,6,累计登录6天,累計登錄6天,Day 6 Login Rewards,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,{rmb=699;gold=600000;6059=1;19=20},{rmb=699;gold=600000;6059=1;19=20},{rmb=699;gold=600000;6059=1;19=20}
10197,10013,7,累计登录7天,累計登錄7天,Day 7 Login Rewards,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,{rmb=999;gold=1000000;500=4;521=10},{rmb=999;gold=1000000;500=4;521=10},{rmb=999;gold=1000000;500=4;521=10}
10201,2152,1,累计登录1天,累計登錄1天,404,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,{6381=3;6386=1;6385=1},{6381=3;6386=1;6385=1},{6381=3;6386=1;6385=1}
10202,2152,2,累计登录2天,累計登錄2天,404,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,{6381=3;6387=1;6388=1},{6381=3;6387=1;6388=1},{6381=3;6387=1;6388=1}
10203,2152,3,累计登录3天,累計登錄3天,404,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,{6381=3;6390=1;6389=1},{6381=3;6390=1;6389=1},{6381=3;6390=1;6389=1}
10204,2152,4,累计登录4天,累計登錄4天,404,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,{6381=3;6386=1;6385=1},{6381=3;6386=1;6385=1},{6381=3;6386=1;6385=1}
10205,2152,5,累计登录5天,累計登錄5天,404,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,{6381=3;6387=1;6388=1},{6381=3;6387=1;6388=1},{6381=3;6387=1;6388=1}
10206,2152,6,累计登录6天,累計登錄6天,404,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,{6381=3;6390=1;6389=1},{6381=3;6390=1;6389=1},{6381=3;6390=1;6389=1}
10207,2152,7,累计登录7天,累計登錄7天,404,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,{6381=3;6386=1;6385=1},{6381=3;6386=1;6385=1},{6381=3;6386=1;6385=1}
10211,10014,1,累计登录1天,累計登錄1天,404,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,{gold=100000;520=2;2320=1;rmb=100},{gold=100000;520=2;2320=1;rmb=100},{gold=100000;520=2;2320=1;rmb=100}
10212,10014,2,累计登录2天,累計登錄2天,404,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,{13=10;gold=100000;rmb=100;503=3},{13=10;gold=100000;rmb=100;503=3},{13=10;gold=100000;rmb=100;503=3}
10213,10014,3,累计登录3天,累計登錄3天,404,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,{2021=1;519=2;gold=100000;rmb=188},{2021=1;519=2;gold=100000;rmb=188},{2021=1;519=2;gold=100000;rmb=188}
10214,10014,4,累计登录4天,累計登錄4天,404,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,{502=3;13=15;gold=100000;rmb=100},{502=3;13=15;gold=100000;rmb=100},{502=3;13=15;gold=100000;rmb=100}
10215,10014,5,累计登录5天,累計登錄5天,404,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,{13=20;19=5;gold=100000;rmb=100},{13=20;19=5;gold=100000;rmb=100},{13=20;19=5;gold=100000;rmb=100}
10216,10014,6,累计登录6天,累計登錄6天,404,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,{502=50;gold=100000;521=6;rmb=100},{502=50;gold=100000;521=6;rmb=100},{502=50;gold=100000;521=6;rmb=100}
10217,10014,7,累计登录7天,累計登錄7天,404,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,{2410=1;gold=100000;501=2;rmb=188},{2410=1;gold=100000;501=2;rmb=188},{2410=1;gold=100000;501=2;rmb=188}
