VariableName,huodongID,daySum,themeType,themeName,themeName_en,themeName_th,themeName_in,themeName_ph,themeName_ma,themeName_vn,tabIndex,tabName,tabName_vn,tabName_en,tabName_th,tabName_in,tabName_ph,tabName_ma,countType,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,award,costMap,priceShow,buyMax
9,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,等级礼包,Gói cấp độ,Level Pack,แพ็กเลเวล,Paket Level,Level Pack,Pakej Tahap,,1,35,,等级达到35,,Đạt cấp độ 35,Reach Level 35  ,ถึงเลเวล 35  ,Mencapai Level 35  ,Maabot ang Antas 35  ,Capai Tahap 35  ,{12=20;6109=1;gold=14000},,,
10,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,等级礼包,Gói cấp độ,Level Pack,แพ็กเลเวล,Paket Level,Level Pack,Pakej Tahap,,1,40,,等级达到40,,Đạt cấp độ 40,Reach Level 40  ,ถึงเลเวล 40  ,Mencapai Level 40  ,Maabot ang Antas 40  ,Capai Tahap 40  ,{12=20;6109=1;gold=16000},,,
11,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,等级礼包,Gói cấp độ,Level Pack,แพ็กเลเวล,Paket Level,Level Pack,Pakej Tahap,,1,45,,等级达到45,,Đạt cấp độ 45,Reach Level 45  ,ถึงเลเวล 45  ,Mencapai Level 45  ,Maabot ang Antas 45  ,Capai Tahap 45  ,{12=20;6109=1;gold=18000},,,
12,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,等级礼包,Gói cấp độ,Level Pack,แพ็กเลเวล,Paket Level,Level Pack,Pakej Tahap,,1,50,,等级达到50,,Đạt cấp độ 50,Reach Level 50  ,ถึงเลเวล 50  ,Mencapai Level 50  ,Maabot ang Antas 50  ,Capai Tahap 50  ,{12=20;6109=1;gold=20000},,,
13,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,2,副本之路,Tháp vô tận,Endless Tower,หอคอยไร้สิ้นสุด,Menara Tak Berujung,Walang-hanggang Tore,Menara Tanpa Hujung,,2,10103,,通过第一章3关,,Vượt Chương 1-3,Clear Chapter 1-3  ,ผ่านด่าน บทที่ 1-3  ,Selesaikan Bab 1-3  ,Malagpasan ang Kabanata 1-3  ,Lepasi Bab 1-3  ,{12=20;6109=1;gold=10000},,,
14,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,2,副本之路,Tháp vô tận,Endless Tower,หอคอยไร้สิ้นสุด,Menara Tak Berujung,Walang-hanggang Tore,Menara Tanpa Hujung,,2,10208,,通过第二章8关,,Vượt Chương 2-8,Clear Chapter 2-8  ,ผ่านด่าน บทที่ 2-8  ,Selesaikan Bab 2-8  ,Malagpasan ang Kabanata 2-8  ,Lepasi Bab 2-8  ,{12=20;6109=1;gold=12000},,,
15,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,2,副本之路,Tháp vô tận,Endless Tower,หอคอยไร้สิ้นสุด,Menara Tak Berujung,Walang-hanggang Tore,Menara Tanpa Hujung,,2,10308,,通过第三章8关,,Vượt Chương 3-8,Clear Chapter 3-8  ,ผ่านด่าน บทที่ 3-8  ,Selesaikan Bab 3-8  ,Malagpasan ang Kabanata 3-8  ,Lepasi Bab 3-8  ,{12=20;6109=1;gold=14000},,,
16,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,2,副本之路,Tháp vô tận,Endless Tower,หอคอยไร้สิ้นสุด,Menara Tak Berujung,Walang-hanggang Tore,Menara Tanpa Hujung,,2,10408,,通过第四章8关,,Vượt Chương 4-8,Clear Chapter 4-8  ,ผ่านด่าน บทที่ 4-8  ,Selesaikan Bab 4-8  ,Malagpasan ang Kabanata 4-8  ,Lepasi Bab 4-8  ,{12=20;6109=1;gold=16000},,,
17,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,2,副本之路,Tháp vô tận,Endless Tower,หอคอยไร้สิ้นสุด,Menara Tak Berujung,Walang-hanggang Tore,Menara Tanpa Hujung,,2,10510,,通过第五章10关,,Vượt Chương 5-10,Clear Chapter 5-10  ,ผ่านด่าน บทที่ 5-10  ,Selesaikan Bab 5-10  ,Malagpasan ang Kabanata 5-10  ,Lepasi Bab 5-10  ,{12=20;6109=1;gold=18000},,,
18,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,2,副本之路,Tháp vô tận,Endless Tower,หอคอยไร้สิ้นสุด,Menara Tak Berujung,Walang-hanggang Tore,Menara Tanpa Hujung,,2,10610,,通过第六章10关,,Vượt Chương 6-10,Clear Chapter 6-10  ,ผ่านด่าน บทที่ 6-10  ,Selesaikan Bab 6-10  ,Malagpasan ang Kabanata 6-10  ,Lepasi Bab 6-10  ,{12=20;6109=1;gold=20000},,,
19,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,2,副本之路,Tháp vô tận,Endless Tower,หอคอยไร้สิ้นสุด,Menara Tak Berujung,Walang-hanggang Tore,Menara Tanpa Hujung,,2,10710,,通过第七章10关,,Vượt Chương 7-10,Clear Chapter 7-10  ,ผ่านด่าน บทที่ 7-10  ,Selesaikan Bab 7-10  ,Malagpasan ang Kabanata 7-10  ,Lepasi Bab 7-10  ,{12=20;6109=1;gold=18000},,,
20,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,2,副本之路,Tháp vô tận,Endless Tower,หอคอยไร้สิ้นสุด,Menara Tak Berujung,Walang-hanggang Tore,Menara Tanpa Hujung,,2,10810,,通过第八章10关,,Vượt Chương 8-10,Clear Chapter 8-10  ,ผ่านด่าน บทที่ 8-10  ,Selesaikan Bab 8-10  ,Malagpasan ang Kabanata 8-10  ,Lepasi Bab 8-10  ,{12=20;6109=1;gold=18000},,,
21,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,3,限时折扣,Giảm giá hạn giờ,Limited-Time Discount,ส่วนลดเวลาจำกัด,Diskon Waktu Terbatas,Diskwento sa Limitadong Oras,Diskaun Masa Terhad,3,72,,,限时折扣,,Giảm giá hạn giờ,Limited-time Discount  ,ส่วนลดจำกัดเวลา  ,Diskon Terbatas  ,Diskwentong Limitado  ,Diskaun Masa Terhad  ,{13=10;504=10;gold=30000;6109=1},{rmb=600},{rmb=6000},
22,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,1,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,ล็อกอินรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{13=10;504=10;gold=30000;6109=1},,,
23,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,2,22,300,,当日累积充值300元宝,,Hôm nay mua tổng cộng 300 Kim cương,Purchased a total of 300 Diamonds today  ,ซื้อเพชรครบ 300 เม็ดในวันนี้  ,Telah membeli total 300 Berlian hari ini  ,Nakabili ng kabuuang 300 Diamante ngayon  ,Telah membeli sejumlah 300 Berlian hari ini  ,{13=10;504=10;gold=30000;6109=1},,,
24,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者进阶,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Hero Upgrade,Naik Taraf Hero,,9,,{3=3},3个忍者升级至绿+1品质,,Nâng cấp 3 Hero lên Thường +1,Upgrade 3 Heros to Common +1  ,อัปเกรดนินจา 3 ตัวเป็น ระดับธรรมดา +1  ,Tingkatkan 3 Hero ke Umum +1  ,I-upgrade ang 3 Hero sa Karaniwan +1  ,Naik taraf 3 Hero ke Biasa +1  ,{12=20;6109=1;gold=4000},,,
25,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者进阶,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Hero Upgrade,Naik Taraf Hero,,9,,{5=2},5个忍者升级至绿色品质,,Nâng cấp 5 Hero lên Thường,Upgrade 5 Heros to Common  ,อัปเกรดนินจา 5 ตัวเป็น ระดับธรรมดา  ,Tingkatkan 5 Hero ke Umum  ,I-upgrade ang 5 Hero sa Karaniwan  ,Naik taraf 5 Hero ke Biasa  ,{12=20;6109=1;gold=6000},,,
26,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者进阶,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Hero Upgrade,Naik Taraf Hero,,9,,{5=4},5个忍者升级至绿+2品质,,Nâng cấp 5 Hero lên Thường +2,Upgrade 5 Heros to Common +2  ,อัปเกรดนินจา 5 ตัวเป็น ระดับธรรมดา +2  ,Tingkatkan 5 Hero ke Umum +2  ,I-upgrade ang 5 Hero sa Karaniwan +2  ,Naik taraf 5 Hero ke Biasa +2  ,{12=20;6109=1;gold=8000},,,
27,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者进阶,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Hero Upgrade,Naik Taraf Hero,,9,,{3=5},3个忍者升级至蓝色品质,,Nâng cấp 3 Hero lên Hiếm,Upgrade 3 Heros to Rare  ,อัปเกรดนินจา 3 ตัวเป็น ระดับหายาก  ,Tingkatkan 3 Hero ke Langka  ,I-upgrade ang 3 Hero sa Bihira  ,Naik taraf 3 Hero ke Jarang  ,{12=20;6109=1;gold=10000},,,
28,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者进阶,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Hero Upgrade,Naik Taraf Hero,,9,,{6=5},6个忍者升级至蓝色品质,,Nâng cấp 6 Hero lên Hiếm,Upgrade 6 Heros to Rare  ,อัปเกรดนินจา 6 ตัวเป็น ระดับหายาก  ,Tingkatkan 6 Hero ke Langka  ,I-upgrade ang 6 Hero sa Bihira  ,Naik taraf 6 Hero ke Jarang  ,{12=20;6109=1;gold=12000},,,
29,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者进阶,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Hero Upgrade,Naik Taraf Hero,,9,,{6=6},6个忍者升级至蓝+1品质,,Nâng cấp 6 Hero lên Hiếm +1,Upgrade 6 Heros to Rare +1  ,อัปเกรดนินจา 6 ตัวเป็น ระดับหายาก +1  ,Tingkatkan 6 Hero ke Langka +1  ,I-upgrade ang 6 Hero sa Bihira +1  ,Naik taraf 6 Hero ke Jarang +1  ,{12=20;6109=1;gold=14000},,,
30,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者进阶,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Hero Upgrade,Naik Taraf Hero,,9,,{6=7},6个忍者升级至蓝+2品质,,Nâng cấp 6 Hero lên Hiếm +2,Upgrade 6 Heros to Rare +2  ,อัปเกรดนินจา 6 ตัวเป็น ระดับหายาก +2  ,Tingkatkan 6 Hero ke Langka +2  ,I-upgrade ang 6 Hero sa Bihira +2  ,Naik taraf 6 Hero ke Jarang +2  ,{12=20;6109=1;gold=16000},,,
31,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者进阶,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Hero Upgrade,Naik Taraf Hero,,9,,{6=8},6个忍者升级至蓝+3品质,,Nâng cấp 6 Hero lên Hiếm +3,Upgrade 6 Heros to Rare +3  ,อัปเกรดนินจา 6 ตัวเป็น ระดับหายาก +3  ,Tingkatkan 6 Hero ke Langka +3  ,I-upgrade ang 6 Hero sa Bihira +3  ,Naik taraf 6 Hero ke Jarang +3  ,{12=20;6109=1;gold=18000},,,
32,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者进阶,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Hero Upgrade,Naik Taraf Hero,,9,,{6=9},6个忍者升级至紫色品质,,Nâng cấp 6 Hero lên Huyền thoại,Upgrade 6 Heros to Legendary  ,อัปเกรดนินจา 6 ตัวเป็น ระดับตำนาน  ,Tingkatkan 6 Hero ke Legendaris  ,I-upgrade ang 6 Hero sa Alamat  ,Naik taraf 6 Hero ke Legenda  ,{12=20;6109=1;gold=20000},,,
33,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者进阶,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Hero Upgrade,Naik Taraf Hero,,9,,{6=10},6个忍者升级至紫+1品质,,Nâng cấp 6 Hero lên Huyền thoại +1,Upgrade 6 Heros to Legendary +1  ,อัปเกรดนินจา 6 ตัวเป็น ระดับตำนาน +1  ,Tingkatkan 6 Hero ke Legendaris +1  ,I-upgrade ang 6 Hero sa Alamat +1  ,Naik taraf 6 Hero ke Legenda +1  ,{12=20;6109=1;gold=10000},,,
34,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,2,忍者升星,Nâng sao,Star Upgrade,อัปเกรดดาว,Upgrade Bintang,Pag-upgrade ng Bituin,Naik Taraf Bintang,,10,,{2=3},获得2个3星忍者,,Sở hữu 2 Hero 3 sao,Own 2 Heros with 3 Stars  ,เป็นเจ้าของนินจา 3 ดาว 2 ตัว  ,Miliki 2 Hero Bintang 3  ,Magkaroon ng 2 Hero na 3-Bituin  ,Miliki 2 Hero Bintang 3  ,{12=20;6109=1;gold=12000},,,
35,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,2,忍者升星,Nâng sao,Star Upgrade,อัปเกรดดาว,Upgrade Bintang,Pag-upgrade ng Bituin,Naik Taraf Bintang,,10,,{4=3},获得4个3星忍者,,Sở hữu 4 Hero 3 sao,Own 4 Heros with 3 Stars  ,เป็นเจ้าของนินจา 3 ดาว 4 ตัว  ,Miliki 4 Hero Bintang 3  ,Magkaroon ng 4 Hero na 3-Bituin  ,Miliki 4 Hero Bintang 3  ,{12=20;6109=1;gold=4000},,,
36,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,2,忍者升星,Nâng sao,Star Upgrade,อัปเกรดดาว,Upgrade Bintang,Pag-upgrade ng Bituin,Naik Taraf Bintang,,10,,{6=3},获得6个3星忍者,,Sở hữu 6 Hero 3 sao,Own 6 Heros with 3 Stars  ,เป็นเจ้าของนินจา 3 ดาว 6 ตัว  ,Miliki 6 Hero Bintang 3  ,Magkaroon ng 6 Hero na 3-Bituin  ,Miliki 6 Hero Bintang 3  ,{12=20;6109=1;gold=6000},,,
37,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,2,忍者升星,Nâng sao,Star Upgrade,อัปเกรดดาว,Upgrade Bintang,Pag-upgrade ng Bituin,Naik Taraf Bintang,,10,,{2=4},获得2个4星忍者,,Sở hữu 2 Hero 4 sao,Own 2 Heros with 4 Stars  ,เป็นเจ้าของนินจา 4 ดาว 2 ตัว  ,Miliki 2 Hero Bintang 4  ,Magkaroon ng 2 Hero na 4-Bituin  ,Miliki 2 Hero Bintang 4  ,{12=20;6109=1;gold=8000},,,
38,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,2,忍者升星,Nâng sao,Star Upgrade,อัปเกรดดาว,Upgrade Bintang,Pag-upgrade ng Bituin,Naik Taraf Bintang,,10,,{4=4},获得4个4星忍者,,Sở hữu 4 Hero 4 sao,Own 4 Heros with 4 Stars  ,เป็นเจ้าของนินจา 4 ดาว 4 ตัว  ,Miliki 4 Hero Bintang 4  ,Magkaroon ng 4 Hero na 4-Bituin  ,Miliki 4 Hero Bintang 4  ,{12=20;6109=1;gold=10000},,,
39,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,2,忍者升星,Nâng sao,Star Upgrade,อัปเกรดดาว,Upgrade Bintang,Pag-upgrade ng Bituin,Naik Taraf Bintang,,10,,{6=4},获得6个4星忍者,,Sở hữu 6 Hero 4 sao,Own 6 Heros with 4 Stars  ,เป็นเจ้าของนินจา 4 ดาว 6 ตัว  ,Miliki 6 Hero Bintang 4  ,Magkaroon ng 6 Hero na 4-Bituin  ,Miliki 6 Hero Bintang 4  ,{12=20;6109=1;gold=12000},,,
40,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,2,忍者升星,Nâng sao,Star Upgrade,อัปเกรดดาว,Upgrade Bintang,Pag-upgrade ng Bituin,Naik Taraf Bintang,,10,,{1=5},获得1个5星忍者,,Sở hữu 1 Hero 5 sao,Own 1 Hero with 5 Stars  ,เป็นเจ้าของนินจา 5 ดาว 1 ตัว  ,Miliki 1 Hero Bintang 5  ,Magkaroon ng 1 Hero na 5-Bituin  ,Miliki 1 Hero Bintang 5  ,{12=20;6109=1;gold=14000},,,
41,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,2,忍者升星,Nâng sao,Star Upgrade,อัปเกรดดาว,Upgrade Bintang,Pag-upgrade ng Bituin,Naik Taraf Bintang,,10,,{3=5},获得3个5星忍者,,Sở hữu 3 Hero 5 sao,Own 3 Heros with 5 Stars  ,เป็นเจ้าของนินจา 5 ดาว 3 ตัว  ,Miliki 3 Hero Bintang 5  ,Magkaroon ng 3 Hero na 5-Bituin  ,Miliki 3 Hero Bintang 5  ,{12=20;6109=1;gold=8000},,,
42,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,2,忍者升星,Nâng sao,Star Upgrade,อัปเกรดดาว,Upgrade Bintang,Pag-upgrade ng Bituin,Naik Taraf Bintang,,10,,{2=6},获得2个6星忍者,,Sở hữu 2 Hero 6 sao,Own 2 Heros with 6 Stars  ,เป็นเจ้าของนินจา 6 ดาว 2 ตัว  ,Miliki 2 Hero Bintang 6  ,Magkaroon ng 2 Hero na 6-Bituin  ,Miliki 2 Hero Bintang 6  ,{12=20;6109=1;gold=10000},,,
43,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,2,忍者升星,Nâng sao,Star Upgrade,อัปเกรดดาว,Upgrade Bintang,Pag-upgrade ng Bituin,Naik Taraf Bintang,,10,,{1=7},获得1个7星忍者,,Sở hữu 1 Hero 7 sao,Own 1 Hero with 7 Stars  ,เป็นเจ้าของนินจา 7 ดาว 1 ตัว  ,Miliki 1 Hero Bintang 7  ,Magkaroon ng 1 Hero na 7-Bituin  ,Miliki 1 Hero Bintang 7  ,{12=20;6109=1;gold=12000},,,
44,11001,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,3,限时折扣,Giảm giá hạn giờ,Limited-Time Discount,ส่วนลดเวลาจำกัด,Diskon Waktu Terbatas,Diskwento sa Limitadong Oras,Diskaun Masa Terhad,3,72,,,限时折扣,,Giảm giá hạn giờ,Limited-time Discount,ส่วนลดจำกัดเวลา,Diskon Terbatas,Diskwentong Limitado,Diskaun Masa Terhad,{13=10;504=10;gold=30000;6109=1},{rmb=99},{rmb=9999},
45,11001,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,1,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,ล็อกอินรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{13=10;504=10;gold=30000;6109=1},,,
46,11001,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,2,22,300,,当日累积充值300元宝,,Hôm nay mua tổng cộng 300 Kim cương,Purchased a total of 300 Diamonds today  ,ซื้อเพชรครบ 300 เม็ดในวันนี้  ,Telah membeli total 300 Berlian hari ini  ,Nakabili ng kabuuang 300 Diamante ngayon  ,Telah membeli sejumlah 300 Berlian hari ini  ,{13=10;504=10;gold=30000;6109=1},,,
47,11001,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,装备进阶,Trang bị. Nâng cao,Equipment - Enhancement,อุปกรณ์ - เสริมพลัง,Peralatan - Peningkatan,Kagamitan - Pagpapahusay,Trang bị. Nâng cao,,11,,{10=2},10件装备升级至绿色品质,,Nâng cấp 10 trang bị lên Thường,Upgrade 10 Equipment to Common  ,อัปเกรดอุปกรณ์ 10 ชิ้นเป็นระดับธรรมดา  ,Upgrade 10 Peralatan ke Umum  ,I-upgrade ang 10 Kagamitang Karaniwan  ,Naik taraf 10 Peralatan ke Biasa  ,{12=20;6109=1;gold=4000},,,
48,11001,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,装备进阶,Trang bị. Nâng cao,Equipment - Enhancement,อุปกรณ์ - เสริมพลัง,Peralatan - Peningkatan,Kagamitan - Pagpapahusay,Peralatan - Peningkatan,,11,,{20=2},20件装备升级至绿色品质,,Nâng cấp 20 trang bị lên lên Thường,Upgrade 20 Equipment to Common  ,อัปเกรดอุปกรณ์ 20 ชิ้นเป็นระดับธรรมดา  ,Upgrade 20 Peralatan ke Umum  ,I-upgrade ang 20 Kagamitang Karaniwan  ,Naik taraf 20 Peralatan ke Biasa  ,{12=20;6109=1;gold=6000},,,
