VariableName,huodongID,_beizhu,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,item,rmbCost,rechargeID,duration,sort,group,sumRechargeRMB,targetType1,targetArg1_1,targetArg1_2,targetType2,targetArg2_1,targetArg2_2,bgPath,countPath
1009,23001,,VIP 15 Pack,Gói VIP 15,VIP 15 Pack,แพ็ก VIP 15,Paket VIP 15,VIP 15 Pack,Pakej VIP 15,{12=3},,109,1440,,,,5,15,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1010,23001,,Rarity 2S2A Pack,Gói Rarity 2S2A,Rarity 2S2A Pack,แพ็กระดับหายาก 2S2A,Paket Rarity 2S2A,Rarity 2S2A Pack,Pakej Rarity 2S2A,{12=3},,110,1440,,,,6,2,4,6,2,3,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1011,23001,,10B Rarity Pack,Gói 10B Rarity,10B Rarity Pack,แพ็กระดับหายาก 10B,Paket Rarity 10B,10B Rarity Pack,Pakej Rarity 10B,{12=3},,111,1440,,,,6,10,2,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1012,23001,,VIP+ Gift Bag,Túi quà VIP+,VIP+ Gift Bag,ถุงของขวัญ VIP+,Tas Hadiah VIP+,VIP+ Gift Bag,Beg Hadiah VIP+,{12=3},,112,1440,,,,5,15,,3,1,751,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
2001,20001,,Limited-Time Lv.30 Pack,Gói hạn giờ Lv.30,Limited-Time Lv.30 Pack,แพ็กจำกัดเวลา Lv.30,Paket Waktu Terbatas Lv.30,Limitadong Panahong Lv.30 Pack,Pakej Masa Terhad Lv.30,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,1,<0;100>,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2002,20001,,Limited-Time Lv.50 Pack,Gói hạn giờ Lv.50,Limited-Time Lv.50 Pack,แพ็กจำกัดเวลา Lv.50,Paket Waktu Terbatas Lv.50,Limitadong Panahong Lv.50 Pack,Pakej Masa Terhad Lv.50,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,2,<0;100>,1,50,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2003,20001,,Limited-Time Lv.60 Pack,Gói hạn giờ Lv.60,Limited-Time Lv.60 Pack,แพ็กจำกัดเวลา Lv.60,Paket Waktu Terbatas Lv.60,Limitadong Panahong Lv.60 Pack,Pakej Masa Terhad Lv.60,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,3,<0;100>,1,60,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2004,20001,,Limited-Time Lv.70 Pack,Gói hạn giờ Lv.70,Limited-Time Lv.70 Pack,แพ็กจำกัดเวลา Lv.70,Paket Waktu Terbatas Lv.70,Limitadong Panahong Lv.70 Pack,Pakej Masa Terhad Lv.70,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,4,<0;100>,1,70,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2005,20001,,Limited-Time Lv.80 Pack,Gói hạn giờ Lv.80,Limited-Time Lv.80 Pack,แพ็กจำกัดเวลา Lv.80,Paket Waktu Terbatas Lv.80,Limitadong Panahong Lv.80 Pack,Pakej Masa Terhad Lv.80,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,5,<0;100>,1,80,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2006,20001,,Limited-Time Lv.90 Pack,Gói hạn giờ Lv.90,Limited-Time Lv.90 Pack,แพ็กจำกัดเวลา Lv.90,Paket Waktu Terbatas Lv.90,Limitadong Panahong Lv.90 Pack,Pakej Masa Terhad Lv.90,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,6,<0;100>,1,90,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2007,20001,,Limited-Time Lv.100 Pack,Gói hạn giờ Lv.100,Limited-Time Lv.100 Pack,แพ็กจำกัดเวลา Lv.100,Paket Waktu Terbatas Lv.100,Limitadong Panahong Lv.100 Pack,Pakej Masa Terhad Lv.100,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,7,<0;100>,1,100,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2021,20001,,Limited-Time Lv.30 Pack,Gói hạn giờ Lv.30,Limited-Time Lv.30 Pack,แพ็กจำกัดเวลา Lv.30,Paket Waktu Terbatas Lv.30,Limitadong Panahong Lv.30 Pack,Pakej Masa Terhad Lv.30,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,1,<101;999999999>,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2022,20001,,Limited-Time Lv.50 Pack,Gói hạn giờ Lv.50,Limited-Time Lv.50 Pack,แพ็กจำกัดเวลา Lv.50,Paket Waktu Terbatas Lv.50,Limitadong Panahong Lv.50 Pack,Pakej Masa Terhad Lv.50,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,2,<101;999999999>,1,50,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2023,20001,,Limited-Time Lv.60 Pack,Gói hạn giờ Lv.60,Limited-Time Lv.60 Pack,แพ็กจำกัดเวลา Lv.60,Paket Waktu Terbatas Lv.60,Limitadong Panahong Lv.60 Pack,Pakej Masa Terhad Lv.60,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,3,<101;999999999>,1,60,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2024,20001,,Limited-Time Lv.70 Pack,Gói hạn giờ Lv.70,Limited-Time Lv.70 Pack,แพ็กจำกัดเวลา Lv.70,Paket Waktu Terbatas Lv.70,Limitadong Panahong Lv.70 Pack,Pakej Masa Terhad Lv.70,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,4,<101;999999999>,1,70,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2025,20001,,Limited-Time Lv.80 Pack,Gói hạn giờ Lv.80,Limited-Time Lv.80 Pack,แพ็กจำกัดเวลา Lv.80,Paket Waktu Terbatas Lv.80,Limitadong Panahong Lv.80 Pack,Pakej Masa Terhad Lv.80,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,5,<101;999999999>,1,80,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2026,20001,,Limited-Time Lv.90 Pack,Gói hạn giờ Lv.90,Limited-Time Lv.90 Pack,แพ็กจำกัดเวลา Lv.90,Paket Waktu Terbatas Lv.90,Limitadong Panahong Lv.90 Pack,Pakej Masa Terhad Lv.90,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,6,<101;999999999>,1,90,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2027,20001,,Limited-Time Lv.100 Pack,Gói hạn giờ Lv.100,Limited-Time Lv.100 Pack,แพ็กจำกัดเวลา Lv.100,Paket Waktu Terbatas Lv.100,Limitadong Panahong Lv.100 Pack,Pakej Masa Terhad Lv.100,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,7,<101;999999999>,1,100,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2101,20001,,Monthly Limited-Time Pack,Gói giới hạn thời gian cả tháng,Monthly Limited-Time Pack,แพ็กจำกัดเวลารายเดือน,Paket Waktu Terbatas Bulanan,Buwanang Limitadong Pack,Pakej Bulanan Masa Terhad,{602=30;gold=300000;6211=1;rmb=980},,108,1440,,,,4,2,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
2111,20001,,SS Heros Growth Pack,Gói tăng trưởng Ninja SS,SS Heros Growth Pack,แพ็กเติบโตนินจา SS,Paket Pertumbuhan Heros SS,SS Heros Growth Pack,Pakej Pertumbuhan Heros SS,{rmb=29999;500=20;29003=160;521=160;2153=3},,112,1440,,,,6,1,5,,,,activity/limit_buy_gift/bg_xslb_sstp.png,activity/limit_buy_gift/bg_sstp_1.png
3001,20011,,Limited-Time Lv.30 Pack,Gói hạn giờ Lv.30,Limited-Time Lv.30 Pack,แพ็กจำกัดเวลา Lv.30,Paket Waktu Terbatas Lv.30,Limitadong Panahong Lv.30 Pack,Pakej Masa Terhad Lv.30,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,101,<0;1000>,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3002,20011,,Limited-Time Lv.40 Pack,Gói hạn giờ Lv.40,Limited-Time Lv.40 Pack,แพ็กจำกัดเวลา Lv.40,Paket Waktu Terbatas Lv.40,Limitadong Panahong Lv.40 Pack,Pakej Masa Terhad Lv.40,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,102,<0;1000>,1,40,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3003,20011,,Limited-Time Lv.50 Pack,Gói hạn giờ Lv.50,Limited-Time Lv.50 Pack,แพ็กจำกัดเวลา Lv.50,Paket Waktu Terbatas Lv.50,Limitadong Panahong Lv.50 Pack,Pakej Masa Terhad Lv.50,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,103,<0;1000>,1,50,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3004,20011,,Limited-Time Lv.55 Pack,Gói hạn giờ Lv.55,Limited-Time Lv.55 Pack,แพ็กจำกัดเวลา Lv.55,Paket Waktu Terbatas Lv.55,Limitadong Panahong Lv.55 Pack,Pakej Masa Terhad Lv.55,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,104,<0;1000>,1,55,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3005,20011,,Limited-Time Lv.60 Pack,Gói hạn giờ Lv.60,Limited-Time Lv.60 Pack,แพ็กจำกัดเวลา Lv.60,Paket Waktu Terbatas Lv.60,Limitadong Panahong Lv.60 Pack,Pakej Masa Terhad Lv.60,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,105,<0;1000>,1,60,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3006,20011,,Limited-Time Lv.65 Pack,Gói hạn giờ Lv.65,Limited-Time Lv.65 Pack,แพ็กจำกัดเวลา Lv.65,Paket Waktu Terbatas Lv.65,Limitadong Panahong Lv.65 Pack,Pakej Masa Terhad Lv.65,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,106,<0;1000>,1,65,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3007,20011,,Limited-Time Lv.70 Pack,Gói hạn giờ Lv.70,Limited-Time Lv.70 Pack,แพ็กจำกัดเวลา Lv.70,Paket Waktu Terbatas Lv.70,Limitadong Panahong Lv.70 Pack,Pakej Masa Terhad Lv.70,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,107,<0;1000>,1,70,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3008,20011,,Limited-Time Lv.75 Pack,Gói hạn giờ Lv.75,Limited-Time Lv.75 Pack,แพ็กจำกัดเวลา Lv.75,Paket Waktu Terbatas Lv.75,Limitadong Panahong Lv.75 Pack,Pakej Masa Terhad Lv.75,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,108,<0;1000>,1,75,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3009,20011,,Limited-Time Lv.80 Pack,Gói hạn giờ Lv.80,Limited-Time Lv.80 Pack,แพ็กจำกัดเวลา Lv.80,Paket Waktu Terbatas Lv.80,Limitadong Panahong Lv.80 Pack,Pakej Masa Terhad Lv.80,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,109,<0;1000>,1,80,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3010,20011,,Limited-Time Lv.85 Pack,Gói hạn giờ Lv.85,Limited-Time Lv.85 Pack,แพ็กจำกัดเวลา Lv.85,Paket Waktu Terbatas Lv.85,Limitadong Panahong Lv.85 Pack,Pakej Masa Terhad Lv.85,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,110,<0;1000>,1,85,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3011,20011,,Limited-Time Lv.90 Pack,Gói hạn giờ Lv.90,Limited-Time Lv.90 Pack,แพ็กจำกัดเวลา Lv.90,Paket Waktu Terbatas Lv.90,Limitadong Panahong Lv.90 Pack,Pakej Masa Terhad Lv.90,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,111,<0;1000>,1,90,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3012,20011,,Limited-Time Lv.95 Pack,Gói hạn giờ Lv.95,Limited-Time Lv.95 Pack,แพ็กจำกัดเวลา Lv.95,Paket Waktu Terbatas Lv.95,Limitadong Panahong Lv.95 Pack,Pakej Masa Terhad Lv.95,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,112,<0;1000>,1,95,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3013,20011,,Limited-Time Lv.100 Pack,Gói hạn giờ Lv.100,Limited-Time Lv.100 Pack,แพ็กจำกัดเวลา Lv.100,Paket Waktu Terbatas Lv.100,Limitadong Panahong Lv.100 Pack,Pakej Masa Terhad Lv.100,{rmb=9999;500=5;card={id=9003};6059=2;9061=200},,104,1440,,113,<0;1000>,1,100,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3101,20011,,Limited-Time Lv.30 Pack,Gói hạn giờ Lv.30,Limited-Time Lv.30 Pack,แพ็กจำกัดเวลา Lv.30,Paket Waktu Terbatas Lv.30,Limitadong Panahong Lv.30 Pack,Pakej Masa Terhad Lv.30,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,101,<1001;6000>,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3102,20011,,Limited-Time Lv.40 Pack,Gói hạn giờ Lv.40,Limited-Time Lv.40 Pack,แพ็กจำกัดเวลา Lv.40,Paket Waktu Terbatas Lv.40,Limitadong Panahong Lv.40 Pack,Pakej Masa Terhad Lv.40,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,102,<1001;6000>,1,40,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3103,20011,,Limited-Time Lv.50 Pack,Gói hạn giờ Lv.50,Limited-Time Lv.50 Pack,แพ็กจำกัดเวลา Lv.50,Paket Waktu Terbatas Lv.50,Limitadong Panahong Lv.50 Pack,Pakej Masa Terhad Lv.50,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,103,<1001;6000>,1,50,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3104,20011,,Limited-Time Lv.55 Pack,Gói hạn giờ Lv.55,Limited-Time Lv.55 Pack,แพ็กจำกัดเวลา Lv.55,Paket Waktu Terbatas Lv.55,Limitadong Panahong Lv.55 Pack,Pakej Masa Terhad Lv.55,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,104,<1001;6000>,1,55,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3105,20011,,Limited-Time Lv.60 Pack,Gói hạn giờ Lv.60,Limited-Time Lv.60 Pack,แพ็กจำกัดเวลา Lv.60,Paket Waktu Terbatas Lv.60,Limitadong Panahong Lv.60 Pack,Pakej Masa Terhad Lv.60,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,105,<1001;6000>,1,60,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3106,20011,,Limited-Time Lv.65 Pack,Gói hạn giờ Lv.65,Limited-Time Lv.65 Pack,แพ็กจำกัดเวลา Lv.65,Paket Waktu Terbatas Lv.65,Limitadong Panahong Lv.65 Pack,Pakej Masa Terhad Lv.65,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,106,<1001;6000>,1,65,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3107,20011,,Limited-Time Lv.70 Pack,Gói hạn giờ Lv.70,Limited-Time Lv.70 Pack,แพ็กจำกัดเวลา Lv.70,Paket Waktu Terbatas Lv.70,Limitadong Panahong Lv.70 Pack,Pakej Masa Terhad Lv.70,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,107,<1001;6000>,1,70,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3108,20011,,Limited-Time Lv.75 Pack,Gói hạn giờ Lv.75,Limited-Time Lv.75 Pack,แพ็กจำกัดเวลา Lv.75,Paket Waktu Terbatas Lv.75,Limitadong Panahong Lv.75 Pack,Pakej Masa Terhad Lv.75,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,108,<1001;6000>,1,75,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3109,20011,,Limited-Time Lv.80 Pack,Gói hạn giờ Lv.80,Limited-Time Lv.80 Pack,แพ็กจำกัดเวลา Lv.80,Paket Waktu Terbatas Lv.80,Limitadong Panahong Lv.80 Pack,Pakej Masa Terhad Lv.80,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,109,<1001;6000>,1,80,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3110,20011,,Limited-Time Lv.85 Pack,Gói hạn giờ Lv.85,Limited-Time Lv.85 Pack,แพ็กจำกัดเวลา Lv.85,Paket Waktu Terbatas Lv.85,Limitadong Panahong Lv.85 Pack,Pakej Masa Terhad Lv.85,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,110,<1001;6000>,1,85,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3111,20011,,Limited-Time Lv.90 Pack,Gói hạn giờ Lv.90,Limited-Time Lv.90 Pack,แพ็กจำกัดเวลา Lv.90,Paket Waktu Terbatas Lv.90,Limitadong Panahong Lv.90 Pack,Pakej Masa Terhad Lv.90,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,111,<1001;6000>,1,90,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3112,20011,,Limited-Time Lv.95 Pack,Gói hạn giờ Lv.95,Limited-Time Lv.95 Pack,แพ็กจำกัดเวลา Lv.95,Paket Waktu Terbatas Lv.95,Limitadong Panahong Lv.95 Pack,Pakej Masa Terhad Lv.95,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,112,<1001;6000>,1,95,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3113,20011,,Limited-Time Lv.100 Pack,Gói hạn giờ Lv.100,Limited-Time Lv.100 Pack,แพ็กจำกัดเวลา Lv.100,Paket Waktu Terbatas Lv.100,Limitadong Panahong Lv.100 Pack,Pakej Masa Terhad Lv.100,{rmb=12999;500=10;521=80;3031=80;501=80},,106,1440,,113,<1001;6000>,1,100,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3201,20011,,Limited-Time Lv.30 Pack,Gói hạn giờ Lv.30,Limited-Time Lv.30 Pack,แพ็กจำกัดเวลา Lv.30,Paket Waktu Terbatas Lv.30,Limitadong Panahong Lv.30 Pack,Pakej Masa Terhad Lv.30,{rmb=19999;500=15;card={id=9003};8888=1;605=100},,107,1440,,101,<6001;99999999>,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3202,20011,,Limited-Time Lv.40 Pack,Gói hạn giờ Lv.40,Limited-Time Lv.40 Pack,แพ็กจำกัดเวลา Lv.40,Paket Waktu Terbatas Lv.40,Limitadong Panahong Lv.40 Pack,Pakej Masa Terhad Lv.40,{rmb=19999;500=15;card={id=9003};8888=1;605=100},,107,1440,,102,<6001;99999999>,1,40,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3203,20011,,Limited-Time Lv.50 Pack,Gói hạn giờ Lv.50,Limited-Time Lv.50 Pack,แพ็กจำกัดเวลา Lv.50,Paket Waktu Terbatas Lv.50,Limitadong Panahong Lv.50 Pack,Pakej Masa Terhad Lv.50,{rmb=19999;500=15;card={id=9003};8888=1;605=100},,107,1440,,103,<6001;99999999>,1,50,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3204,20011,,Limited-Time Lv.55 Pack,Gói hạn giờ Lv.55,Limited-Time Lv.55 Pack,แพ็กจำกัดเวลา Lv.55,Paket Waktu Terbatas Lv.55,Limitadong Panahong Lv.55 Pack,Pakej Masa Terhad Lv.55,{rmb=19999;500=15;card={id=9003};8888=1;605=100},,107,1440,,104,<6001;99999999>,1,55,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3205,20011,,Limited-Time Lv.60 Pack,Gói hạn giờ Lv.60,Limited-Time Lv.60 Pack,แพ็กจำกัดเวลา Lv.60,Paket Waktu Terbatas Lv.60,Limitadong Panahong Lv.60 Pack,Pakej Masa Terhad Lv.60,{rmb=19999;500=15;card={id=9003};8888=1;605=100},,107,1440,,105,<6001;99999999>,1,60,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3206,20011,,Limited-Time Lv.65 Pack,Gói hạn giờ Lv.65,Limited-Time Lv.65 Pack,แพ็กจำกัดเวลา Lv.65,Paket Waktu Terbatas Lv.65,Limitadong Panahong Lv.65 Pack,Pakej Masa Terhad Lv.65,{rmb=19999;500=15;card={id=9003};8888=1;605=100},,107,1440,,106,<6001;99999999>,1,65,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3207,20011,,Limited-Time Lv.70 Pack,Gói hạn giờ Lv.70,Limited-Time Lv.70 Pack,แพ็กจำกัดเวลา Lv.70,Paket Waktu Terbatas Lv.70,Limitadong Panahong Lv.70 Pack,Pakej Masa Terhad Lv.70,{rmb=19999;500=15;card={id=9003};8888=1;605=100},,107,1440,,107,<6001;99999999>,1,70,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
