VariableName,suitID,suitName_cn,suitName_tw,suitName,suitName_vn,suitName_en,suitName_th,suitName_in,suitName_ph,suitName_ma,suitIcon,suitNum,suitQuality,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3
14,2,,,Lightning Dodge  ,Lôi Độn,Lightning Dodge  ,หลบสายฟ้า  ,Lari Petir  ,Lightning Dodge  ,Elak Kilat  ,config/chip/suit/icon_leidunmiji_1.png,4,3,66007,,,,,,
15,2,,,Lightning Dodge  ,Lôi Độn,Lightning Dodge  ,หลบสายฟ้า  ,Lari Petir  ,Lightning Dodge  ,Elak Kilat  ,config/chip/suit/icon_leidunmiji_1.png,2,4,,7,5%,8,5%,,
16,2,,,Lightning Dodge  ,Lôi Độn,Lightning Dodge  ,หลบสายฟ้า  ,Lari Petir  ,Lightning Dodge  ,Elak Kilat  ,config/chip/suit/icon_leidunmiji_1.png,4,4,66008,,,,,,
17,2,,,Lightning Dodge  ,Lôi Độn,Lightning Dodge  ,หลบสายฟ้า  ,Lari Petir  ,Lightning Dodge  ,Elak Kilat  ,config/chip/suit/icon_leidunmiji_1.png,2,5,,7,6%,8,6%,,
18,2,,,Lightning Dodge  ,Lôi Độn,Lightning Dodge  ,หลบสายฟ้า  ,Lari Petir  ,Lightning Dodge  ,Elak Kilat  ,config/chip/suit/icon_leidunmiji_1.png,4,5,66009,,,,,,
19,2,,,Lightning Dodge  ,Lôi Độn,Lightning Dodge  ,หลบสายฟ้า  ,Lari Petir  ,Lightning Dodge  ,Elak Kilat  ,config/chip/suit/icon_leidunmiji_1.png,2,6,,7,15%,8,15%,,
20,2,,,Lightning Dodge  ,Lôi Độn,Lightning Dodge  ,หลบสายฟ้า  ,Lari Petir  ,Lightning Dodge  ,Elak Kilat  ,config/chip/suit/icon_leidunmiji_1.png,4,6,66010,,,,,,
21,3,,,Wind Dodge  ,Phong Độn,Wind Dodge  ,หลบลม  ,Lari Angin  ,Wind Dodge  ,Elak Angin  ,config/chip/suit/icon_fengdunmiji_1.png,2,2,,7,3%,8,3%,,
22,3,,,Wind Dodge  ,Phong Độn,Wind Dodge  ,หลบลม  ,Lari Angin  ,Wind Dodge  ,Elak Angin  ,config/chip/suit/icon_fengdunmiji_1.png,4,2,66011,,,,,,
23,3,,,Wind Dodge  ,Phong Độn,Wind Dodge  ,หลบลม  ,Lari Angin  ,Wind Dodge  ,Elak Angin  ,config/chip/suit/icon_fengdunmiji_1.png,2,3,,7,4%,8,4%,,
24,3,,,Wind Dodge  ,Phong Độn,Wind Dodge  ,หลบลม  ,Lari Angin  ,Wind Dodge  ,Elak Angin  ,config/chip/suit/icon_fengdunmiji_1.png,4,3,66012,,,,,,
25,3,,,Wind Dodge  ,Phong Độn,Wind Dodge  ,หลบลม  ,Lari Angin  ,Wind Dodge  ,Elak Angin  ,config/chip/suit/icon_fengdunmiji_1.png,2,4,,7,5%,8,5%,,
26,3,,,Wind Dodge  ,Phong Độn,Wind Dodge  ,หลบลม  ,Lari Angin  ,Wind Dodge  ,Elak Angin  ,config/chip/suit/icon_fengdunmiji_1.png,4,4,66013,,,,,,
27,3,,,Wind Dodge  ,Phong Độn,Wind Dodge  ,หลบลม  ,Lari Angin  ,Wind Dodge  ,Elak Angin  ,config/chip/suit/icon_fengdunmiji_1.png,2,5,,7,6%,8,6%,,
28,3,,,Wind Dodge  ,Phong Độn,Wind Dodge  ,หลบลม  ,Lari Angin  ,Wind Dodge  ,Elak Angin  ,config/chip/suit/icon_fengdunmiji_1.png,4,5,66014,,,,,,
29,3,,,Wind Dodge  ,Phong Độn,Wind Dodge  ,หลบลม  ,Lari Angin  ,Wind Dodge  ,Elak Angin  ,config/chip/suit/icon_fengdunmiji_1.png,2,6,,7,15%,8,15%,,
30,3,,,Wind Dodge  ,Phong Độn,Wind Dodge  ,หลบลม  ,Lari Angin  ,Wind Dodge  ,Elak Angin  ,config/chip/suit/icon_fengdunmiji_1.png,4,6,66015,,,,,,
31,4,,,Water Dodge  ,Thuỷ Độn,Water Dodge  ,หลบน้ำ  ,Lari Air  ,Water Dodge  ,Elak Air  ,config/chip/suit/icon_shuidunmiji_1.png,2,2,,1,4%,,,,
32,4,,,Water Dodge  ,Thuỷ Độn,Water Dodge  ,หลบน้ำ  ,Lari Air  ,Water Dodge  ,Elak Air  ,config/chip/suit/icon_shuidunmiji_1.png,4,2,66016,,,,,,
33,4,,,Water Dodge  ,Thuỷ Độn,Water Dodge  ,หลบน้ำ  ,Lari Air  ,Water Dodge  ,Elak Air  ,config/chip/suit/icon_shuidunmiji_1.png,2,3,,1,5%,,,,
34,4,,,Water Dodge  ,Thuỷ Độn,Water Dodge  ,หลบน้ำ  ,Lari Air  ,Water Dodge  ,Elak Air  ,config/chip/suit/icon_shuidunmiji_1.png,4,3,66017,,,,,,
35,4,,,Water Dodge  ,Thuỷ Độn,Water Dodge  ,หลบน้ำ  ,Lari Air  ,Water Dodge  ,Elak Air  ,config/chip/suit/icon_shuidunmiji_1.png,2,4,,1,6.50%,,,,
36,4,,,Water Dodge  ,Thuỷ Độn,Water Dodge  ,หลบน้ำ  ,Lari Air  ,Water Dodge  ,Elak Air  ,config/chip/suit/icon_shuidunmiji_1.png,4,4,66018,,,,,,
37,4,,,Water Dodge  ,Thuỷ Độn,Water Dodge  ,หลบน้ำ  ,Lari Air  ,Water Dodge  ,Elak Air  ,config/chip/suit/icon_shuidunmiji_1.png,2,5,,1,8%,,,,
38,4,,,Water Dodge  ,Thuỷ Độn,Water Dodge  ,หลบน้ำ  ,Lari Air  ,Water Dodge  ,Elak Air  ,config/chip/suit/icon_shuidunmiji_1.png,4,5,66019,,,,,,
39,4,,,Water Dodge  ,Thuỷ Độn,Water Dodge  ,หลบน้ำ  ,Lari Air  ,Water Dodge  ,Elak Air  ,config/chip/suit/icon_shuidunmiji_1.png,2,6,,1,20%,,,,
40,4,,,Water Dodge  ,Thuỷ Độn,Water Dodge  ,หลบน้ำ  ,Lari Air  ,Water Dodge  ,Elak Air  ,config/chip/suit/icon_shuidunmiji_1.png,4,6,66020,,,,,,
41,5,,,Earth Dodge  ,Địa Độn,Earth Dodge  ,หลบดิน  ,Lari Tanah  ,Earth Dodge  ,Elak Tanah  ,config/chip/suit/icon_tudunmiji_1.png,2,2,,1,4%,,,,
42,5,,,Earth Dodge  ,Địa Độn,Earth Dodge  ,หลบดิน  ,Lari Tanah  ,Earth Dodge  ,Elak Tanah  ,config/chip/suit/icon_tudunmiji_1.png,4,2,66021,,,,,,
43,5,,,Earth Dodge  ,Địa Độn,Earth Dodge  ,หลบดิน  ,Lari Tanah  ,Earth Dodge  ,Elak Tanah  ,config/chip/suit/icon_tudunmiji_1.png,2,3,,1,5%,,,,
44,5,,,Earth Dodge  ,Địa Độn,Earth Dodge  ,หลบดิน  ,Lari Tanah  ,Earth Dodge  ,Elak Tanah  ,config/chip/suit/icon_tudunmiji_1.png,4,3,66022,,,,,,
45,5,,,Earth Dodge  ,Địa Độn,Earth Dodge  ,หลบดิน  ,Lari Tanah  ,Earth Dodge  ,Elak Tanah  ,config/chip/suit/icon_tudunmiji_1.png,2,4,,1,6.50%,,,,
46,5,,,Earth Dodge  ,Địa Độn,Earth Dodge  ,หลบดิน  ,Lari Tanah  ,Earth Dodge  ,Elak Tanah  ,config/chip/suit/icon_tudunmiji_1.png,4,4,66023,,,,,,
47,5,,,Earth Dodge  ,Địa Độn,Earth Dodge  ,หลบดิน  ,Lari Tanah  ,Earth Dodge  ,Elak Tanah  ,config/chip/suit/icon_tudunmiji_1.png,2,5,,1,8%,,,,
48,5,,,Earth Dodge  ,Địa Độn,Earth Dodge  ,หลบดิน  ,Lari Tanah  ,Earth Dodge  ,Elak Tanah  ,config/chip/suit/icon_tudunmiji_1.png,4,5,66024,,,,,,
49,5,,,Earth Dodge  ,Địa Độn,Earth Dodge  ,หลบดิน  ,Lari Tanah  ,Earth Dodge  ,Elak Tanah  ,config/chip/suit/icon_tudunmiji_1.png,2,6,,1,20%,,,,
50,5,,,Earth Dodge  ,Địa Độn,Earth Dodge  ,หลบดิน  ,Lari Tanah  ,Earth Dodge  ,Elak Tanah  ,config/chip/suit/icon_tudunmiji_1.png,4,6,66025,,,,,,
51,6,,,Wood Dodge  ,Mộc Độn,Wood Dodge  ,หลบไม้  ,Lari Kayu  ,Wood Dodge  ,Elak Kayu  ,config/chip/suit/icon_mudunmiji_1.png,2,2,,1,4%,,,,
52,6,,,Wood Dodge  ,Mộc Độn,Wood Dodge  ,หลบไม้  ,Lari Kayu  ,Wood Dodge  ,Elak Kayu  ,config/chip/suit/icon_mudunmiji_1.png,4,2,66026,,,,,,
53,6,,,Wood Dodge  ,Mộc Độn,Wood Dodge  ,หลบไม้  ,Lari Kayu  ,Wood Dodge  ,Elak Kayu  ,config/chip/suit/icon_mudunmiji_1.png,2,3,,1,5%,,,,
54,6,,,Wood Dodge  ,Mộc Độn,Wood Dodge  ,หลบไม้  ,Lari Kayu  ,Wood Dodge  ,Elak Kayu  ,config/chip/suit/icon_mudunmiji_1.png,4,3,66027,,,,,,
55,6,,,Wood Dodge  ,Mộc Độn,Wood Dodge  ,หลบไม้  ,Lari Kayu  ,Wood Dodge  ,Elak Kayu  ,config/chip/suit/icon_mudunmiji_1.png,2,4,,1,6.50%,,,,
56,6,,,Wood Dodge  ,Mộc Độn,Wood Dodge  ,หลบไม้  ,Lari Kayu  ,Wood Dodge  ,Elak Kayu  ,config/chip/suit/icon_mudunmiji_1.png,4,4,66028,,,,,,
57,6,,,Wood Dodge  ,Mộc Độn,Wood Dodge  ,หลบไม้  ,Lari Kayu  ,Wood Dodge  ,Elak Kayu  ,config/chip/suit/icon_mudunmiji_1.png,2,5,,1,8%,,,,
58,6,,,Wood Dodge  ,Mộc Độn,Wood Dodge  ,หลบไม้  ,Lari Kayu  ,Wood Dodge  ,Elak Kayu  ,config/chip/suit/icon_mudunmiji_1.png,4,5,66029,,,,,,
59,6,,,Wood Dodge  ,Mộc Độn,Wood Dodge  ,หลบไม้  ,Lari Kayu  ,Wood Dodge  ,Elak Kayu  ,config/chip/suit/icon_mudunmiji_1.png,2,6,,1,20%,,,,
60,6,,,Wood Dodge  ,Mộc Độn,Wood Dodge  ,หลบไม้  ,Lari Kayu  ,Wood Dodge  ,Elak Kayu  ,config/chip/suit/icon_mudunmiji_1.png,4,6,66030,,,,,,
61,7,,,Blue Dodge  ,Lam Độn,Blue Dodge  ,หลบสีน้ำเงิน  ,Lari Biru  ,Blue Dodge  ,Elak Biru  ,config/chip/suit/icon_landunmiji_1.png,2,2,,1,3%,7,2%,8,2%
62,7,,,Blue Dodge  ,Lam Độn,Blue Dodge  ,หลบสีน้ำเงิน  ,Lari Biru  ,Blue Dodge  ,Elak Biru  ,config/chip/suit/icon_landunmiji_1.png,4,2,66031,,,,,,
63,7,,,Blue Dodge  ,Lam Độn,Blue Dodge  ,หลบสีน้ำเงิน  ,Lari Biru  ,Blue Dodge  ,Elak Biru  ,config/chip/suit/icon_landunmiji_1.png,2,3,,1,4%,7,3%,8,3%
64,7,,,Blue Dodge  ,Lam Độn,Blue Dodge  ,หลบสีน้ำเงิน  ,Lari Biru  ,Blue Dodge  ,Elak Biru  ,config/chip/suit/icon_landunmiji_1.png,4,3,66032,,,,,,
65,7,,,Blue Dodge  ,Lam Độn,Blue Dodge  ,หลบสีน้ำเงิน  ,Lari Biru  ,Blue Dodge  ,Elak Biru  ,config/chip/suit/icon_landunmiji_1.png,2,4,,1,5%,7,4%,8,4%
66,7,,,Blue Dodge  ,Lam Độn,Blue Dodge  ,หลบสีน้ำเงิน  ,Lari Biru  ,Blue Dodge  ,Elak Biru  ,config/chip/suit/icon_landunmiji_1.png,4,4,66033,,,,,,
67,7,,,Blue Dodge  ,Lam Độn,Blue Dodge  ,หลบสีน้ำเงิน  ,Lari Biru  ,Blue Dodge  ,Elak Biru  ,config/chip/suit/icon_landunmiji_1.png,2,5,,1,7.50%,7,5%,8,5%
68,7,,,Blue Dodge  ,Lam Độn,Blue Dodge  ,หลบสีน้ำเงิน  ,Lari Biru  ,Blue Dodge  ,Elak Biru  ,config/chip/suit/icon_landunmiji_1.png,4,5,66034,,,,,,
69,7,,,Blue Dodge  ,Lam Độn,Blue Dodge  ,หลบสีน้ำเงิน  ,Lari Biru  ,Blue Dodge  ,Elak Biru  ,config/chip/suit/icon_landunmiji_1.png,2,6,,1,12%,7,9%,8,9%
70,7,,,Blue Dodge  ,Lam Độn,Blue Dodge  ,หลบสีน้ำเงิน  ,Lari Biru  ,Blue Dodge  ,Elak Biru  ,config/chip/suit/icon_landunmiji_1.png,4,6,66035,,,,,,
71,8,,,Ice Dodge  ,Băng Độn,Ice Dodge  ,หลบน้ำแข็ง  ,Lari Es  ,Ice Dodge  ,Elak Ais  ,config/chip/suit/icon_bingdunmiji_1.png,2,2,,1,3%,7,2%,8,2%
72,8,,,Ice Dodge  ,Băng Độn,Ice Dodge  ,หลบน้ำแข็ง  ,Lari Es  ,Ice Dodge  ,Elak Ais  ,config/chip/suit/icon_bingdunmiji_1.png,4,2,66036,,,,,,
73,8,,,Ice Dodge  ,Băng Độn,Ice Dodge  ,หลบน้ำแข็ง  ,Lari Es  ,Ice Dodge  ,Elak Ais  ,config/chip/suit/icon_bingdunmiji_1.png,2,3,,1,4%,7,3%,8,3%
74,8,,,Ice Dodge  ,Băng Độn,Ice Dodge  ,หลบน้ำแข็ง  ,Lari Es  ,Ice Dodge  ,Elak Ais  ,config/chip/suit/icon_bingdunmiji_1.png,4,3,66037,,,,,,
75,8,,,Ice Dodge  ,Băng Độn,Ice Dodge  ,หลบน้ำแข็ง  ,Lari Es  ,Ice Dodge  ,Elak Ais  ,config/chip/suit/icon_bingdunmiji_1.png,2,4,,1,5%,7,4%,8,4%
76,8,,,Ice Dodge  ,Băng Độn,Ice Dodge  ,หลบน้ำแข็ง  ,Lari Es  ,Ice Dodge  ,Elak Ais  ,config/chip/suit/icon_bingdunmiji_1.png,4,4,66038,,,,,,
77,8,,,Ice Dodge  ,Băng Độn,Ice Dodge  ,หลบน้ำแข็ง  ,Lari Es  ,Ice Dodge  ,Elak Ais  ,config/chip/suit/icon_bingdunmiji_1.png,2,5,,1,7.50%,7,5%,8,5%
78,8,,,Ice Dodge  ,Băng Độn,Ice Dodge  ,หลบน้ำแข็ง  ,Lari Es  ,Ice Dodge  ,Elak Ais  ,config/chip/suit/icon_bingdunmiji_1.png,4,5,66039,,,,,,
79,8,,,Ice Dodge  ,Băng Độn,Ice Dodge  ,หลบน้ำแข็ง  ,Lari Es  ,Ice Dodge  ,Elak Ais  ,config/chip/suit/icon_bingdunmiji_1.png,2,6,,1,12%,7,9%,8,9%
80,8,,,Ice Dodge  ,Băng Độn,Ice Dodge  ,หลบน้ำแข็ง  ,Lari Es  ,Ice Dodge  ,Elak Ais  ,config/chip/suit/icon_bingdunmiji_1.png,4,6,66040,,,,,,
81,9,,,Spirit Dodge  ,Tinh Độn,Spirit Dodge  ,หลบวิญญาณ  ,Lari Roh  ,Spirit Dodge  ,Elak Roh  ,config/chip/suit/icon_jingdunmiji_1.png,2,2,,1,3%,7,2%,8,2%
82,9,,,Spirit Dodge  ,Tinh Độn,Spirit Dodge  ,หลบวิญญาณ  ,Lari Roh  ,Spirit Dodge  ,Elak Roh  ,config/chip/suit/icon_jingdunmiji_1.png,4,2,66041,,,,,,
83,9,,,Spirit Dodge  ,Tinh Độn,Spirit Dodge  ,หลบวิญญาณ  ,Lari Roh  ,Spirit Dodge  ,Elak Roh  ,config/chip/suit/icon_jingdunmiji_1.png,2,3,,1,4%,7,3%,8,3%
84,9,,,Spirit Dodge  ,Tinh Độn,Spirit Dodge  ,หลบวิญญาณ  ,Lari Roh  ,Spirit Dodge  ,Elak Roh  ,config/chip/suit/icon_jingdunmiji_1.png,4,3,66042,,,,,,
85,9,,,Spirit Dodge  ,Tinh Độn,Spirit Dodge  ,หลบวิญญาณ  ,Lari Roh  ,Spirit Dodge  ,Elak Roh  ,config/chip/suit/icon_jingdunmiji_1.png,2,4,,1,5%,7,4%,8,4%
86,9,,,Spirit Dodge  ,Tinh Độn,Spirit Dodge  ,หลบวิญญาณ  ,Lari Roh  ,Spirit Dodge  ,Elak Roh  ,config/chip/suit/icon_jingdunmiji_1.png,4,4,66043,,,,,,
87,9,,,Spirit Dodge  ,Tinh Độn,Spirit Dodge  ,หลบวิญญาณ  ,Lari Roh  ,Spirit Dodge  ,Elak Roh  ,config/chip/suit/icon_jingdunmiji_1.png,2,5,,1,7.50%,7,5%,8,5%
88,9,,,Spirit Dodge  ,Tinh Độn,Spirit Dodge  ,หลบวิญญาณ  ,Lari Roh  ,Spirit Dodge  ,Elak Roh  ,config/chip/suit/icon_jingdunmiji_1.png,4,5,66044,,,,,,
89,9,,,Spirit Dodge  ,Tinh Độn,Spirit Dodge  ,หลบวิญญาณ  ,Lari Roh  ,Spirit Dodge  ,Elak Roh  ,config/chip/suit/icon_jingdunmiji_1.png,2,6,,1,12%,7,9%,8,9%
90,9,,,Spirit Dodge  ,Tinh Độn,Spirit Dodge  ,หลบวิญญาณ  ,Lari Roh  ,Spirit Dodge  ,Elak Roh  ,config/chip/suit/icon_jingdunmiji_1.png,4,6,66045,,,,,,
