VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,icon,suitID,quality,pos,mainAttr,startNum,startLib,acquiredLimit,acquiredLib,maxLevel,strengthSeq,acquiredLevels,strengthLevels,recastLib,recastCostSeq,exp,effect
60134,,,Fire Release IV  ,Hỏa độn IV,Fire Release IV  ,วิชาไฟ ขั้นที่ 4  ,Jurus Api IV  ,Ablang Apoy IV  ,Kebolehan Api IV  ,config/chip/icon_huodunmiji_1.png,1,3,4,10,1,30004,1,30004,100,3,<10>,<5;15;20;30;40>,30004,2,150,
60135,,,Fire Release V  ,Hỏa độn V,Fire Release V  ,วิชาไฟ ขั้นที่ 5  ,Jurus Api V  ,Ablang Apoy V  ,Kebolehan Api V  ,config/chip/icon_huodunmiji_1.png,1,3,5,11,1,30005,1,30005,100,3,<10>,<5;15;20;30;40>,30005,2,150,
60136,,,Fire Release VI  ,Hỏa độn VI,Fire Release VI  ,วิชาไฟ ขั้นที่ 6  ,Jurus Api VI  ,Ablang Apoy VI  ,Kebolehan Api VI  ,config/chip/icon_huodunmiji_1.png,1,3,6,12,1,30006,1,30006,100,3,<10>,<5;15;20;30;40>,30006,2,150,
60141,,,Fire Release I  ,Hỏa độn I,Fire Release I  ,วิชาไฟ ขั้นที่ 1  ,Jurus Api I  ,Ablang Apoy I  ,Kebolehan Api I  ,config/chip/icon_huodunmiji_1.png,1,4,1,13,2,40001,1,40001,100,4,<10>,<5;15;20;30;40;50>,40001,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60142,,,Fire Release II  ,Hỏa độn II,Fire Release II  ,วิชาไฟ ขั้นที่ 2  ,Jurus Api II  ,Ablang Apoy II  ,Kebolehan Api II  ,config/chip/icon_huodunmiji_1.png,1,4,2,14,2,40002,1,40002,100,4,<10>,<5;15;20;30;40;50>,40002,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60143,,,Fire Release III  ,Hỏa độn III,Fire Release III  ,วิชาไฟ ขั้นที่ 3  ,Jurus Api III  ,Ablang Apoy III  ,Kebolehan Api III  ,config/chip/icon_huodunmiji_1.png,1,4,3,15,2,40003,1,40003,100,4,<10>,<5;15;20;30;40;50>,40003,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60144,,,Fire Release IV  ,Hỏa độn IV,Fire Release IV  ,วิชาไฟ ขั้นที่ 4  ,Jurus Api IV  ,Ablang Apoy IV  ,Kebolehan Api IV  ,config/chip/icon_huodunmiji_1.png,1,4,4,16,2,40004,1,40004,100,4,<10>,<5;15;20;30;40;50>,40004,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60145,,,Fire Release V  ,Hỏa độn V,Fire Release V  ,วิชาไฟ ขั้นที่ 5  ,Jurus Api V  ,Ablang Apoy V  ,Kebolehan Api V  ,config/chip/icon_huodunmiji_1.png,1,4,5,17,2,40005,1,40005,100,4,<10>,<5;15;20;30;40;50>,40005,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60146,,,Fire Release VI  ,Hỏa độn VI,Fire Release VI  ,วิชาไฟ ขั้นที่ 6  ,Jurus Api VI  ,Ablang Apoy VI  ,Kebolehan Api VI  ,config/chip/icon_huodunmiji_1.png,1,4,6,18,2,40006,1,40006,100,4,<10>,<5;15;20;30;40;50>,40006,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60151,,,Fire Release I  ,Hỏa độn I,Fire Release I  ,วิชาไฟ ขั้นที่ 1  ,Jurus Api I  ,Ablang Apoy I  ,Kebolehan Api I  ,config/chip/icon_huodunmiji_1.png,1,5,1,19,2,50001,1,50001,100,5,<10>,<5;15;20;30;40;50>,50001,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60152,,,Fire Release II  ,Hỏa độn II,Fire Release II  ,วิชาไฟ ขั้นที่ 2  ,Jurus Api II  ,Ablang Apoy II  ,Kebolehan Api II  ,config/chip/icon_huodunmiji_1.png,1,5,2,20,2,50002,1,50002,100,5,<10>,<5;15;20;30;40;50>,50002,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60153,,,Fire Release III  ,Hỏa độn III,Fire Release III  ,วิชาไฟ ขั้นที่ 3  ,Jurus Api III  ,Ablang Apoy III  ,Kebolehan Api III  ,config/chip/icon_huodunmiji_1.png,1,5,3,21,2,50003,1,50003,100,5,<10>,<5;15;20;30;40;50>,50003,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60154,,,Fire Release IV  ,Hỏa độn IV,Fire Release IV  ,วิชาไฟ ขั้นที่ 4  ,Jurus Api IV  ,Ablang Apoy IV  ,Kebolehan Api IV  ,config/chip/icon_huodunmiji_1.png,1,5,4,22,2,50004,1,50004,100,5,<10>,<5;15;20;30;40;50>,50004,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60155,,,Fire Release V  ,Hỏa độn V,Fire Release V  ,วิชาไฟ ขั้นที่ 5  ,Jurus Api V  ,Ablang Apoy V  ,Kebolehan Api V  ,config/chip/icon_huodunmiji_1.png,1,5,5,23,2,50005,1,50005,100,5,<10>,<5;15;20;30;40;50>,50005,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60156,,,Fire Release VI  ,Hỏa độn VI,Fire Release VI  ,วิชาไฟ ขั้นที่ 6  ,Jurus Api VI  ,Ablang Apoy VI  ,Kebolehan Api VI  ,config/chip/icon_huodunmiji_1.png,1,5,6,24,2,50006,1,50006,100,5,<10>,<5;15;20;30;40;50>,50006,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60161,,,Fire Release I  ,Hỏa độn I,Fire Release I  ,วิชาไฟ ขั้นที่ 1  ,Jurus Api I  ,Ablang Apoy I  ,Kebolehan Api I  ,config/chip/icon_huodunmiji_1.png,1,6,1,25,2,60001,2,60001,100,6,<10;30>,<5;15;20;30;40;50;60>,60001,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60162,,,Fire Release II  ,Hỏa độn II,Fire Release II  ,วิชาไฟ ขั้นที่ 2  ,Jurus Api II  ,Ablang Apoy II  ,Kebolehan Api II  ,config/chip/icon_huodunmiji_1.png,1,6,2,26,2,60002,2,60002,100,6,<10;30>,<5;15;20;30;40;50;60>,60002,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60163,,,Fire Release III  ,Hỏa độn III,Fire Release III  ,วิชาไฟ ขั้นที่ 3  ,Jurus Api III  ,Ablang Apoy III  ,Kebolehan Api III  ,config/chip/icon_huodunmiji_1.png,1,6,3,27,2,60003,2,60003,100,6,<10;30>,<5;15;20;30;40;50;60>,60003,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60164,,,Fire Release IV  ,Hỏa độn IV,Fire Release IV  ,วิชาไฟ ขั้นที่ 4  ,Jurus Api IV  ,Ablang Apoy IV  ,Kebolehan Api IV  ,config/chip/icon_huodunmiji_1.png,1,6,4,28,2,60004,2,60004,100,6,<10;30>,<5;15;20;30;40;50;60>,60004,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60165,,,Fire Release V  ,Hỏa độn V,Fire Release V  ,วิชาไฟ ขั้นที่ 5  ,Jurus Api V  ,Ablang Apoy V  ,Kebolehan Api V  ,config/chip/icon_huodunmiji_1.png,1,6,5,29,2,60005,2,60005,100,6,<10;30>,<5;15;20;30;40;50;60>,60005,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60166,,,Fire Release VI  ,Hỏa độn VI,Fire Release VI  ,วิชาไฟ ขั้นที่ 6  ,Jurus Api VI  ,Ablang Apoy VI  ,Kebolehan Api VI  ,config/chip/icon_huodunmiji_1.png,1,6,6,30,2,60006,2,60006,100,6,<10;30>,<5;15;20;30;40;50;60>,60006,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60221,,,Lightning Release I  ,Lôi Độn I,Lightning Release I  ,วิชาสายฟ้า ขั้นที่ 1  ,Jurus Petir I  ,Ablang Kidlat I  ,Kebolehan Petir I  ,config/chip/icon_leidunmiji_1.png,2,2,1,1,1,20001,1,20001,100,2,<10>,<5;15;20;30;40>,20001,1,75,
60222,,,Lightning Release II  ,Lôi Độn II,Lightning Release II  ,วิชาสายฟ้า ขั้นที่ 2  ,Jurus Petir II  ,Ablang Kidlat II  ,Kebolehan Petir II  ,config/chip/icon_leidunmiji_1.png,2,2,2,2,1,20002,1,20002,100,2,<10>,<5;15;20;30;40>,20002,1,75,
60223,,,Lightning Release III,Lôi Độn III,Lightning Release III,วิชาสายฟ้า ขั้นที่ 3,Jurus Petir III,Ablang Kidlat III,Kebolehan Petir III,config/chip/icon_leidunmiji_1.png,2,2,3,3,1,20003,1,20003,100,2,<10>,<5;15;20;30;40>,20003,1,75,
60224,,,Lightning Release IV  ,Lôi Độn IV,Lightning Release IV  ,วิชาสายฟ้า ขั้นที่ 4  ,Jurus Petir IV  ,Ablang Kidlat IV  ,Kebolehan Petir IV  ,config/chip/icon_leidunmiji_1.png,2,2,4,4,1,20004,1,20004,100,2,<10>,<5;15;20;30;40>,20004,1,75,
60225,,,Lightning Release V  ,Lôi Độn V,Lightning Release V  ,วิชาสายฟ้า ขั้นที่ 5  ,Jurus Petir V  ,Ablang Kidlat V  ,Kebolehan Petir V  ,config/chip/icon_leidunmiji_1.png,2,2,5,5,1,20005,1,20005,100,2,<10>,<5;15;20;30;40>,20005,1,75,
60226,,,Lightning Release VI  ,Lôi Độn VI,Lightning Release VI  ,วิชาสายฟ้า ขั้นที่ 6  ,Jurus Petir VI  ,Ablang Kidlat VI  ,Kebolehan Petir VI  ,config/chip/icon_leidunmiji_1.png,2,2,6,6,1,20006,1,20006,100,2,<10>,<5;15;20;30;40>,20006,1,75,
60231,,,Lightning Release I  ,Lôi Độn I,Lightning Release I  ,วิชาสายฟ้า ขั้นที่ 1  ,Jurus Petir I  ,Ablang Kidlat I  ,Kebolehan Petir I  ,config/chip/icon_leidunmiji_1.png,2,3,1,7,1,30001,1,30001,100,3,<10>,<5;15;20;30;40>,30001,2,150,
60232,,,Lightning Release II  ,Lôi Độn II,Lightning Release II  ,วิชาสายฟ้า ขั้นที่ 2  ,Jurus Petir II  ,Ablang Kidlat II  ,Kebolehan Petir II  ,config/chip/icon_leidunmiji_1.png,2,3,2,8,1,30002,1,30002,100,3,<10>,<5;15;20;30;40>,30002,2,150,
60233,,,Lightning Release III  ,Lôi Độn III,Lightning Release III  ,วิชาสายฟ้า ขั้นที่ 3  ,Jurus Petir III  ,Ablang Kidlat III  ,Kebolehan Petir III  ,config/chip/icon_leidunmiji_1.png,2,3,3,9,1,30003,1,30003,100,3,<10>,<5;15;20;30;40>,30003,2,150,
60234,,,Lightning Release IV  ,Lôi Độn IV,Lightning Release IV  ,วิชาสายฟ้า ขั้นที่ 4  ,Jurus Petir IV  ,Ablang Kidlat IV  ,Kebolehan Petir IV  ,config/chip/icon_leidunmiji_1.png,2,3,4,10,1,30004,1,30004,100,3,<10>,<5;15;20;30;40>,30004,2,150,
60235,,,Lightning Release V  ,Lôi Độn V,Lightning Release V  ,วิชาสายฟ้า ขั้นที่ 5  ,Jurus Petir V  ,Ablang Kidlat V  ,Kebolehan Petir V  ,config/chip/icon_leidunmiji_1.png,2,3,5,11,1,30005,1,30005,100,3,<10>,<5;15;20;30;40>,30005,2,150,
60236,,,Lightning Release VI  ,Lôi Độn VI,Lightning Release VI  ,วิชาสายฟ้า ขั้นที่ 6  ,Jurus Petir VI  ,Ablang Kidlat VI  ,Kebolehan Petir VI  ,config/chip/icon_leidunmiji_1.png,2,3,6,12,1,30006,1,30006,100,3,<10>,<5;15;20;30;40>,30006,2,150,
60241,,,Lightning Release I  ,Lôi Độn I,Lightning Release I  ,วิชาสายฟ้า ขั้นที่ 1  ,Jurus Petir I  ,Ablang Kidlat I  ,Kebolehan Petir I  ,config/chip/icon_leidunmiji_1.png,2,4,1,13,2,40001,1,40001,100,4,<10>,<5;15;20;30;40;50>,40001,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60242,,,Lightning Release II  ,Lôi Độn II,Lightning Release II  ,วิชาสายฟ้า ขั้นที่ 2  ,Jurus Petir II  ,Ablang Kidlat II  ,Kebolehan Petir II  ,config/chip/icon_leidunmiji_1.png,2,4,2,14,2,40002,1,40002,100,4,<10>,<5;15;20;30;40;50>,40002,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60243,,,Lightning Release III  ,Lôi Độn III,Lightning Release III  ,วิชาสายฟ้า ขั้นที่ 3  ,Jurus Petir III  ,Ablang Kidlat III  ,Kebolehan Petir III  ,config/chip/icon_leidunmiji_1.png,2,4,3,15,2,40003,1,40003,100,4,<10>,<5;15;20;30;40;50>,40003,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60244,,,Lightning Release IV  ,Lôi Độn IV,Lightning Release IV  ,วิชาสายฟ้า ขั้นที่ 4  ,Jurus Petir IV  ,Ablang Kidlat IV  ,Kebolehan Petir IV  ,config/chip/icon_leidunmiji_1.png,2,4,4,16,2,40004,1,40004,100,4,<10>,<5;15;20;30;40;50>,40004,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60245,,,Lightning Release V  ,Lôi Độn V,Lightning Release V  ,วิชาสายฟ้า ขั้นที่ 5  ,Jurus Petir V  ,Ablang Kidlat V  ,Kebolehan Petir V  ,config/chip/icon_leidunmiji_1.png,2,4,5,17,2,40005,1,40005,100,4,<10>,<5;15;20;30;40;50>,40005,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60246,,,Lightning Release VI  ,Lôi Độn VI,Lightning Release VI  ,วิชาสายฟ้า ขั้นที่ 6  ,Jurus Petir VI  ,Ablang Kidlat VI  ,Kebolehan Petir VI  ,config/chip/icon_leidunmiji_1.png,2,4,6,18,2,40006,1,40006,100,4,<10>,<5;15;20;30;40;50>,40006,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60251,,,Lightning Release I  ,Lôi Độn I,Lightning Release I  ,วิชาสายฟ้า ขั้นที่ 1  ,Jurus Petir I  ,Ablang Kidlat I  ,Kebolehan Petir I  ,config/chip/icon_leidunmiji_1.png,2,5,1,19,2,50001,1,50001,100,5,<10>,<5;15;20;30;40;50>,50001,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60252,,,Lightning Release II  ,Lôi Độn II,Lightning Release II  ,วิชาสายฟ้า ขั้นที่ 2  ,Jurus Petir II  ,Ablang Kidlat II  ,Kebolehan Petir II  ,config/chip/icon_leidunmiji_1.png,2,5,2,20,2,50002,1,50002,100,5,<10>,<5;15;20;30;40;50>,50002,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60253,,,Lightning Release III  ,Lôi Độn III,Lightning Release III  ,วิชาสายฟ้า ขั้นที่ 3  ,Jurus Petir III  ,Ablang Kidlat III  ,Kebolehan Petir III  ,config/chip/icon_leidunmiji_1.png,2,5,3,21,2,50003,1,50003,100,5,<10>,<5;15;20;30;40;50>,50003,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60254,,,Lightning Release IV  ,Lôi Độn IV,Lightning Release IV  ,วิชาสายฟ้า ขั้นที่ 4  ,Jurus Petir IV  ,Ablang Kidlat IV  ,Kebolehan Petir IV  ,config/chip/icon_leidunmiji_1.png,2,5,4,22,2,50004,1,50004,100,5,<10>,<5;15;20;30;40;50>,50004,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60255,,,Lightning Release V  ,Lôi Độn V,Lightning Release V  ,วิชาสายฟ้า ขั้นที่ 5  ,Jurus Petir V  ,Ablang Kidlat V  ,Kebolehan Petir V  ,config/chip/icon_leidunmiji_1.png,2,5,5,23,2,50005,1,50005,100,5,<10>,<5;15;20;30;40;50>,50005,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60256,,,Lightning Release VI  ,Lôi Độn VI,Lightning Release VI  ,วิชาสายฟ้า ขั้นที่ 6  ,Jurus Petir VI  ,Ablang Kidlat VI  ,Kebolehan Petir VI  ,config/chip/icon_leidunmiji_1.png,2,5,6,24,2,50006,1,50006,100,5,<10>,<5;15;20;30;40;50>,50006,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60261,,,Lightning Release I  ,Lôi Độn I,Lightning Release I  ,วิชาสายฟ้า ขั้นที่ 1  ,Jurus Petir I  ,Ablang Kidlat I  ,Kebolehan Petir I  ,config/chip/icon_leidunmiji_1.png,2,6,1,25,2,60001,2,60001,100,6,<10;30>,<5;15;20;30;40;50;60>,60001,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60262,,,Lightning Release II  ,Lôi Độn II,Lightning Release II  ,วิชาสายฟ้า ขั้นที่ 2  ,Jurus Petir II  ,Ablang Kidlat II  ,Kebolehan Petir II  ,config/chip/icon_leidunmiji_1.png,2,6,2,26,2,60002,2,60002,100,6,<10;30>,<5;15;20;30;40;50;60>,60002,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60263,,,Lightning Release III  ,Lôi Độn III,Lightning Release III  ,วิชาสายฟ้า ขั้นที่ 3  ,Jurus Petir III  ,Ablang Kidlat III  ,Kebolehan Petir III  ,config/chip/icon_leidunmiji_1.png,2,6,3,27,2,60003,2,60003,100,6,<10;30>,<5;15;20;30;40;50;60>,60003,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60264,,,Lightning Release IV  ,Lôi Độn IV,Lightning Release IV  ,วิชาสายฟ้า ขั้นที่ 4  ,Jurus Petir IV  ,Ablang Kidlat IV  ,Kebolehan Petir IV  ,config/chip/icon_leidunmiji_1.png,2,6,4,28,2,60004,2,60004,100,6,<10;30>,<5;15;20;30;40;50;60>,60004,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60265,,,Lightning Release V  ,Lôi Độn V,Lightning Release V  ,วิชาสายฟ้า ขั้นที่ 5  ,Jurus Petir V  ,Ablang Kidlat V  ,Kebolehan Petir V  ,config/chip/icon_leidunmiji_1.png,2,6,5,29,2,60005,2,60005,100,6,<10;30>,<5;15;20;30;40;50;60>,60005,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60266,,,Lightning Release VI  ,Lôi Độn VI,Lightning Release VI  ,วิชาสายฟ้า ขั้นที่ 6  ,Jurus Petir VI  ,Ablang Kidlat VI  ,Kebolehan Petir VI  ,config/chip/icon_leidunmiji_1.png,2,6,6,30,2,60006,2,60006,100,6,<10;30>,<5;15;20;30;40;50;60>,60006,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60321,,,Wind Release I  ,Phong Độn I,Wind Release I  ,วิชาลม ขั้นที่ 1  ,Jurus Angin I  ,Ablang Hangin I  ,Kebolehan Angin I  ,config/chip/icon_fengdunmiji_1.png,3,2,1,1,1,20001,1,20001,100,2,<10>,<5;15;20;30;40>,20001,1,75,
60322,,,Wind Release II  ,Phong Độn II,Wind Release II  ,วิชาลม ขั้นที่ 2  ,Jurus Angin II  ,Ablang Hangin II  ,Kebolehan Angin II  ,config/chip/icon_fengdunmiji_1.png,3,2,2,2,1,20002,1,20002,100,2,<10>,<5;15;20;30;40>,20002,1,75,
60323,,,Wind Release III  ,Phong Độn III,Wind Release III  ,วิชาลม ขั้นที่ 3  ,Jurus Angin III  ,Ablang Hangin III  ,Kebolehan Angin III  ,config/chip/icon_fengdunmiji_1.png,3,2,3,3,1,20003,1,20003,100,2,<10>,<5;15;20;30;40>,20003,1,75,
60324,,,Wind Release IV  ,Phong Độn IV,Wind Release IV  ,วิชาลม ขั้นที่ 4  ,Jurus Angin IV  ,Ablang Hangin IV  ,Kebolehan Angin IV  ,config/chip/icon_fengdunmiji_1.png,3,2,4,4,1,20004,1,20004,100,2,<10>,<5;15;20;30;40>,20004,1,75,
60325,,,Wind Release V  ,Phong Độn V,Wind Release V  ,วิชาลม ขั้นที่ 5  ,Jurus Angin V  ,Ablang Hangin V  ,Kebolehan Angin V  ,config/chip/icon_fengdunmiji_1.png,3,2,5,5,1,20005,1,20005,100,2,<10>,<5;15;20;30;40>,20005,1,75,
60326,,,Wind Release VI  ,Phong Độn VI,Wind Release VI  ,วิชาลม ขั้นที่ 6  ,Jurus Angin VI  ,Ablang Hangin VI  ,Kebolehan Angin VI  ,config/chip/icon_fengdunmiji_1.png,3,2,6,6,1,20006,1,20006,100,2,<10>,<5;15;20;30;40>,20006,1,75,
60331,,,Wind Style I  ,Phong Độn I,Wind Style I  ,สไตล์ลม I  ,Gaya Angin I  ,Estilo ng Hangin I  ,Gaya Angin I  ,config/chip/icon_fengdunmiji_1.png,3,3,1,7,1,30001,1,30001,100,3,<10>,<5;15;20;30;40>,30001,2,150,
60332,,,Wind Style II  ,Phong Độn II,Wind Style II  ,สไตล์ลม II  ,Gaya Angin II  ,Estilo ng Hangin II  ,Gaya Angin II  ,config/chip/icon_fengdunmiji_1.png,3,3,2,8,1,30002,1,30002,100,3,<10>,<5;15;20;30;40>,30002,2,150,
60333,,,Wind Style III  ,Phong Độn III,Wind Style III  ,สไตล์ลม III  ,Gaya Angin III  ,Estilo ng Hangin III  ,Gaya Angin III  ,config/chip/icon_fengdunmiji_1.png,3,3,3,9,1,30003,1,30003,100,3,<10>,<5;15;20;30;40>,30003,2,150,
60334,,,Wind Style IV  ,Phong Độn IV,Wind Style IV  ,สไตล์ลม IV  ,Gaya Angin IV  ,Estilo ng Hangin IV  ,Gaya Angin IV  ,config/chip/icon_fengdunmiji_1.png,3,3,4,10,1,30004,1,30004,100,3,<10>,<5;15;20;30;40>,30004,2,150,
60335,,,Wind Style V  ,Phong Độn V,Wind Style V  ,สไตล์ลม V  ,Gaya Angin V  ,Estilo ng Hangin V  ,Gaya Angin V  ,config/chip/icon_fengdunmiji_1.png,3,3,5,11,1,30005,1,30005,100,3,<10>,<5;15;20;30;40>,30005,2,150,
60336,,,Wind Style VI  ,Phong Độn VI,Wind Style VI  ,สไตล์ลม VI  ,Gaya Angin VI  ,Estilo ng Hangin VI  ,Gaya Angin VI  ,config/chip/icon_fengdunmiji_1.png,3,3,6,12,1,30006,1,30006,100,3,<10>,<5;15;20;30;40>,30006,2,150,
60341,,,Wind Style I  ,Phong Độn I,Wind Style I  ,สไตล์ลม I  ,Gaya Angin I  ,Estilo ng Hangin I  ,Gaya Angin I  ,config/chip/icon_fengdunmiji_1.png,3,4,1,13,2,40001,1,40001,100,4,<10>,<5;15;20;30;40;50>,40001,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60342,,,Wind Style II  ,Phong Độn II,Wind Style II  ,สไตล์ลม II  ,Gaya Angin II  ,Estilo ng Hangin II  ,Gaya Angin II  ,config/chip/icon_fengdunmiji_1.png,3,4,2,14,2,40002,1,40002,100,4,<10>,<5;15;20;30;40;50>,40002,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60343,,,Wind Style III  ,Phong Độn III,Wind Style III  ,สไตล์ลม III  ,Gaya Angin III  ,Estilo ng Hangin III  ,Gaya Angin III  ,config/chip/icon_fengdunmiji_1.png,3,4,3,15,2,40003,1,40003,100,4,<10>,<5;15;20;30;40;50>,40003,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60344,,,Wind Style IV  ,Phong Độn IV,Wind Style IV  ,สไตล์ลม IV  ,Gaya Angin IV  ,Estilo ng Hangin IV  ,Gaya Angin IV  ,config/chip/icon_fengdunmiji_1.png,3,4,4,16,2,40004,1,40004,100,4,<10>,<5;15;20;30;40;50>,40004,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60345,,,Wind Style V  ,Phong Độn V,Wind Style V  ,สไตล์ลม V  ,Gaya Angin V  ,Estilo ng Hangin V  ,Gaya Angin V  ,config/chip/icon_fengdunmiji_1.png,3,4,5,17,2,40005,1,40005,100,4,<10>,<5;15;20;30;40;50>,40005,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
