VariableName,name,name_tw,name_en,name_vn,name_th,name_in,name_ph,name_ma,type,classify,attrAdd,stackMax,theme,icon,res,startResScale,attr,interactivityAttr,roleActionDatas,size,touchSize,relSize,startPos,position,quality,currentNum,languages
52005,可爱隔断,可愛隔斷,Cute Partition,Vách ngăn dễ thương,ฉากกั้นน่ารัก  ,Partisi Lucu  ,Cute na Partition  ,Pembahagi Comel  ,3,2,{8=185},2,1,city/homeland/home/icon/furniture/geduan.png,city/homeland/home/item/furniture/geduan.png,,{flip=True},,,{width=1;height=3},{height=3;width=2;off={offHeight=2;offWidth=2}},{height=3;width=2;off={offHeight=2;offWidth=2}},{y=12;x=-55},,,,
52006,滑板,滑板,Skateboard,Ván trượt,สเก็ตบอร์ด  ,Papan Luncur  ,Skateboard  ,Papan Luncur  ,3,2,{1=2225},3,2,city/homeland/home/icon/furniture/huaban.png,city/homeland/home/item/furniture/huaban.png,,{flip=True},,,{width=1;height=2},{height=2;width=1;off={offHeight=0;offWidth=0}},{height=2;width=1;off={offHeight=0;offWidth=0}},{y=17;x=-55},,,,
52007,全身镜,全身鏡,Full-Length Mirror,Gương toàn thân,กระจกเต็มตัว  ,Cermin Full Body  ,Salamin na Buong Katawan  ,Cermin Badan Penuh  ,3,0,{7=295},2,2,city/homeland/home/icon/furniture/mirror.png,city/homeland/home/item/furniture/mirror.png,,{flip=True},,,,{height=1;width=1;off={offHeight=3;offWidth=2}},{height=1;width=1;off={offHeight=3;offWidth=2}},{y=0;x=-50},,,,
52008,音响,音響,Acoustics,Âm thanh,เครื่องเสียง  ,Sistem Suara  ,Sound System  ,Sistem Bunyi  ,3,0,{7=255},4,2,city/homeland/home/icon/furniture/yinxiang.png,city/homeland/home/item/furniture/yinxiang.png,1.1,{flip=True},,,,,,{y=10;x=-45},,,,
52009,转杯,轉杯,Rotating Cup,Cốc xoay,ถ้วยหมุน  ,Cangkir Berputar  ,Umiikot na Tasa  ,Cawan Berputar  ,3,0,{1=7980},,2,city/homeland/home/icon/furniture/zhuanbei.png,home/zhuanbei/zhuanbei.json,,{flip=True},,,{width=5;height=5},{height=5;width=5;off={offHeight=0;offWidth=0}},{height=5;width=5;off={offHeight=0;offWidth=0}},{y=250;x=-5},,,,
52010,写字台,寫字臺,Desk,Bàn làm việc,โต๊ะทำงาน  ,Meja Kerja  ,Mesa sa Trabaho  ,Meja Kerja  ,3,1,{7=800},,2,city/homeland/home/icon/furniture/shuzhuo.png,city/homeland/home/item/furniture/shuzhuo.png,0.9,{flip=True},,,{width=2;height=4},{height=4;width=2;off={offHeight=1;offWidth=1}},{height=4;width=2;off={offHeight=1;offWidth=1}},{y=30;x=-145},,,,
52011,天蓝沙发,天藍沙發,Sky Blue Sofa,Sofa xanh,โซฟาสีน้ำเงิน  ,Sofa Biru  ,Asul na Sofa  ,Sofa Biru  ,3,2,{7=495},2,2,city/homeland/home/icon/furniture/sofa.png,city/homeland/home/item/furniture/sofa.png,,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=50;x=-25}},,{width=2;height=3},{height=3;width=2;off={offHeight=-0.5;offWidth=1}},{height=3;width=2;off={offHeight=-0.5;offWidth=1}},{y=5;x=-130},,,,
52012,D牌电视,D牌電視,D Brand Tv,TV hãng D,ทีวียี่ห้อ D  ,TV Merek D  ,TV Brand D  ,TV Jenama D  ,3,1,{7=1000},,2,city/homeland/home/icon/furniture/tv.png,home/tv/tv.json,,{flip=True},,,{width=2;height=1},{height=1;width=2;off={offHeight=2;offWidth=2}},{height=1;width=2;off={offHeight=2;offWidth=2}},{y=60;x=-35},,,,
52013,熊仔地毯,熊仔地毯,Bear Doll Carpet,Thảm hình gấu,พรมรูปหมี  ,Karpet Berbentuk Beruang  ,Karpet na Hugis Aso  ,Permaidani Berbentuk Beruang  ,3,0,{7=380},2,2,city/homeland/home/icon/furniture/tanzi.png,city/homeland/home/item/furniture/tanzi.png,,{walk=True;flip=True},,,{width=3;height=3},{height=3;width=3;off={offHeight=0;offWidth=0}},{height=3;width=3;off={offHeight=0;offWidth=0}},{y=20;x=-185},,,,
52014,熊仔玩偶,熊仔玩偶,Bear Doll,Gấu bông,ตุ๊กตาหมี  ,Boneka Beruang  ,Stuffed Bear  ,Anak Patung Beruang  ,3,1,{7=650},,2,city/homeland/home/icon/furniture/wanou.png,city/homeland/home/item/furniture/xiong.png,,{flip=True},,,{width=1;height=2},{height=2;width=1;off={offHeight=1;offWidth=1}},{height=2;width=1;off={offHeight=1;offWidth=1}},{y=10;x=-50},,,,
52015,矮式餐桌,矮式餐桌,Lowe Dining Table,Bàn ăn thấp,โต๊ะอาหารเตี้ย  ,Meja Makan Rendah  ,Mababang Hapag Kainan  ,Meja Makan Rendah  ,3,2,{7=400},2,1,city/homeland/home/icon/furniture/zhuozi.png,city/homeland/home/item/furniture/zhuozi.png,,{flip=True},,,{width=2;height=2},{height=2;width=2;off={offHeight=0;offWidth=0}},{height=2;width=2;off={offHeight=0;offWidth=0}},{y=0;x=-130},,,,
52016,跷跷板,蹺蹺板,Seesaw,Bập bênh,ไม้กระดก  ,Jungkat-Jungkit  ,Duyan-duyan  ,Papan Jongket  ,3,2,{8=360},,2,city/homeland/home/icon/furniture/qiaoqiaoban.png,home/qiaoqiaoban/qiaoqiaoban.json,,{interactivityTime=300;interactivity=True},{off={y=-15;x=70};roleActionName=jump;interactivityName=standby_loop;interactFurnName=qiaoqiaoban_loop},{height=60;time=0.9;count=1;endPos={y=70;x=-210}},{width=3;height=3},{height=3;width=3;off={offHeight=0;offWidth=0}},{height=3;width=3;off={offHeight=0;offWidth=0}},{y=120;x=5},,,,
52017,君子兰,君子蘭,Kaffir Lily,Lan quân tử,ต้นคลีเวีย  ,Tanaman Clivia  ,Halaman ng Clivia  ,Pokok Clivia  ,3,1,{7=175},4,1,city/homeland/home/icon/furniture/zhiwu.png,city/homeland/home/item/furniture/zhiwu.png,0.85,{flip=True},,,,{height=1;width=1;off={offHeight=2;offWidth=2}},{height=1;width=1;off={offHeight=2;offWidth=2}},{y=5;x=-70},,,,
52018,帐篷,帳篷,Tent,Lều,เต็นท์  ,Tenda  ,Tolda  ,Khemah  ,3,0,{8=300},,2,city/homeland/home/icon/furniture/zhangpeng.png,city/homeland/home/item/furniture/zhangpeng.png,,{flip=True},,,{width=2;height=2},{height=2;width=2;off={offHeight=1;offWidth=1}},{height=2;width=2;off={offHeight=1;offWidth=1}},{y=5;x=-130},,,,
52019,秋千,秋千,Swing,Xích đu,ชิงช้า  ,Ayunan  ,Duyan  ,Buaian  ,3,0,{8=380},,2,city/homeland/home/icon/furniture/qiuqian.png,home/qiuqian/qiuqian.json,0.9,{interactivityTime=15;interactivity=True},{off={y=105;x=100};roleActionName=sway;interactivityName=standby_loop;interactFurnName=qiuqian_loop},{spine=home/qiuqian/qiuqian.json;effectName=qiuqian2_loop},{width=3;height=3},{height=3;width=3;off={offHeight=4;offWidth=4}},{height=3;width=3;off={offHeight=4;offWidth=4}},{y=120;x=0},,,,
52020,卷轴矮桌,卷軸矮桌,Reel Low Table,Bàn cuộn,โต๊ะม้วน  ,Meja Gulung  ,Lumulukot na Lamesa  ,Meja Gulung  ,3,0,{7=295},2,1,city/homeland/home/icon/furniture/zhuozijuanzhou.png,city/homeland/home/item/furniture/zhuozijuanzhou.png,,{flip=True},,,{width=2;height=1},{height=1;width=2;off={offHeight=1;offWidth=0}},{height=1;width=2;off={offHeight=1;offWidth=0}},{y=25;x=-120},,,TRUE,
52021,日式桌毯,日式桌毯,Japanese Table Blanket,Khăn trải bàn Nhật,ผ้าปูโต๊ะแบบญี่ปุ่น  ,Taplak Meja Jepang  ,Japanese na Tablecloth  ,Kain Meja Jepun  ,3,1,{1=5775},,1,city/homeland/home/icon/furniture/ditanhecha.png,city/homeland/home/item/furniture/ditanhecha.png,0.75,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=115;x=160}},,{width=3;height=6},{height=6;width=3;off={offHeight=0;offWidth=0}},{height=6;width=3;off={offHeight=0;offWidth=0}},{y=20;x=-218},,,,
52022,榻榻米,榻榻米,Tatami,Chiếu Tatami,เสื่อทาทามิ  ,Tikar Tatami  ,Banig na Tatami  ,Tikar Tatami  ,3,2,{1=6080},,1,city/homeland/home/icon/furniture/tatami.png,city/homeland/home/item/furniture/tatami.png,0.635,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=50;x=-35}},,{width=2;height=3},{height=3;width=2;off={offHeight=0;offWidth=0}},{height=3;width=2;off={offHeight=0;offWidth=0}},{y=7;x=-160},,,,
52023,蜡烛灯,蠟燭燈,Candle Light,Đèn hình nến,โคมไฟเทียน  ,Lampu Lilin  ,Ilaw na Kandila  ,Lampu Lilin  ,3,0,{8=85},4,1,city/homeland/home/icon/furniture/lazhudeng.png,city/homeland/home/item/furniture/lazhudeng.png,,{flip=True},,,,{height=1;width=1;off={offHeight=3;offWidth=3}},{height=1;width=1;off={offHeight=3;offWidth=3}},{y=20;x=-50},,,,
52024,浮绘地毯,浮繪地毯,Floating Carpet,Thảm hoa nổi,พรมลายดอกนูน,Karpet Bunga Timbul,Karpet na May Disenyong Bulaklak,Permaidani Bunga Timbul,3,1,{7=325},2,1,city/homeland/home/icon/furniture/tanzi2.png,city/homeland/home/item/furniture/tanzi2.png,,{walk=True;flip=True},,,{width=4;height=2},{height=2;width=3;off={offHeight=0;offWidth=0}},{height=2;width=3;off={offHeight=0;offWidth=0}},{y=0;x=-318},,,TRUE,
52025,桃花枝,桃花枝,Peach Branch,Cành hoa đào,กิ่งดอกซากุระ  ,Cabang Bunga Persik  ,Sanga ng Bulaklak ng Peach  ,Dahan Bunga Pic  ,3,1,{8=80},4,1,city/homeland/home/icon/furniture/zhiwu1.png,city/homeland/home/item/furniture/zhiwu1.png,1.1,{flip=True},,,,{height=1;width=1;off={offHeight=0.2;offWidth=0}},{height=1;width=1;off={offHeight=0.2;offWidth=0}},{y=20;x=-40},,,,
52026,风信子,風信子,Hyacinth,Hoa dạ lan,ดอกซือลานกลางคืน  ,Bunga Malam  ,Bulaklak ng Gabi  ,Bunga Malam  ,3,2,{7=165},4,1,city/homeland/home/icon/furniture/zhiwu2.png,city/homeland/home/item/furniture/zhiwu2.png,,{flip=True},,,,,,{y=20;x=-40},,,,
52027,帖纸隔断,帖紙隔斷,Paper Partition,Vách ngăn giấy,ฉากกั้นกระดาษ  ,Pemisah Kertas  ,Paper Divider  ,Pemisah Kertas  ,3,2,{7=310},2,1,city/homeland/home/icon/furniture/geduan1.png,city/homeland/home/item/furniture/geduan1.png,,{flip=True},,,{width=2;height=1},{height=1;width=2;off={offHeight=3;offWidth=3}},{height=1;width=2;off={offHeight=3;offWidth=3}},{y=10;x=-140},,,TRUE,
52028,风铃隔断,風鈴隔斷,Wind Chime Partition,Vách ngăn chuông gió,ฉากกั้นกระดิ่งลม  ,Pemisah Lonceng Angin  ,Wind Chime Divider  ,Pemisah Lonceng Angin  ,3,0,{8=125},2,1,city/homeland/home/icon/furniture/geduan2.png,city/homeland/home/item/furniture/geduan2.png,,{flip=True},,,{width=3;height=1},{height=1;width=3;off={offHeight=2.5;offWidth=3}},{height=1;width=3;off={offHeight=2.5;offWidth=3}},{y=10;x=-210},,,,
52029,原木书桌,原木書桌,Wooden Desk,Bàn gỗ,โต๊ะไม้  ,Meja Kayu  ,Wooden Table  ,Meja Kayu  ,3,2,{8=235},,1,city/homeland/home/icon/furniture/shuzhuo1.png,city/homeland/home/item/furniture/shuzhuo1.png,,{flip=True},,,{width=3;height=2},{height=2;width=3;off={offHeight=1;offWidth=0}},{height=2;width=3;off={offHeight=1;offWidth=0}},{y=35;x=-240},,,,
52030,茶桌,茶桌,Tea Table,Bàn nước,โต๊ะน้ำชา  ,Meja Minum  ,Tea Table  ,Meja Minuman  ,3,0,{8=300},,1,city/homeland/home/icon/furniture/fanzhuo.png,city/homeland/home/item/furniture/fanzhuo.png,,{flip=True},,,{width=3;height=3},{height=3;width=3;off={offHeight=0;offWidth=0}},{height=3;width=3;off={offHeight=0;offWidth=0}},{y=35;x=-175},,,,
52031,浴衣桌,浴衣桌,Bathrobe Table,Bàn áo tắm,โต๊ะชุดว่ายน้ำ  ,Meja Baju Renang  ,Table ng Swimsuit  ,Meja Baju Mandi  ,3,0,{1=2595},2,1,city/homeland/home/icon/furniture/yifutaizi.png,city/homeland/home/item/furniture/yifutaizi.png,,{flip=True},,,{width=1;height=3},{height=3;width=1;off={offHeight=0;offWidth=1}},{height=3;width=1;off={offHeight=0;offWidth=1}},{y=15;x=-60},,,TRUE,
52032,浴缸,浴缸,Bathtub,Bồn tắm,อ่างอาบน้ำ  ,Bak Mandi  ,Bathtub  ,Tab Mandi  ,3,1,{1=7220},,1,city/homeland/home/icon/furniture/yugang.png,home/bathtub/mutong.json,,{interactivityTime=300;flip=True;interactivity=True},{off={y=70;x=-35};interactivityName=standby_loop;clip=True;interactFurnName=kaiqi_loop},,{width=3;height=2},{height=2;width=3;off={offHeight=1;offWidth=1}},{height=2;width=3;off={offHeight=1;offWidth=1}},{y=60;x=-90},,,,
52033,懒人椅,懶人椅,Lazy Chair,Ghế lười,เก้าอี้นิ่ม  ,Kursi Bean Bag  ,Bean Bag na Upuan  ,Kerusi Kacang  ,3,1,{1=2345},2,1,city/homeland/home/icon/furniture/yizi.png,city/homeland/home/item/furniture/yizi.png,,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=22;x=-5}},,,{height=1;width=1;off={offHeight=1;offWidth=1}},{height=1;width=1;off={offHeight=1;offWidth=1}},{y=10;x=-55},,,TRUE,
52034,灯笼,燈籠,Lantern,Đèn lồng,โคมไฟ  ,Lampion  ,Parol  ,Tanglung  ,3,0,{1=1815},4,1,city/homeland/home/icon/furniture/denglong.png,city/homeland/home/item/furniture/denglong.png,,{flip=True},,,,{height=1;width=1;off={offHeight=1;offWidth=1}},{height=1;width=1;off={offHeight=1;offWidth=1}},{y=10;x=-50},,,,
52035,爱心椅,愛心椅,Love Chair,Ghế trái tim,เก้าอี้รูปหัวใจ  ,Kursi Hati  ,Heart-shaped Chair  ,Kerusi Hati  ,3,1,{8=75},3,2,city/homeland/home/icon/furniture/chair.png,city/homeland/home/item/furniture/chair.png,,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=standby_loop;off={y=100;x=5}},,,{height=1;width=1;off={offHeight=1;offWidth=1}},{height=1;width=1;off={offHeight=1;offWidth=1}},{y=25;x=-60},,,,
52036,普通电视,普通電視,Normal Tv,TV thường,ทีวีธรรมดา  ,TV Biasa  ,Karaniwang TV  ,TV Biasa  ,3,2,{8=80},2,1,city/homeland/home/icon/furniture/dianshi.png,city/homeland/home/item/furniture/dianshi.png,,{flip=True},,,{width=1;height=2},{height=2;width=1;off={offHeight=1;offWidth=1}},{height=2;width=1;off={offHeight=1;offWidth=1}},{y=15;x=-55},,,TRUE,
52037,玫红冲浪板,玫紅衝浪板,Rose Red Surfboard,Ván lướt sóng đỏ,กระดานโต้คลื่นสีแดง  ,Papan Selancar Merah  ,Pulang Surfboard  ,Papan Luncur Merah  ,3,2,{8=150},2,3,city/homeland/home/icon/furniture/img_3chonglangb01.png,city/homeland/home/item/furniture/img_3chonglangb01.png,1.2,{flip=True},,,,{height=2;width=1;off={offHeight=4;offWidth=4}},{height=2;width=1;off={offHeight=1;offWidth=1}},{y=12;x=-32},4,,,
52038,西瓜冲浪板,西瓜衝浪板,Watermelon Surfboard,Ván lướt sóng dưa hấu,กระดานโต้คลื่นแตงโม  ,Papan Selancar Semangka  ,Pakwan na Surfboard  ,Papan Luncur Tembikai  ,3,1,{7=520},2,3,city/homeland/home/icon/furniture/img_3chonglangb02.png,city/homeland/home/item/furniture/img_3chonglangb02.png,1.2,{flip=True},,,,{height=2;width=1;off={offHeight=4;offWidth=4}},{height=2;width=1;off={offHeight=1;offWidth=1}},{y=12;x=-32},4,,,
52039,海蓝双人床,海藍雙人床,Sea Blue Double Bed,Giường đôi xanh,เตียงคู่สีน้ำเงิน  ,Tempat Tidur Ganda Biru  ,Dobleng Kama na Asul  ,Katil Berkembar Biru  ,3,2,{7=950},,3,city/homeland/home/icon/furniture/img_3chuang01.png,city/homeland/home/item/furniture/img_3chuang01.png,0.9,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=70;x=0}},,{width=4;height=3},{height=3;width=4;off={offHeight=1;offWidth=2}},{height=3;width=4;off={offHeight=0;offWidth=0}},{y=20;x=-295},4,,,
52040,儿童板凳,兒童板凳,Childrens Bench,Ghế trẻ ẻm,เก้าอี้เด็ก  ,Kursi Anak  ,Upuang Pambata  ,Kerusi Kanak-kanak  ,3,0,{8=85},4,3,city/homeland/home/icon/furniture/img_3dengzi01.png,city/homeland/home/item/furniture/img_3dengzi01.png,,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=50;x=-15}},,,{height=1;width=1;off={offHeight=0;offWidth=0.5}},{height=1;width=1;off={offHeight=0;offWidth=0.5}},{y=10;x=-42},4,,,
52041,海星地毯,海星地毯,Starfish Carpet,Thảm sao biển,พรมรูปปลาดาว  ,Karpet Bintang Laut  ,Rug ng Starfish  ,Permaidani Tapak Sulaiman  ,3,0,{7=720},,3,city/homeland/home/icon/furniture/img_3ditan01.png,city/homeland/home/item/furniture/img_3ditan01.png,,{walk=True;flip=True},,,{width=3;height=3},{height=3;width=3;off={offHeight=0;offWidth=0}},{height=3;width=3;off={offHeight=0;offWidth=0}},{y=35;x=-145},4,,,
52042,救生高椅,救生高椅,Lifesaving Chair,Ghế cứu hộ,เก้าอี้ผู้ช่วยชีวิต  ,Kursi Penjaga Pantai  ,Upuan ng Lifeguard  ,Kerusi Penyelamat  ,3,2,{1=4940},2,3,city/homeland/home/icon/furniture/img_3gaoyi.png,city/homeland/home/item/furniture/img_3gaoyi.png,1.1,{flip=True},,,{width=2;height=2},{height=3;width=2;off={offHeight=2;offWidth=4}},{height=3;width=2;off={offHeight=2;offWidth=4}},{y=15;x=-125},4,,,
52043,琼花,瓊花,Viburnum,Hoa Quỳnh,ดอกกุหลาบกลางคืน  ,Bunga Wijaya Kusuma  ,Bulaklak ng Quynh  ,Bunga Bakawali  ,3,1,{1=1645},4,3,city/homeland/home/icon/furniture/img_3huapen01.png,city/homeland/home/item/furniture/img_3huapen01.png,,{flip=True},,,,{height=1;width=1;off={offHeight=1;offWidth=1}},{height=1;width=1;off={offHeight=1;offWidth=1}},{y=15;x=-43},4,,,
52044,海滩手包,海灘手包,Beach Handbag,Túi đi biển,กระเป๋าไปทะเล  ,Tas Pantai  ,Beach Bag  ,Beg Pantai  ,3,2,{8=150},2,3,city/homeland/home/icon/furniture/img_3lanzi01.png,city/homeland/home/item/furniture/img_3lanzi01.png,,{flip=True},,,{width=2;height=1},{height=1;width=2;off={offHeight=1;offWidth=1}},{height=1;width=2;off={offHeight=1;offWidth=1}},{y=25;x=-105},4,,,
52045,明黄水球,明黃水球,Spry Water Polo,Bóng nước vàng,ลูกโป่งน้ำสีเหลือง  ,Balon Air Kuning  ,Dilaw na Lobo ng Tubig  ,Belon Air Kuning  ,3,0,{1=3370},2,3,city/homeland/home/icon/furniture/img_3qiu01.png,city/homeland/home/item/furniture/img_3qiu01.png,1.5,{flip=True},,,,{height=1;width=1;off={offHeight=1;offWidth=1}},{height=1;width=1;off={offHeight=1;offWidth=1}},{y=15;x=-48},4,,,
52046,天蓝水球,天藍水球,Celest Water Polo,Bóng nước xanh,ลูกโป่งน้ำสีน้ำเงิน  ,Balon Air Biru  ,Asul na Lobo ng Tubig  ,Belon Air Biru  ,3,1,{8=145},2,3,city/homeland/home/icon/furniture/img_3qiu02.png,city/homeland/home/item/furniture/img_3qiu02.png,1.5,{flip=True},,,,{height=1;width=1;off={offHeight=1;offWidth=1}},{height=1;width=1;off={offHeight=1;offWidth=1}},{y=15;x=-48},4,,,
52047,湛蓝水球,湛藍水球,Azure Water Polo,Bóng nước xanh đậm,ลูกโป่งน้ำสีน้ำเงินเข้ม  ,Balon Air Biru Tua  ,Maitim na Asul na Lobo ng Tubig  ,Belon Air Biru Tua  ,3,0,{8=160},2,3,city/homeland/home/icon/furniture/img_3qiu03.png,city/homeland/home/item/furniture/img_3qiu03.png,1.5,{flip=True},,,,{height=1;width=1;off={offHeight=1;offWidth=1}},{height=1;width=1;off={offHeight=1;offWidth=1}},{y=15;x=-48},4,,,
